Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,250000.0,100000.0,0000000.0,200000.0,0000000.0,100000.0,0000000.0,100000.0,0000000.0,300000.0,0000000.0,100000.0,250000.0,100000.0,9500397.0
Revenue Growth,1.5,1,-1,1,-1,1,-1,1,-1,1,-1,-0.6,1.5,-0.989474124081341,0.5161
Cost of Revenue,0.0,629312.0,,536631.0,,317649.0,,182927.0,,120399.0,,113936.0,0.0,0.0,0.0
Gross Profit,0.0,-529312.0,0000000.0,-336631.0,0000000.0,-217649.0,0000000.0,-82927.0,0000000.0,179601.0,0000000.0,-13936.0,0.0,100000.0,9500397.0
R&D Expenses,388841.0,19840106.0,20000000.0,35930212.0,36000000.0,43395574.0,43000000.0,36677706.0,37000000.0,17500469.0,18000000.0,12684793.0,15491301.0,8506937.0,7541998.0
SG&A Expense,8079861.0,12502042.0,13000000.0,15990789.0,16000000.0,19664904.0,20000000.0,12845231.0,13000000.0,10273576.0,10000000.0,8353330.0,7317169.0,8235993.0,9127845.0
Operating Expenses,8498125.0,32342148.0,33000000.0,51921001.0,52000000.0,63060478.0,63000000.0,49522937.0,50000000.0,27774045.0,28000000.0,21038123.0,22903987.0,16850596.0,17145159.0
Operating Income,-8248125.0,-32871460.0,-33000000.0,-52257632.0,-52000000.0,-63278127.0,-63000000.0,-49605864.0,-50000000.0,-27594444.0,-28000000.0,-21052059.0,-22653987.0,-16750596.0,-7644762.0
Interest Expense,1715733.0,3831211.0,4000000.0,2754677.0,3000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,0.0,0.0,0.0
Earnings before Tax,-9078599.0,-34985632.0,-35000000.0,-50770421.0,-51000000.0,-58586390.0,-59000000.0,-30117180.0,-30000000.0,-47483837.0,-47000000.0,-17962273.0,-14326549.0,408460.0,-5319466.0
Income Tax Expense,800.0,800.0,0000000.0,800.0,0000000.0,800.0,0000000.0,800.0,0000000.0,1600.0,0000000.0,1600.0,-97996.0,0.0,-519158.0
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net Income,-12713608.0,-34986432.0,-35000000.0,-50771221.0,-51000000.0,-58587190.0,-59000000.0,-30117980.0,-30000000.0,-47485437.0,-47000000.0,-17963873.0,-14326549.0,408460.0,-4800308.0
Preferred Dividends,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net Income Com,-12713608.0,-34986432.0,-35000000.0,-50771221.0,-51000000.0,-58587190.0,-59000000.0,-30117980.0,-30000000.0,-47485437.0,-47000000.0,-17963873.0,-14326549.0,408460.0,-4800308.0
EPS,-0.41,-1.46,-1.46,-0.63,-3.78,-0.97,-5.82,-0.55,-3.30,-1.44,-8.64,-0.78,-0.11,0.18,-2.1
EPS Diluted,-0.41,-1.46,-1.46,-0.63,-3.78,-0.97,-5.82,-0.55,-3.30,-1.44,-8.64,-0.78,-0.11,0.18,-2.1
Weighted Average Shs Out,30947650.0,24042293.0,24000000.0,81063772.0,14000000.0,60483151.0,10000000.0,54371151.0,9000000.0,32891202.0,5000000.0,22973905.0,125551261.0,2595342.0,2591890.0
Weighted Average Shs Out (Dil),30947650.0,24042293.0,24000000.0,81063772.0,14000000.0,60483151.0,10000000.0,54371151.0,9000000.0,32891202.0,5000000.0,22973905.0,125551261.0,2606826.0,2380527.0
Dividend per Share,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Gross Margin,0.0,-5.29312,,-1.683155,,-2.17649,,-0.82927,,0.59867,,-0.13936,0.0,1.0,1.0
EBITDA Margin,-28.24354,-303.18332,,-255.66582,,-629.60478,,-494.22937,,-91.58015,,-209.38123,-90.23388,5.161,-0.51
EBIT Margin,-32.9925,-328.7146,,-261.28816,,-632.78127,,-496.05864,,-91.98148,,-210.52059,-90.615948,4.0846,-0.5599
Profit Margin,-50.854432,-349.86432,,-253.856105,,-585.8719,,-301.1798,,-158.28479,,-179.63873,-57.306196,4.085,-0.505
Free Cash Flow margin,-43.515828,-273.32166,,-254.353965,,-479.13775,,-415.12093,,-79.3093066667,,-191.86289,-66.897004,-148.5984,-1.2831
EBITDA,-7060885.0,-30318332.0,-31000000.0,-51133164.0,-47000000.0,-62960478.0,-63000000.0,-49422937.0,-49000000.0,-27474045.0,-27000000.0,-20938123.0,-22558470.0,516126.0,-4844150.0
EBIT,-8248125.0,-32871460.0,-31000000,-52257632.0,-48000000,-63278127.0,-59000000,-49605864.0,-30000000,-27594444.0,-47000000,-21052059.0,-22653987.0,408460.0,-5319466.0
Consolidated Income,-12713608.0,-34986432.0,-35000000.0,-50771221.0,-51000000.0,-58587190.0,-59000000.0,-30117980.0,-30000000.0,-47485437.0,-47000000.0,-17963873.0,-14326549.0,408460.0,-4800308.0
Earnings Before Tax Margin,-36.314396,-349.85632,,-253.852105,,-585.8639,,-301.1718,,-158.279456667,,-179.62273,-57.306196,4.0846,-0.5599
Net Profit Margin,-50.854432,-349.86432,,-253.856105,,-585.8719,,-301.1798,,-158.28479,,-179.63873,-57.306196,4.0846,-0.5053
