date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,2755000.0,3341000.0,5677000.0,-2130000.0,-6505000.0,4841000.0,6178000.0,4776000.0,603000.0,-55937000.0,-53165000.0,-2836000.0,-57909000.0,4473000.0,-54819.0
,depreciationAndAmortization,6196000.0,6708000.0,7771000.0,12721000.0,7869000.0,7083000.0,7373000.0,7474000.0,8857000.0,11034000.0,9846000.0,9562000.0,10000000.0,982000.0,1664.0
,deferredIncomeTax,830000.0,1090000.0,-443000.0,-675000.0,-1757000.0,-2268000.0,-2135000.0,-2665000.0,-2643000.0,-11003000.0,-6763000.0,-5653000.0,-12152000.0,-298000.0,0.0
,stockBasedCompensation,8891000.0,9589000.0,9862000.0,7439000.0,7047000.0,5049000.0,3107000.0,3385000.0,2797000.0,3143000.0,3087000.0,2831000.0,1963000.0,0.0,0.0
,changeInWorkingCapital,5404000.0,1009000.0,6905000.0,-3262000.0,13584000.0,5500000.0,-7368000.0,7700000.0,-5845000.0,-17178000.0,-192000.0,-11439000.0,10703000.0,59199876.0,6287.0
,accountsReceivables,817000.0,0.0,0.0,-6028000.0,2068000.0,-7506000.0,-2321000.0,897000.0,931000.0,-6238000.0,-675000.0,2856000.0,4761000.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,2070000.0,243000.0,879000.0,-2381000.0,1732000.0,-612000.0,1121000.0,-48000.0,1953000.0,-236000.0,-202000.0,-776000.0,-2125000.0,0.0,0.0
,otherWorkingCapital,63954000.0,58550000.0,57541000.0,50636000.0,53898000.0,40314000.0,34814000.0,42182000.0,34482000.0,40327000.0,57505000.0,57697000.0,69136000.0,58433000.0,-766876.0
,otherNonCashItems,822000.0,610000.0,1117000.0,1607000.0,92000.0,609000.0,811000.0,1513000.0,-1650000.0,-55349000.0,-51000.0,510000.0,275000.0,170000.0,0.0
,netCashProvidedByOperatingActivites,43971000.0,20437000.0,19128000.0,11444000.0,10659000.0,6813000.0,7007000.0,23055000.0,10730000.0,871000.0,5747000.0,4056000.0,20481000.0,5921000.0,-46868.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1181000.0,-1922000.0,-3999000.0,-3169000.0,-2359000.0,-1378000.0,-2170000.0,-1901000.0,-1823000.0,-1690000.0,-957000.0,-1239000.0,-1634000.0,-237000.0,-48305.0
,acquisitionsNet,0.0,0.0,0.0,-1000000.0,-55000000.0,-1000000.0,-1000000.0,0.0,0.0,-14000000.0,0.0,0.0,0.0,-203000000.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,403000.0,-103000.0,-30000.0,-310000.0,-2000.0,-1000.0,5699000.0,-5750000.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-3498000.0,-1922000.0,-3999000.0,-3655000.0,-57649000.0,-1945000.0,-3370000.0,-1903000.0,-1848000.0,-9655000.0,-6707000.0,-1239000.0,-1634000.0,-203630000.0,-48305.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-8088000.0,-17250000.0,-17637000.0,-8540000.0,-4850000.0,-2591000.0,-3375000.0,-60822000.0,-7000000.0,-6000000.0,-2000000.0,-22238000.0,-950000.0,0.0,0.0
,commonStockIssued,0.0,0.0,824000.0,0.0,12000000.0,581000.0,576000.0,382000.0,334000.0,322000.0,302000.0,244000.0,246000.0,265250000.0,10078.0
,commonStockRepurchased,-5166000.0,-3428000.0,-3063000.0,-2853000.0,-11565000.0,-3381000.0,-5320000.0,-4055000.0,-1513000.0,-1225000.0,0.0,-86000.0,-3235000.0,-94893000.0,-4687.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,-5189000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-2957000.0,-3959000.0,-4127000.0,-5418000.0,-4138000.0,-2673000.0,-1287000.0,97000.0,-2000000.0,0.0,0.0,0.0,0.0,-20740000.0,-71307.0
,netCashUsedProvidedByFinancingActivities,-15695000.0,-18934000.0,-24003000.0,-16139000.0,64289000.0,-13253000.0,-9406000.0,-9398000.0,-10179000.0,-6903000.0,-1698000.0,-22080000.0,-3939000.0,244367000.0,184084.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,806000.0,-65000.0,-915000.0,2285000.0,-649000.0,-1442000.0,-1654000.0,-168000.0,327000.0,-145000.0,173000.0,903000.0,-939000.0,430000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,25584000.0,-484000.0,-9789000.0,-6065000.0,16650000.0,-9827000.0,-7423000.0,11586000.0,-970000.0,-15832000.0,-2485000.0,-18360000.0,13969000.0,47088000.0,0.0
