date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,45534000.0,52959000.0,37309000.0,17632000.0,22851000.0
,depreciationAndAmortization,7638000.0,7903000.0,3947000.0,2418000.0,2412000.0
,deferredIncomeTax,-7059000.0,-87000.0,-256000.0,427000.0,-1608000.0
,stockBasedCompensation,3425000.0,3100000.0,1685000.0,1780000.0,1501000.0
,changeInWorkingCapital,-19942000.0,-310603000.0,-1336397000.0,-224420000.0,2579000.0
,accountsReceivables,-24964000.0,-111000.0,-2136000.0,-6018000.0,-630000.0
,inventory,0.0,0.0,0.0,0.0,0.0
,accountsPayables,2395000.0,3053000.0,1822000.0,3130000.0,-851000.0
,otherWorkingCapital,2627000.0,-3365226000.0,-3054623000.0,-1718226000.0,-1493806000.0
,otherNonCashItems,31467000.0,313595000.0,1339771000.0,235595000.0,-300000.0
,netCashProvidedByOperatingActivites,61063000.0,66867000.0,46059000.0,33432000.0,27435000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-7182000.0,-13385000.0,-3419000.0,-2133000.0,-1511000.0
,acquisitionsNet,0.0,-32867000.0,230416000.0,0.0,0.0
,purchasesOfInvestments,-4362521000.0,-3663770000.0,-2334149000.0,-2038323000.0,-2730524000.0
,salesMaturitiesOfInvestments,3997365000.0,3635519000.0,2341565000.0,2046967000.0,2568582000.0
,otherInvestingActivites,-588766000.0,-159011000.0,-265568000.0,-384335000.0,-245041000.0
,netCashUsedForInvestingActivites,-961104000.0,-233514000.0,-31155000.0,-377824000.0,-408494000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-183990000.0,-87076000.0,-3000000.0,-20000000.0
,commonStockIssued,2569000.0,3412000.0,3750000.0,4248000.0,2044000.0
,commonStockRepurchased,-18582000.0,-58663000.0,-2133000.0,0.0,0.0
,dividendsPaid,-8165000.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,1000737000.0,483189000.0,157399000.0,383149000.0,392682000.0
,netCashUsedProvidedByFinancingActivities,976559000.0,243948000.0,71940000.0,384397000.0,374726000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,76518000.0,77301000.0,86844000.0,40005000.0,-6333000.0
,cashAtEndOfPeriod,422766000.0,346248000.0,268947000.0,182103000.0,142098000.0
,cashAtBeginningOfPeriod,346248000.0,268947000.0,182103000.0,142098000.0,148431000.0
,operatingCashFlow,61063000.0,66867000.0,46059000.0,33432000.0,27435000.0
,capitalExpenditure,-7182000.0,-13385000.0,-3419000.0,-2133000.0,-1511000.0
,freeCashFlow,53881000.0,53482000.0,42640000.0,31299000.0,25924000.0
