date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2003-03-28_FY,2002-12-31_FY,2002-03-08_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-7069000000.0,3009000000.0,2129000000.0,2131000000.0,2263000000.0,7340000000.0,1132000000.0,571000000.0,-723000000.0,840000000.0,253000000.0,-651000000.0,-5348000000.0,403000000.0,22876000000.0,-21176000000.0,-1721000000.0,-2808000000.0,-3212000000.0,-3212000000.0,-2145000000.0,-2139000000.0,50000000.0,1235000000.0,821000000.0,949000000.0,533000000.0,349000000.0,51000000.0,-50000000.0,-957000000.0,-332000000.0,94000000.0,324000000.0,1124000000.0,335000000.0,11000000.0,-49000000.0
,depreciationAndAmortization,2488000000.0,2288000000.0,2240000000.0,2149000000.0,1977000000.0,1819000000.0,1679000000.0,1689000000.0,1522000000.0,1547000000.0,1079000000.0,902000000.0,932000000.0,-925000000.0,888000000.0,792000000.0,874000000.0,938000000.0,970000000.0,970000000.0,1932000000.0,1932000000.0,1058000000.0,867000000.0,793000000.0,724000000.0,759000000.0,724000000.0,640000000.0,-681000000.0,-725600000.0,603800000.0,559600000.0,517000000.0,518400000.0,550500000.0,502300000.0,424100000.0
,deferredIncomeTax,-1741000000.0,882000000.0,515000000.0,945000000.0,1648000000.0,-3177000000.0,13000000.0,-14000000.0,13000000.0,-6000000.0,6000000.0,-16000000.0,-26000000.0,310000000.0,21000000.0,0.0,0.0,0.0,665000000.0,665000000.0,-1144000000.0,0.0,317000000.0,590000000.0,307000000.0,194000000.0,69000000.0,214000000.0,78000000.0,-67000000.0,-146300000.0,22100000.0,21700000.0,-42300000.0,-32600000.0,-26900000.0,-45400000.0,-108000000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11000000.0,14000000.0,17000000.0,14000000.0,21000000.0,31000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,227000000.0,-726000000.0,-455000000.0,-586000000.0,-391000000.0,-216000000.0,-965000000.0,-636000000.0,-2372000000.0,203000000.0,768000000.0,1052000000.0,-536000000.0,-212000000.0,-697000000.0,1572000000.0,-459000000.0,-2829000000.0,1353000000.0,-1567000000.0,3935000000.0,-3642000000.0,2664000000.0,474000000.0,284000000.0,-460000000.0,21000000.0,-931000000.0,324000000.0,-531000000.0,364000000.0,-346000000.0,-84000000.0,-631000000.0,233000000.0,-819000000.0,1475000000.0,-102500000.0
,accountsReceivables,135000000.0,44000000.0,-29000000.0,-183000000.0,-16000000.0,-15000000.0,209000000.0,-142000000.0,-21000000.0,0.0,0.0,0.0,0.0,-59000000.0,131000000.0,0.0,0.0,0.0,262000000.0,0.0,165000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11000000.0,-133200000.0,1000000.0,-25000000.0,-145000000.0,93000000.0,-118000000.0,216000000.0,-213000000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13000000.0,-74000000.0,-74000000.0,47000000.0,-24000000.0,11000000.0,-30000000.0
,accountsPayables,-1079000000.0,324000000.0,130000000.0,66000000.0,239000000.0,-77000000.0,-251000000.0,-265000000.0,285000000.0,177000000.0,255000000.0,94000000.0,-48000000.0,200000000.0,40000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-163000000.0,141600000.0,-27000000.0,43000000.0,-101000000.0,-9000000.0,-11000000.0,109000000.0,-201000000.0
,otherWorkingCapital,713000000.0,-6744000000.0,-6018000000.0,-5563000000.0,-4977000000.0,-4586000000.0,-4370000000.0,-3405000000.0,-2769000000.0,-397000000.0,-600000000.0,-1368000000.0,-2420000000.0,-1884000000.0,-1672000000.0,-975000000.0,-2547000000.0,-2088000000.0,741000000.0,-612000000.0,955000000.0,-2980000000.0,662000000.0,-2002000000.0,-2476000000.0,-2760000000.0,-2300000000.0,-2321000000.0,-1390000000.0,-1714000000.0,-1183000000.0,-1547000000.0,-1201000000.0,-1117000000.0,-486000000.0,-719000000.0,100000000.0,-1375000000.0
,otherNonCashItems,1768000000.0,360000000.0,586000000.0,177000000.0,500000000.0,362000000.0,57000000.0,15000000.0,260000000.0,886000000.0,230000000.0,212000000.0,765000000.0,1832000000.0,1517000000.0,181000000.0,-1086000000.0,-669000000.0,0.0,835000000.0,0.0,-1106000000.0,359000000.0,32000000.0,1196000000.0,877000000.0,846000000.0,400000000.0,718000000.0,1415000000.0,1608800000.0,42500000.0,-274400000.0,-213400000.0,529700000.0,1243300000.0,317900000.0,-610700000.0
,netCashProvidedByOperatingActivites,-4133000000.0,6909000000.0,6181000000.0,3413000000.0,5542000000.0,5992000000.0,2634000000.0,1444000000.0,935000000.0,2408000000.0,1907000000.0,966000000.0,-1239000000.0,2134000000.0,1562000000.0,1079000000.0,99000000.0,1001000000.0,0.0,-1139000000.0,0.0,-160000000.0,2472000000.0,2421000000.0,3194000000.0,2567000000.0,2453000000.0,1624000000.0,1334000000.0,858000000.0,575300000.0,338000000.0,715800000.0,658500000.0,1719900000.0,2339500000.0,926600000.0,-492400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
