date,,2021-01-29_FY,2020-01-31_FY,2019-02-01_FY,2018-02-02_FY,2017-02-03_FY,2016-01-29_FY,2015-01-30_FY,2014-01-31_FY,2013-02-01_FY,2012-02-03_FY,2011-01-28_FY,2010-01-29_FY,2009-01-30_FY,2008-02-01_FY,2007-02-02_FY,2006-02-03_FY,2005-01-28_FY,2004-01-30_FY,2003-01-31_FY,2002-02-01_FY,2001-02-02_FY,2000-01-28_FY,1999-01-29_FY,1998-01-31_FY,1997-01-31_FY,1996-01-31_FY,1995-01-31_FY
,revenue,19675000000.0,72148000000.0,71309000000.0,68619000000.0,65017000000.0,59074000000.0,56223000000.0,53417000000.0,50521000000.0,50208000000.0,48815000000.0,47220000000.0,48230000000.0,48283000000.0,46927000000.0,43243000000.0,36464000000.0,30838000000.0,26491000000.0,22111000000.0,18779000000.0,15906000000.0,12245000000.0,10136900000.0,8600200000.0,7075400000.0,6110500000.0
,costOfRevenue,13162000000.0,49205000000.0,48401000000.0,46185000000.0,43343000000.0,38504000000.0,36665000000.0,34941000000.0,33194000000.0,32858000000.0,31663000000.0,30757000000.0,31729000000.0,31556000000.0,30729000000.0,28453000000.0,24165000000.0,21231000000.0,18465000000.0,15743000000.0,13488000000.0,11525000000.0,8950000000.0,7446900000.0,6374800000.0,5308600000.0,4594800000.0
,grossProfit,6513000000.0,22943000000.0,22908000000.0,22434000000.0,21674000000.0,20570000000.0,19558000000.0,18476000000.0,17327000000.0,17350000000.0,17152000000.0,16463000000.0,16501000000.0,16727000000.0,16198000000.0,14790000000.0,12299000000.0,9607000000.0,8026000000.0,6368000000.0,5291000000.0,4381000000.0,3295000000.0,2690000000.0,2225400000.0,1766800000.0,1515700000.0
,grossProfitRatio,0.331029224904701,0.317999112934523,0.321249772118526,0.326935688366196,0.333358967654613,0.348207333175339,0.34786475285915,0.345882396989722,0.342966291245225,0.345562460165711,0.351367407559152,0.348644642100805,0.342131453452208,0.346436634011971,0.345174419843587,0.34202067386629,0.337291575252304,0.311531227706077,0.302970820278585,0.288001447243454,0.281750891953778,0.275430655098705,0.269089424254798,0.265367124071462,0.258761424152927,0.249710263730672,0.248048441207757
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,15367000000.0,16285000000.0,14444000000.0,14375000000.0,14105000000.0,13253000000.0,12865000000.0,12167000000.0,12205000000.0,11935000000.0,11623000000.0,11176000000.0,10656000000.0,9884000000.0,9156000000.0,7685000000.0,5671000000.0,4859000000.0,4053000000.0,3480000000.0,2871000000.0,2190000000.0,1824800000.0,1454700000.0,1176900000.0,1014600000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,2036000000.0,2001000000.0,0.0,1946000000.0,1851000000.0,0.0,1950000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
