date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,690000000.0,-862000000.0,-976091000.0,-1961400000.0,-674914000.0,-888663000.0,-294040000.0,-74014000.0,-396213000.0,-254411000.0,-154328000.0
,depreciationAndAmortization,2322000000.0,2154000000.0,1901050000.0,1636003000.0,947099000.0,422590000.0,231931000.0,106083000.0,28825000.0,16919000.0,10623000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,1734000000.0,898000000.0,749024000.0,466760000.0,334225000.0,197999000.0,156496000.0,80737000.0,50145000.0,29419000.0,21156000.0
,changeInWorkingCapital,184000000.0,3121828000.0,-581678000.0,-1536941000.0,457497000.0,-1116197000.0,500712000.0,605119000.0,-195839000.0,31178000.0,-11175000.0
,accountsReceivables,-652000000.0,-367000000.0,-496732000.0,-24635000.0,-216565000.0,46267000.0,-183658000.0,-21917000.0,-17303000.0,-2829000.0,-3222000.0
,inventory,-422000000.0,-429000000.0,-1023264000.0,-178850000.0,-2465703000.0,-1573860000.0,-1050264000.0,-463270000.0,-194726000.0,-13638000.0,-20115000.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,252781000.0,-243000.0,187821000.0,31859000.0,-212000.0
,otherWorkingCapital,-593000000.0,1436000000.0,-1685828000.0,-1104150000.0,432791000.0,-24706000.0,1091491000.0,590779000.0,-14340000.0,181499000.0,150321000.0
,otherNonCashItems,408000000.0,186000000.0,207237000.0,284020000.0,-9216000.0,98436000.0,77205000.0,12754000.0,56000.0,-111000.0,5022000.0
,netCashProvidedByOperatingActivites,5943000000.0,2405000000.0,2097802000.0,-60654000.0,-123829000.0,-524499000.0,-57337000.0,257994000.0,-266081000.0,-114364000.0,-127817000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-3242000000.0,-1437000000.0,-2319516000.0,-4081354000.0,-1440471000.0,-1634850000.0,-969885000.0,-264224000.0,-239228000.0,-197896000.0,-40203000.0
,acquisitionsNet,-13000000.0,-45000000.0,-18000000.0,-115000000.0,343000000.0,-12000000.0,0.0,0.0,0.0,0.0,-65000000.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,-205841000.0,0.0,-14992000.0,-64952000.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,16667000.0,0.0,189131000.0,0.0,40000000.0,40000000.0,0.0
,otherInvestingActivites,123000000.0,46000000.0,0.0,-223090000.0,-206149000.0,-26441000.0,-3849000.0,14807000.0,7290000.0,46920000.0,-140094000.0
,netCashUsedForInvestingActivites,-3132000000.0,-1436000000.0,-2337428000.0,-4418967000.0,-1416430000.0,-1673551000.0,-990444000.0,-249417000.0,-206930000.0,-175928000.0,-180297000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-12201000000.0,-9871000000.0,-6087029000.0,-4263788000.0,-1904483000.0,-203780000.0,-11179000.0,-460762000.0,-15542000.0,-416000.0,-315000.0
,commonStockIssued,12269000000.0,848000000.0,0.0,400175000.0,1701734000.0,750000000.0,0.0,415000000.0,221496000.0,231468000.0,268842000.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-225000000.0,-554000000.0,188900000.0,547487000.0,160235000.0,-17025000.0,-638577000.0,-194441000.0,0.0,0.0,-3660000.0
,netCashUsedProvidedByFinancingActivities,9973000000.0,1529000000.0,573755000.0,4414864000.0,3743976000.0,1523523000.0,2143130000.0,635422000.0,419635000.0,446000000.0,338045000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,334000000.0,8000000.0,-22700000.0,39455000.0,-7409000.0,-34278000.0,-35525000.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,13118000000.0,2506000000.0,311429000.0,-25302000.0,2196308000.0,-708805000.0,1059824000.0,643999000.0,-53376000.0,155708000.0,29931000.0
,cashAtEndOfPeriod,19901000000.0,6783000000.0,4276388000.0,3367914000.0,3393216000.0,1196908000.0,1905713000.0,845889000.0,201890000.0,255266000.0,99558000.0
,cashAtBeginningOfPeriod,6783000000.0,4277000000.0,3964959000.0,3393216000.0,1196908000.0,1905713000.0,845889000.0,201890000.0,255266000.0,99558000.0,69627000.0
,operatingCashFlow,5943000000.0,2405000000.0,2097802000.0,-60654000.0,-123829000.0,-524499000.0,-57337000.0,257994000.0,-266081000.0,-114364000.0,-127817000.0
,capitalExpenditure,-3242000000.0,-1437000000.0,-2319516000.0,-4081354000.0,-1440471000.0,-1634850000.0,-969885000.0,-264224000.0,-239228000.0,-197896000.0,-40203000.0
,freeCashFlow,2701000000.0,968000000.0,-221714000.0,-4142008000.0,-1564300000.0,-2159349000.0,-1027222000.0,-6230000.0,-505309000.0,-312260000.0,-168020000.0
