date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2017-08-30_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-11-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-228971000.0,-4690000.0,-123733000.0,241848000.0,0.0,-47942000.0,-37357000.0,-24057000.0,-148863000.0,-85439000.0,-84674000.0,-15440000.0,-18324000.0,133000.0,-26355000.0,-33539000.0,-7949000.0,-2157000.0,11042000.0,94208176.280402,-149951728.664933,27530672.890964,15882756.00174,9154927.536232,-14585640.11181,5100097.78167,2599260.942884,3102418.557301
,depreciationAndAmortization,36905000.0,38329000.0,46196000.0,43474000.0,0.0,46446000.0,52223000.0,47172000.0,39600000.0,46414000.0,40236000.0,34481000.0,34471000.0,35752000.0,31576000.0,26970000.0,28788000.0,19955000.0,12617000.0,16185875.716981,38251869.370218,35036674.224742,27873737.338866,16901405.082212,10289869.322152,7700147.402218,4298777.769631,1200936.591041
,deferredIncomeTax,108556000.0,5008000.0,23573000.0,-173019000.0,-0.0,-7935000.0,1824000.0,10963000.0,-5427000.0,8422000.0,40284000.0,-5373000.0,6972000.0,-960000.0,5253000.0,298000.0,-1423000.0,-2712000.0,5461000.0,21458207.087549,-18820460.056031,-3283437.812604,5146412.765047,3420522.51901,-899114.605171,400007.29714,199942.811057,-700546.102385
,stockBasedCompensation,14179000.0,31040000.0,18416000.0,24350000.0,0.0,21003000.0,17796000.0,17696000.0,22438000.0,32197000.0,23657000.0,16507000.0,14186000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-59241000.0,-43881000.0,80177000.0,-232859000.0,313239000.0,90640000.0,-134617000.0,-79447000.0,36867000.0,-98794000.0,-25341000.0,-62395000.0,-28061000.0,10273000.0,82675000.0,-5104000.0,-64063000.0,-76029000.0,43679884.946421,-18917625.458237,-22221277.494186,-3113761.809372,11655339.053692,7695488.2809,-23721910.04111,39602425.686347,494535.584818,0.0
,accountsReceivables,72453000.0,-37763000.0,30211000.0,-50030000.0,0.0,-16752000.0,-4796000.0,-35800000.0,17644000.0,-30043000.0,-12130000.0,-31289000.0,-9953000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433000.0,-2547000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,-18222000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-31992000.0,-196563000.0,-152682000.0,-232859000.0,0.0,-313239000.0,-403879000.0,-269262000.0,-189815000.0,-226682000.0,-127888000.0,-102547000.0,-40152000.0,-12091000.0,-22364000.0,-105039000.0,-99935000.0,-35872000.0,40157000.0,-3522884.946421,15394740.511816,37616018.006002,40729779.815374,29074440.761682,21378952.480782,45100862.521892,5498436.835545,5003901.250727
,otherNonCashItems,42187000.0,7886000.0,3211000.0,-6217000.0,0.0,30889000.0,45837000.0,12364000.0,34070000.0,47577000.0,11370000.0,-367000.0,7163000.0,13543000.0,12842000.0,13666000.0,0.0,0.0,0.0,0.0,-999.384414,-1.333778,1998.163402,-19315891.336843,5794295.597484,-9600183.158202,-8997441.161375,5304135.398487
,netCashProvidedByOperatingActivites,32559000.0,86539000.0,17280000.0,115285000.0,0.0,5424000.0,162805000.0,133942000.0,59299000.0,76304000.0,4548000.0,37297000.0,59903000.0,57446000.0,4132000.0,39705000.0,4670000.0,24502000.0,19260000.0,26202704.67697,92644418.271586,69822314.104702,44852303.687695,5331990.641451,-6993115.303983,3000057.647402,-3499005.059022,9607490.54683
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14395000.0,-20072000.0,-22648000.0,-13095000.0,-15552000.0,-18421000.0,-8053450.718092,-15787707.760148,-23542140.713571,-28493065.116375,-24748485.734711,-24675706.498952,-23500449.503795,-16995169.00066,-6605149.796393
,acquisitionsNet,0.0,-5000000.0,-33000000.0,0.0,-0.0,3000000.0,-25000000.0,-68000000.0,-12000000.0,31000000.0,-7000000.0,-97000000.0,-58000000.0,-36000000.0,-47000000.0,9000000.0,-55000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,-499000.0,-2229000.0,-0.0,-6363000.0,-7272000.0,-6312000.0,-2692000.0,-2198000.0,-4232000.0,-717000.0,-163000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15860701.76761,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,484000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,17839000.0,23050000.0,2082000.0,10631000.0,0.0,666000.0,8631000.0,85000.0,239000.0,51000.0,22000.0,-129543000.0,198000.0,-85000.0,-1464000.0,940000.0,2644000.0,5465000.0,4541000.0,-1656475.535314,-19876374.075051,-57858718.239413,-40210343.637155,-118812853.707675,-24975412.299092,-58301114.273205,-14195964.513527,-45635581.006399
,netCashUsedForInvestingActivites,-8287000.0,115000.0,-50431000.0,-20884000.0,0.0,-25196000.0,-46994000.0,-97578000.0,-30113000.0,7830000.0,-29799000.0,-129543000.0,-66199000.0,-49639000.0,-60914000.0,-12175000.0,-67256000.0,-27656000.0,73227000.0,154088219.600968,-51524783.602809,-81400858.952984,-120376307.885634,-143561339.442386,-49651118.798043,-81801563.776999,-31191133.514187,-52240730.802792
