date,,2021-01-03_FY,2019-12-29_FY,2018-12-30_FY,2017-12-31_FY,2017-01-01_FY,2016-01-03_FY,2014-12-28_FY,2013-12-29_FY,2012-12-30_FY,2012-01-01_FY,2011-01-02_FY,2010-03-12_FY,2010-01-03_FY,2009-02-23_FY,2008-12-28_FY,2008-02-27_FY,2007-12-30_FY,2007-03-07_FY,2006-12-31_FY,2006-01-01_FY,2005-01-02_FY,2004-12-31_FY,2003-12-28_FY,2002-12-29_FY,2001-12-30_FY,2000-12-31_FY,2000-01-02_FY,1999-01-03_FY,1997-12-28_FY,1996-12-29_FY,1995-12-31_FY,1995-01-01_FY,1994-01-02_FY,1993-01-03_FY,1991-12-29_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-71929000.0,79200000.0,50253000.0,53246000.0,54162000.0,72418000.0,24808000.0,48300000.0,5900000.0,38700000.0,8300000.0,11764000.0,10900000.0,-40873000.0,-40900000.0,-10812000.0,-10800000.0,9992000.0,9992000.0,1200000.0,-55400000.0,-55402000.0,-33300000.0,-87700000.0,-36300000.0,17321000.0,23500000.0,29800000.0,37500000.0,26400000.0,16800000.0,16500000.0,13800000.0,12300000.0,8900000.0,23600000.0,24500000.0,20200000.0,13700000.0,8600000.0,8000000.0
,depreciationAndAmortization,45920000.0,50835000.0,44471000.0,30261000.0,30632000.0,30803000.0,30677000.0,24700000.0,25900000.0,25200000.0,25100000.0,0.0,23400000.0,0.0,23700000.0,0.0,22500000.0,0.0,31163000.0,20400000.0,33300000.0,33336000.0,34100000.0,32700000.0,46400000.0,50625000.0,45800000.0,42600000.0,38600000.0,35300000.0,28900000.0,28200000.0,24500000.0,22300000.0,19700000.0,21600000.0,17200000.0,11600000.0,8300000.0,3200000.0,2500000.0
,deferredIncomeTax,-20794000.0,-9497000.0,-11709000.0,23328000.0,468000.0,9052000.0,-3534000.0,9300000.0,-11200000.0,4500000.0,-7000000.0,0.0,-5600000.0,0.0,13500000.0,0.0,3800000.0,0.0,-11997000.0,-8200000.0,-10800000.0,-10832000.0,-12400000.0,1200000.0,-18800000.0,-7209000.0,4000000.0,-8400000.0,7800000.0,5400000.0,1400000.0,0.0,0.0,0.0,0.0,3100000.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,-502000.0,3300000.0,4100000.0,7247000.0,4700000.0,13900000.0,4000000.0,7900000.0,3300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,17234000.0,-50432000.0,81071000.0,-57578000.0,66408000.0,4510000.0,-17019000.0,-15400000.0,1700000.0,47000000.0,-12030000.0,-70000.0,15377000.0,-77000.0,-17178000.0,78000.0,-50853000.0,0.0,79853000.0,-19400000.0,58000.0,-18958000.0,50000000.0,-26400000.0,-16759000.0,23959000.0,3600000.0,30000000.0,-6200000.0,30600000.0,-15600000.0,34000000.0,1800000.0,-11800000.0,-6100000.0,24800000.0,4500000.0,71800000.0,10900000.0,10100000.0,-2200000.0
,accountsReceivables,40090000.0,-930000.0,-10113000.0,-10313000.0,-372000.0,18738000.0,-29255000.0,3478000.0,19994000.0,0.0,0.0,0.0,15000000.0,0.0,33800000.0,0.0,-35600000.0,0.0,0.0,0.0,-12600000.0,0.0,0.0,0.0,50000000.0,0.0,-8800000.0,-16800000.0,-10200000.0,-56400000.0,0.0,-9300000.0,-14900000.0,14500000.0,6800000.0,0.0,0.0,-51500000.0,-16800000.0,-6000000.0,-3100000.0
,inventory,38667000.0,2573000.0,-18784000.0,-13629000.0,2686000.0,-26452000.0,1343000.0,-10610000.0,1075000.0,0.0,0.0,0.0,16700000.0,0.0,-3100000.0,0.0,-13500000.0,0.0,-24174000.0,0.0,-8900000.0,-1876000.0,0.0,0.0,38600000.0,-9172000.0,22400000.0,-41700000.0,-10900000.0,-12200000.0,6000000.0,-16700000.0,-14600000.0,15200000.0,1000000.0,-400000.0,-6400000.0,-56300000.0,-11800000.0,-12300000.0,-4300000.0
,accountsPayables,-60903000.0,19381000.0,9936000.0,0.0,7289000.0,14497000.0,15421000.0,-17316000.0,-4262000.0,0.0,0.0,0.0,16400000.0,0.0,5200000.0,0.0,-7700000.0,0.0,0.0,0.0,-2300000.0,0.0,0.0,0.0,35800000.0,0.0,-10100000.0,-900000.0,-4300000.0,-19900000.0,0.0,1800000.0,-12500000.0,13200000.0,-11500000.0,0.0,0.0,-14100000.0,-3100000.0,-6800000.0,-3400000.0
,otherWorkingCapital,302094000.0,284860000.0,335292000.0,254221000.0,311799000.0,245391000.0,240881000.0,257900000.0,273300000.0,271600000.0,224600000.0,236630000.0,236700000.0,221323000.0,221400000.0,238578000.0,238500000.0,289353000.0,289353000.0,209500000.0,228900000.0,228842000.0,247800000.0,197800000.0,224200000.0,240959000.0,217000000.0,213400000.0,183400000.0,189600000.0,159000000.0,174600000.0,140600000.0,138800000.0,150600000.0,156700000.0,131900000.0,127400000.0,55600000.0,44700000.0,34600000.0
,otherNonCashItems,0.0,9897000.0,43214000.0,0.0,6018000.0,14711000.0,4135000.0,34200000.0,21400000.0,11200000.0,42200000.0,0.0,10200000.0,0.0,70500000.0,0.0,67800000.0,0.0,26114000.0,42400000.0,44800000.0,0.0,19100000.0,76900000.0,51800000.0,0.0,4600000.0,12300000.0,0.0,0.0,-3400000.0,0.0,0.0,0.0,0.0,100000.0,200000.0,0.0,300000.0,1300000.0,-2200000.0
,netCashProvidedByOperatingActivites,14666000.0,141768000.0,91767000.0,103353000.0,98058000.0,126450000.0,46380000.0,66600000.0,46900000.0,24400000.0,47400000.0,20961000.0,54500000.0,20961000.0,55100000.0,21076000.0,65700000.0,20515000.0,30074000.0,61900000.0,9500000.0,9541000.0,-11800000.0,46500000.0,18300000.0,71432000.0,71100000.0,71900000.0,74700000.0,55000000.0,76600000.0,33400000.0,40600000.0,41700000.0,31100000.0,23000000.0,38600000.0,35700000.0,6000000.0,17600000.0,6100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
