Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12
Depreciation & Amortization,794000.0,1000000.0,624000.0,1000000.0,350000.0,0000000.0,0000000.0,0000000.0
Stock-based compensation,940000.0,1000000.0,833000.0,1000000.0,583000.0,1000000.0,0000000.0,0000000.0
Operating Cash Flow,-22242000.0,-22000000.0,-25850000.0,-26000000.0,-21579000.0,-22000000.0,-13000000.0,-8000000.0
Capital Expenditure,1710000.0,-2000000.0,2384000.0,-2000000.0,1880000.0,-2000000.0,-1000000.0,-0000000.0
Acquisitions and disposals,-0.0,,-0.0,,-0.0,,,
Investment purchases and sales,0.0,0,0.0,0,0.0,0,0,0
Investing Cash flow,-1661000.0,-2000000.0,-2137000.0,-2000000.0,-1192000.0,-1000000.0,-0000000.0,-2000000.0
Issuance (repayment) of debt,-0.0,000000.0,-234000.0,-0000000.0,-563000.0,-1000000.0,-1000000.0,-0000000.0
Issuance (buybacks) of shares,-2453000.0,,-23215000.0,,-31851000.0,,,
Dividend payments,-0.0,,-0.0,,-0.0,,,
Financing Cash Flow,33141000.0,33000000.0,19351000.0,19000000.0,48455000.0,48000000.0,18000000.0,4000000.0
Effect of forex changes on cash,0.0,,0.0,,0.0,,,
Net cash flow / Change in cash,9238000.0,9000000.0,23215000.0,-9000000.0,31851000.0,26000000.0,4000000.0,-6000000.0
Free Cash Flow,-23952000.0,-24000000.0,-28234000.0,-28000000.0,-23459000.0,-23000000.0,-14000000.0,-8000000.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,,
