date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,195989000.0,238775000.0,163239000.0,201456000.0,121232000.0,73802000.0,49110000.0,40307000.0,-1318000.0,-7445000.0,-202821000.0,5733000.0,41183000.0,155051000.0,112082000.0,87104000.0,110606000.0,113773000.0,119649000.0,122364000.0,117864000.0,124748000.0,75721000.0,51946000.0,35664000.0,12300000.0,9500000.0
,depreciationAndAmortization,102533000.0,98333000.0,94626000.0,94078000.0,95514000.0,92955000.0,93457000.0,94271000.0,100074000.0,132321000.0,145199000.0,164887000.0,185380000.0,176140000.0,162312000.0,133066000.0,105304000.0,91748000.0,82820000.0,81409000.0,70543000.0,68480000.0,65639000.0,39639000.0,28049000.0,26700000.0,12700000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,35231000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-5650000.0,156260000.0,29110000.0,26065000.0,6523000.0,8742000.0,-48433000.0,5610000.0,150955000.0,-20073000.0,-91463000.0,239185000.0,186074000.0,-29427000.0,9315000.0,-70976000.0,24210000.0,400000.0,1800000.0,31400000.0,-18600000.0,-12300000.0,-69800000.0,-154400000.0,-83600000.0,0.0,1000000.0
,accountsReceivables,4512000.0,-11436000.0,-6354000.0,-10809000.0,-5637000.0,-8867000.0,-5297000.0,-7708000.0,266000.0,-2933000.0,-1580000.0,51641000.0,-12934000.0,-29856000.0,-26678000.0,-49071000.0,-52801000.0,-24235000.0,-15648000.0,-23937000.0,-24776000.0,-12000000.0,-31300000.0,-25100000.0,-5600000.0,-6800000.0,-7500000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-2671000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5684000.0,-9411000.0,0.0,-216000.0,18408000.0,6020000.0,24407000.0,-9210000.0,-6454000.0,-3830000.0,-6070000.0,4811000.0,5000000.0,33400000.0,19600000.0,2100000.0,1000000.0,8000000.0
,otherWorkingCapital,270927000.0,276577000.0,120317000.0,91207000.0,65142000.0,58619000.0,49877000.0,98310000.0,92700000.0,-58255000.0,-38182000.0,53281000.0,-185904000.0,-371978000.0,-342551000.0,-351866000.0,-280890000.0,-305100000.0,-305500000.0,-307300000.0,-338700000.0,-320100000.0,-307800000.0,-238000000.0,-83600000.0,0.0,0.0
,otherNonCashItems,23210000.0,17965000.0,29988000.0,29640000.0,31068000.0,31518000.0,23002000.0,28879000.0,32431000.0,-5499000.0,-3376000.0,-2172000.0,6419000.0,-235705000.0,-192717000.0,-163229000.0,-62192000.0,26692000.0,22703000.0,35123000.0,-13288000.0,-10269000.0,-23107000.0,-15099000.0,-776000.0,11100000.0,400000.0
,netCashProvidedByOperatingActivites,241081000.0,245620000.0,210505000.0,191428000.0,173335000.0,162149000.0,137176000.0,125751000.0,136422000.0,87534000.0,83189000.0,142179000.0,71185000.0,92736000.0,59551000.0,49350000.0,77657000.0,99560000.0,131597000.0,147091000.0,160241000.0,176897000.0,149096000.0,102635000.0,62621000.0,38500000.0,23600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90524000.0,-89736000.0,0.0,-583414000.0,-677461000.0,-813840000.0,-920707000.0,-485393000.0,-312356000.0,-337399000.0,-400008000.0,-494084000.0,-233434000.0,-625027000.0,-827871000.0,-257156000.0,-87900000.0,-72900000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,-11546000.0,0.0,0.0,0.0,-155000.0,-777000.0,-75947000.0,0.0,-36605000.0,-32773000.0,-45175000.0,-5422000.0,-59341000.0,-16561000.0,-6025000.0,-22306000.0,0.0,-8318000.0,0.0,-257200000.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68722000.0,823010000.0,927162000.0,6837000.0,426209000.0,328983000.0,368410000.0,357402000.0,409113000.0,227340000.0,99904000.0,38435000.0,272172000.0,0.0,0.0
,otherInvestingActivites,-14077000.0,-20926000.0,-2567000.0,-3024000.0,13051000.0,-21277000.0,49097000.0,819000.0,14092000.0,10947000.0,12544000.0,5742000.0,18037000.0,22798000.0,61637000.0,50139000.0,74598000.0,75347000.0,20141000.0,9870000.0,19977000.0,-3946000.0,-2113000.0,-16069000.0,1613000.0,3700000.0,0.0
,netCashUsedForInvestingActivites,-251738000.0,-205386000.0,-223398000.0,-96228000.0,-110992000.0,-197074000.0,-69069000.0,-61313000.0,-42235000.0,-3779000.0,-9923000.0,4777000.0,6274000.0,126909000.0,129147000.0,-371654000.0,9992000.0,32633000.0,34591000.0,-38761000.0,-87300000.0,-10040000.0,-535554000.0,-805505000.0,-240571000.0,-84200000.0,-72900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
