date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-117507000.0,-64486000.0,-72627000.0,-56147000.0,-113747000.0,-47453000.0,-25404000.0,-5276000.0,-1811000.0
,depreciationAndAmortization,4158000.0,1573000.0,1750000.0,2096000.0,1603000.0,812000.0,162000.0,26000.0,1000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,20391000.0,9899000.0,13432000.0,8723000.0,11416000.0,11505000.0,8567000.0,515000.0,76000.0
,changeInWorkingCapital,12729000.0,-41573000.0,14968000.0,-32311000.0,-39040000.0,99611000.0,155147000.0,117000.0,470000.0
,accountsReceivables,0.0,0.0,0.0,886000.0,-437000.0,-6000.0,8000.0,-7000.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,1585000.0,-650000.0,-67000.0,333000.0,-111000.0,-312000.0,-6000.0,286000.0,445000.0
,otherWorkingCapital,2683000.0,156462000.0,198035000.0,183067000.0,215378000.0,254418000.0,154807000.0,-340000.0,-457000.0
,otherNonCashItems,75000.0,58000.0,78000.0,70000.0,8000.0,218000.0,18000.0,885000.0,16000.0
,netCashProvidedByOperatingActivites,-79291000.0,-49170000.0,-53964000.0,-45421000.0,-38366000.0,-35338000.0,-5648000.0,-2175000.0,-1267000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-11844000.0,-19247000.0,-809000.0,-1016000.0,-2412000.0,-2992000.0,-943000.0,-91000.0,-3000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,3000000.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-570386000.0,-197343000.0,-78726000.0,-209787000.0,0.0,-88427000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,302063000.0,148517000.0,148979000.0,88599000.0,37738000.0,49850000.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-280167000.0,-68073000.0,69444000.0,-122204000.0,38775000.0,-41569000.0,-943000.0,-91000.0,-3000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-61000.0,-112000.0,-175000.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,344302000.0,25889000.0,70187000.0,16519000.0,0.0,138954000.0,116453000.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,-4000000.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-2043000.0,-1470000.0,-1091000.0,-313000.0,-393000.0,-427000.0,-2540000.0,-20000.0,0.0
,netCashUsedProvidedByFinancingActivities,355985000.0,28191000.0,69949000.0,16748000.0,556000.0,138860000.0,165442000.0,2480000.0,500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,-774000.0,-143000.0,-9000.0,-11000.0,-7000.0,9000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-3473000.0,-89052000.0,85429000.0,-151651000.0,822000.0,61944000.0,158840000.0,207000.0,-761000.0
,cashAtEndOfPeriod,63423000.0,66896000.0,155948000.0,70519000.0,222170000.0,221348000.0,159404000.0,564000.0,357000.0
,cashAtBeginningOfPeriod,66896000.0,155948000.0,70519000.0,222170000.0,221348000.0,159404000.0,564000.0,357000.0,1118000.0
,operatingCashFlow,-79291000.0,-49170000.0,-53964000.0,-45421000.0,-38366000.0,-35338000.0,-5648000.0,-2175000.0,-1267000.0
,capitalExpenditure,-11844000.0,-19247000.0,-809000.0,-1016000.0,-2412000.0,-2992000.0,-943000.0,-91000.0,-3000.0
,freeCashFlow,-91135000.0,-68417000.0,-54773000.0,-46437000.0,-40778000.0,-38330000.0,-6591000.0,-2266000.0,-1270000.0
