date,,2021-01-02_FY,2019-12-28_FY,2018-12-29_FY,2017-12-30_FY,2017-01-07_FY,2016-12-31_FY,2016-01-02_FY,2015-01-03_FY,2013-12-28_FY,2012-12-29_FY,2011-12-31_FY,2011-01-01_FY,2010-03-01_FY,2010-01-02_FY,2008-12-27_FY,2007-12-29_FY,2007-02-28_FY,2006-12-30_FY,2006-03-13_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,revenue,2907000000.0,3238000000.0,3645600000.0,3360300000.0,3224000000.0,3224500000.0,3509700000.0,3257100000.0,3095700000.0,3166900000.0,2808332000.0,2238000000.0,1826277000.0,1826300000.0,2246200000.0,1802500000.0,1619545000.0,1619500000.0,1428707000.0,1428707000.0,756557000.0,619098000.0,605292000.0,663571000.0,598203000.0,544600000.0,543500000.0,487000000.0,281500000.0,295900000.0,242700000.0,219900000.0,199800000.0,152200000.0,168200000.0,167400000.0,148800000.0,103800000.0,78100000.0,55400000.0
,costOfRevenue,2098300000.0,2366600000.0,2677800000.0,2464700000.0,2359000000.0,2359300000.0,2568800000.0,2446900000.0,2307100000.0,2395900000.0,2142343000.0,1688600000.0,1402053000.0,1402100000.0,1745600000.0,1389100000.0,1230174000.0,1230200000.0,1117943000.0,1117943000.0,589497000.0,472343000.0,462149000.0,497694000.0,415225000.0,370100000.0,363700000.0,327100000.0,188000000.0,199200000.0,162100000.0,153900000.0,146000000.0,114600000.0,123500000.0,123600000.0,107700000.0,74000000.0,53500000.0,38300000.0
,grossProfit,808700000.0,871400000.0,967800000.0,895600000.0,865000000.0,865200000.0,940900000.0,810200000.0,788600000.0,771000000.0,665989000.0,549400000.0,424224000.0,424200000.0,500600000.0,413400000.0,389371000.0,389400000.0,310764000.0,310764000.0,167060000.0,146755000.0,143143000.0,165877000.0,182978000.0,174500000.0,179800000.0,159900000.0,93500000.0,96700000.0,80600000.0,66000000.0,53800000.0,37600000.0,44700000.0,43800000.0,41100000.0,29800000.0,24600000.0,17100000.0
,grossProfitRatio,0.278190574475404,0.26911673872761,0.265470704410797,0.266523822277773,0.268300248138958,0.268320669871298,0.268085591361085,0.248748887046759,0.254740446425687,0.243455745366131,0.237147530989926,0.245487042001787,0.23228896821238,0.232272901494826,0.222865283590063,0.229348127600555,0.240419994504629,0.240444581661006,0.217514157906415,0.217514157906415,0.220816144718772,0.237046477294386,0.236485861369389,0.249976264785532,0.305879442262911,0.320418655894234,0.33081876724931,0.328336755646817,0.33214920071048,0.326799594457587,0.332097239390194,0.300136425648022,0.269269269269269,0.247043363994744,0.265755053507729,0.261648745519713,0.276209677419355,0.287090558766859,0.314980793854033,0.308664259927798
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176192000.0,111898000.0,99529000.0,96363000.0,109817000.0,85821000.0,79000000.0,76700000.0,66600000.0,31800000.0,32900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,512900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000000.0,8700000.0,7000000.0,4500000.0,4000000.0,3700000.0,3300000.0,3100000.0,2700000.0,2200000.0
,operatingExpenses,512900000.0,520300000.0,620800000.0,565500000.0,544000000.0,544600000.0,688100000.0,688700000.0,580600000.0,458200000.0,410276000.0,311600000.0,264704000.0,264700000.0,270200000.0,207300000.0,195354000.0,195300000.0,176192000.0,176192000.0,111898000.0,99529000.0,96363000.0,109817000.0,111370000.0,102100000.0,98700000.0,85500000.0,42400000.0,43100000.0,41600000.0,40900000.0,36900000.0,27700000.0,26900000.0,23900000.0,21100000.0,15400000.0,13200000.0,10000000.0
,costAndExpenses,2611200000.0,2886900000.0,3298600000.0,3030200000.0,2903000000.0,2903900000.0,3256900000.0,3135600000.0,2887700000.0,2854100000.0,2552619000.0,2000200000.0,1666757000.0,1666800000.0,2015800000.0,1596400000.0,1425528000.0,1425500000.0,1294135000.0,1294135000.0,701395000.0,571872000.0,558512000.0,607511000.0,526595000.0,472200000.0,462400000.0,412600000.0,230400000.0,242300000.0,203700000.0,194800000.0,182900000.0,142300000.0,150400000.0,147500000.0,128800000.0,89400000.0,66700000.0,48300000.0
,interestExpense,39800000.0,53000000.0,55200000.0,56100000.0,58700000.0,58700000.0,60200000.0,39100000.0,42400000.0,44500000.0,31116000.0,19576000.0,-23284000.0,23284000.0,27709000.0,0.0,-19886000.0,0.0,-22090000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,131400000.0,134500000.0,142400000.0,137200000.0,93000000.0,155400000.0,159400000.0,138700000.0,128500000.0,126000000.0,98238000.0,72900000.0,49730000.0,69100000.0,61600000.0,46600000.0,30823000.0,37700000.0,31175000.0,37627000.0,21613000.0,22072000.0,23174000.0,31798000.0,25549000.0,23100000.0,22000000.0,18900000.0,10600000.0,10200000.0,9000000.0,8700000.0,7000000.0,4500000.0,4000000.0,3700000.0,3300000.0,3100000.0,2700000.0,2200000.0
,EBITDA,417300000.0,487600000.0,485200000.0,465400000.0,417700000.0,474600000.0,411300000.0,263000000.0,335400000.0,435700000.0,349961000.0,307921000.0,164401000.0,226684000.0,290134000.0,228583000.0,182794000.0,209600000.0,118471000.0,147013000.0,67775000.0,62070000.0,60704000.0,65840000.0,82099000.0,86400000.0,92000000.0,83300000.0,62400000.0,63300000.0,47100000.0,32300000.0,22300000.0,13400000.0,21200000.0,22600000.0,21500000.0,16700000.0,13000000.0,8600000.0
,EBITDARatio,0.143550051599587,0.150586781964175,0.133091946456002,0.138499538731661,0.129559553349876,0.14718561017212,0.117189503376357,0.0807466764913573,0.108343831766644,0.137579336259434,0.12461525204285,0.137587578194817,0.0900197505635782,0.124121995291026,0.129166592467278,0.126814424410541,0.112867502909768,0.129422661315221,0.0829218307182648,0.102899334853122,0.0895834682647837,0.100258763556012,0.100288786238708,0.099220731466565,0.13724270857886,0.158648549394051,0.169273229070837,0.171047227926078,0.221669626998224,0.213923622845556,0.19406674907293,0.146884947703502,0.111611611611612,0.088042049934297,0.126040428061831,0.135005973715651,0.144489247311828,0.160886319845857,0.166453265044814,0.155234657039711
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
