date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-9808360.0,39620.0,-3814530.0,-4460350.0,-16418630.0,-2209860.0,-3066070.0,-4830000.0,-2770000.0,920000.0,-10000.0,-29363000.0,-14966.0
,depreciationAndAmortization,2827.341,1343250.0,648730.0,939500.0,1378280.0,1444110.0,1630530.0,1690000.0,1520000.0,1380000.0,1150000.0,147000.0,147.0
,deferredIncomeTax,-63.2,13930.0,0.0,0.0,3856620.0,-250520.0,-1623210.0,-1620000.0,-990000.0,180000.0,120000.0,0.0,0.0
,stockBasedCompensation,343.78,197943.0,116434.0,178944.0,435794.0,369531.0,573029.0,1316826.0,120494.0,123984.0,0.0,0.0,0.0
,changeInWorkingCapital,-1315138.0,10401530.0,2093720.0,1162300.0,-4144730.0,-2928100.0,2880410.0,-380000.0,6190000.0,-1150000.0,10032000.0,0.0,2025.0
,accountsReceivables,3143.651,-4364197.0,-999099.0,-241256.0,841918000.0,-1280537000.0,877457000.0,698827000.0,2405123000.0,-3593340000.0,0.0,0.0,0.0
,inventory,-322.8,-443780.0,32241.0,564359.0,-1147934.0,-175948.0,712273.0,-434838.0,-1161098.0,-1094902.0,0.0,0.0,0.0
,accountsPayables,-2006.919,2117101.0,347249.0,-487458.0,-1192386.0,1118143.0,-2682139.0,-702269.0,-737729.0,1961393.0,-979000.0,5381000.0,2025.0
,otherWorkingCapital,15839992.0,17155130.0,6753600.0,4659880.0,3497580.0,7642310.0,10570410.0,7690000.0,8070000.0,1880000.0,3030000.0,-7002000.0,0.0
,otherNonCashItems,0.0,219000.0,672470.0,-105340.0,10036470.0,462950.0,995690.0,1750000.0,1300000.0,-20000.0,520000.0,0.0,0.0
,netCashProvidedByOperatingActivites,-2598.865,-4546760.0,-3914170.0,-3315360.0,415790.0,-2090960.0,-5733670.0,-2140000.0,-480000.0,10000.0,1750000.0,-23835000.0,-12794.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-3754.166,-2542757.0,-178872.0,-137674.0,-373740.0,-576278.0,-456432.0,-628905.0,-1491374.0,-1572300.0,0.0,0.0,0.0
,acquisitionsNet,-301.573,-1154902.0,0.0,0.0,0.0,0.0,-1874684.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,-16378.0,0.0,-23090000.0,-254270000.0,-4577999.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,-3016.0,7982.0,14001.0,0.0,0.0,0.0,106016.0,-191918.0,5203659.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-4008.521,-3700675.0,-170890.0,-123673.0,-373740.0,-592656.0,-2331116.0,-648495.0,-1743151.0,-946640.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-874.441,-541771000.0,-12397000.0,-54929.0,-26714.0,-223072000.0,-223978000.0,-170290000.0,3055150.0,-202719000.0,0.0,0.0,0.0
,commonStockIssued,4662.127,14650039.0,6777100.0,1825000.0,0.0,0.0,12071250000.0,3845470.0,7079707.0,4607087.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,14650040.0,6777100.0,4466000.0,0.0,0.0,0.0,3850000.0,7080000.0,30000.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,7047190.0,3016291.0,4820828.0,1032745.0,1147519.0,16305743.0,4713985.0,-1259869.0,1713525.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,7216.902,14627470.0,6017280.0,4104700.0,-202619.0,-223072.0,10451991.0,3675180.0,5001650.0,1742613.0,25000.0,20000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,2871001.0,-372213.0,-642304.0,611884.0,-1376.0,-1576469.0,-1417724.0,125606.0,59859.0,-327323.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,3480.517,6007820.0,1289910.0,1277550.0,-161940.0,-4483160.0,969480.0,1010000.0,2840000.0,470000.0,-15600.0,-3835000.0,-12794.0
,cashAtEndOfPeriod,13264.449,9783930.0,3776110.0,2486200.0,1208650.0,1370590.0,5849480.0,4880000.0,3870000.0,1030000.0,-10000.0,5600000.0,9435.0
,cashAtBeginningOfPeriod,9783.932,3776110.0,2486200.0,1208650.0,1370590.0,5853750.0,4880000.0,3870000.0,1030000.0,560000.0,5600.0,9435000.0,22229.0
,operatingCashFlow,-2598.865,-4546760.0,-3914170.0,-3315360.0,415790.0,-2090960.0,-5733670.0,-2140000.0,-480000.0,10000.0,1750000.0,-23835000.0,-12794.0
,capitalExpenditure,-3754.166,-2542757.0,-178872.0,-137674.0,-373740.0,-576278.0,-456432.0,-628905.0,-1491374.0,-1572300.0,-1340000.0,0.0,0.0
