date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,32115000.0,61202000.0,69285000.0,18495000.0,23488000.0,41222000.0,29860000.0,-19628000.0,40874000.0,23192000.0,39834000.0,34449000.0,-55990000.0,19587000.0,90054000.0,30312000.0,36973000.0,-446901000.0,13286000.0
,depreciationAndAmortization,310317000.0,285353000.0,204559000.0,170751000.0,140002000.0,125443000.0,108254000.0,91749000.0,84477000.0,91063000.0,87594000.0,84587000.0,94451000.0,51747000.0,45660000.0,41167000.0,36817000.0,98503000.0,147993000.0
,deferredIncomeTax,18492000.0,10478000.0,18986000.0,-30771000.0,13807000.0,23691000.0,17757000.0,18772000.0,23749000.0,17126000.0,20820000.0,19743000.0,9790000.0,13589000.0,0.0,0.0,0.0,-134738000.0,11063000.0
,stockBasedCompensation,7477000.0,7002000.0,5047000.0,3632000.0,3165000.0,2454000.0,2924000.0,2732000.0,3231000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-13420000.0,-26535000.0,30256000.0,22963000.0,2368000.0,-30921000.0,-14127000.0,14965000.0,-20681000.0,31861000.0,-67368000.0,70246000.0,-33089000.0,41722000.0,23715000.0,-10275000.0,-8394000.0,46929000.0,10593000.0
,accountsReceivables,9359000.0,-14551000.0,25380000.0,-31313000.0,-9597000.0,-14410000.0,9582000.0,-4994000.0,-4328000.0,1980000.0,41529000.0,4436000.0,-32518000.0,-30910000.0,5411000.0,38901000.0,-49195000.0,-3293000.0,0.0
,inventory,-27825000.0,-6493000.0,-3273000.0,-4107000.0,-5269000.0,-3896000.0,-4164000.0,-900000.0,-1759000.0,-13000.0,-6253000.0,8241000.0,9583000.0,-2995000.0,-2636000.0,-3929000.0,-899000.0,2082000.0,1258000.0
,accountsPayables,5584000.0,3340000.0,10724000.0,23500000.0,5603000.0,4424000.0,-803000.0,2012000.0,-5688000.0,-1715000.0,2729000.0,1871000.0,-29888000.0,5093000.0,-46284000.0,4871000.0,19280000.0,-7925000.0,0.0
,otherWorkingCapital,32886000.0,3552000.0,30087000.0,-169000.0,-23132000.0,-25500000.0,5421000.0,19548000.0,4583000.0,25264000.0,-6597000.0,60771000.0,-9475000.0,23614000.0,-18108000.0,-41823000.0,-31548000.0,-23154000.0,-70083000.0
,otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2213000.0,-70000.0,6247000.0,91241000.0,19234000.0,-52307000.0,0.0,0.0,0.0,-5218000.0
,netCashProvidedByOperatingActivites,512302000.0,396938000.0,298025000.0,234992000.0,193092000.0,173699000.0,148785000.0,94411000.0,110633000.0,136106000.0,112263000.0,102984000.0,161651000.0,95506000.0,54418000.0,119111000.0,57174000.0,101433000.0,177717000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-510417000.0,-453502000.0,-292915000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160166000.0,-89003000.0,-60685000.0,-73668000.0,-88524000.0,-98401000.0
,acquisitionsNet,0.0,-24000000.0,-867000000.0,-12000000.0,-17000000.0,0.0,-15000000.0,0.0,0.0,0.0,0.0,0.0,-4000000.0,-297000000.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30180000.0,-17909000.0,-24362000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,9975000.0,0.0,0.0,0.0,0.0,0.0,1750000.0,0.0,26000.0,49610000.0,19934000.0,17151000.0,4250000.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,9975000.0,0.0,0.0,0.0,6803000.0,0.0,0.0,0.0,0.0,0.0,-151957000.0,-89003000.0,-60685000.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-499167000.0,-467058000.0,-1141903000.0,-298375000.0,-269492000.0,-151873000.0,-123582000.0,-104388000.0,-149471000.0,-200186000.0,-78700000.0,-92795000.0,-24982000.0,-455866000.0,-86666000.0,-80331000.0,-73668000.0,-88524000.0,-98401000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-689380000.0,-39500000.0,-58640000.0,-254446000.0,-44069000.0,-69344000.0,-79221000.0,-53766000.0,-26223000.0,-214424000.0,-70249000.0,-43074000.0,-118326000.0,-12971000.0,-8959000.0,-7953000.0,-7333000.0,-96353000.0,-6493000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,-3581000.0,-11184000.0,-63570000.0,-10345000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-10237000.0,-3519000.0,-12278000.0,-66898000.0,-2300000.0,0.0,7879000.0,0.0,0.0,-2536000.0,0.0,0.0,0.0,-9367000.0,-47000.0,-103000.0,-525000.0,-31530000.0,-72823000.0
,netCashUsedProvidedByFinancingActivities,-19617000.0,56999000.0,870501000.0,79724000.0,75061000.0,-34689000.0,-26342000.0,26234000.0,23777000.0,48040000.0,-70249000.0,-43074000.0,-79826000.0,356412000.0,25994000.0,-8056000.0,-7858000.0,50159000.0,-79316000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
