date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,revenue,15341000000.0,14589000000.0,14095000000.0,13305000000.0,12725000000.0,12430000000.0,11927000000.0,11336000000.0,10852000000.0,10325000000.0,9779000000.0,9606000000.0,9653000000.0,9074000000.0,8681000000.0,8143000000.0,7581000000.0,7146000000.0,7007000000.0,7203000000.0,5157000000.0,5761800000.0,4842700000.0
,costOfRevenue,6268000000.0,6005000000.0,6368000000.0,5904000000.0,5631000000.0,5532000000.0,5299000000.0,4962000000.0,4820000000.0,4726000000.0,3380000000.0,3278000000.0,5815000000.0,5465000000.0,5023000000.0,4794000000.0,4438000000.0,4302000000.0,4488000000.0,4673000000.0,3968000000.0,3544900000.0,3451600000.0
,grossProfit,9073000000.0,8584000000.0,7727000000.0,7401000000.0,7094000000.0,6898000000.0,6628000000.0,6374000000.0,6032000000.0,5599000000.0,6399000000.0,6328000000.0,3838000000.0,3610000000.0,3658000000.0,3349000000.0,3143000000.0,2844000000.0,2519000000.0,2530000000.0,1189000000.0,2216900000.0,1391100000.0
,grossProfitRatio,0.591421680464116,0.588388511892522,0.54820858460447,0.556257046223224,0.557485265225933,0.554947707160097,0.555713926385512,0.56227946365561,0.555842241061555,0.54227602905569,0.654361386644851,0.65875494482615,0.397596602092614,0.397839982367203,0.421380025342702,0.411273486430063,0.414589104339797,0.397984886649874,0.359497645211931,0.351242537831459,0.230560403335272,0.384758235273699,0.287257108637743
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,3701000000.0,2971000000.0,2770000000.0,2568000000.0,2827000000.0,2552000000.0,2715000000.0,2353000000.0,2091000000.0,1880000000.0,2682000000.0,2647000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,-41000000.0,-40000000.0,-58000000.0,-36000000.0,-48000000.0,-486000000.0,-54000000.0,-58000000.0,-54000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
