date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY
,revenue,13643000.0,3648000.0,0.0,9821000.0,28850000.0,27182000.0,40531000.0,33012000.0,44326000.0,37576000.0,23442000.0,0.0,0.0,0.0,0.0
,costOfRevenue,542000.0,0.0,0.0,10729000.0,22468000.0,22701000.0,31877000.0,22483000.0,20849000.0,20498000.0,13689000.0,0.0,0.0,0.0,0.0
,grossProfit,13101000.0,3648000.0,0.0,-908000.0,6382000.0,4481000.0,8654000.0,10529000.0,23477000.0,17078000.0,9753000.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.960272667301913,1.0,0.0,-0.0924549434884431,0.221213171577123,0.16485174012214,0.21351558066665,0.318944626196535,0.529644001263367,0.454492229082393,0.416048118761198,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,138002000.0,115639000.0,100925000.0,67449000.0,41840000.0,27860000.0,18936000.0,12805000.0,21414000.0,33043000.0,28643000.0,21438000.0,33910000.0,24330000.0,4900000.0
,GeneralAndAdministrativeExpenses,99574000.0,33625000.0,23216000.0,21123000.0,20994000.0,22412000.0,88899000.0,50040000.0,49494000.0,60459000.0,51270000.0,14102000.0,11820000.0,4730000.0,1470000.0
,SellingAndMarketingExpenses,0.0,27167000.0,15734000.0,4762000.0,6002000.0,3935000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,21777000.0,371000.0,10126000.0,47000.0,46000.0,-71000.0,7716000.0,96000.0,-1354000.0,0.0,0.0,0.0,0.0,0.0,0.0
