date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,183608000.0,126833000.0,119346000.0,30301000.0,37261000.0,-3021000.0,12776000.0,-96178000.0,-83588000.0,-382464000.0,112580000.0,135837000.0,86682000.0,65113000.0,38255000.0,30102000.0,20504000.0,8407000.0,752000.0,5386000.0,6370000.0,1300000.0,-24871000.0,-1194000.0,18321.0,900000.0,0.0,-100000.0
,depreciationAndAmortization,67942000.0,54333000.0,13261000.0,17123000.0,19678000.0,20036000.0,28347000.0,37383000.0,40059000.0,39559000.0,34589000.0,28312000.0,20406000.0,13774000.0,10558000.0,6973000.0,4126000.0,3072000.0,2947000.0,3439000.0,2872000.0,3068000.0,1707000.0,1240000.0,944676.0,-600000.0,-300000.0,-100000.0
,deferredIncomeTax,-26560000.0,13466000.0,20271000.0,52178000.0,24547000.0,-677000.0,22561000.0,-57095000.0,-31161000.0,-121949000.0,25927000.0,21547000.0,29436000.0,2529000.0,16499000.0,7425000.0,6996000.0,4620000.0,-3514000.0,0.0,0.0,0.0,926000.0,-566000.0,-239672.0,-200000.0,0.0,0.0
,stockBasedCompensation,26730000.0,25040000.0,17887000.0,16295000.0,16401000.0,11824000.0,5597000.0,6519000.0,7217000.0,8292000.0,22762000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-117964000.0,21969000.0,-94452000.0,62532000.0,33492000.0,26835000.0,80372000.0,-108138000.0,-9281000.0,-67344000.0,88896000.0,-993000.0,-73054000.0,-34510000.0,104902000.0,-84529000.0,61336000.0,24110000.0,9828000.0,-13491000.0,21960000.0,4451000.0,-34417000.0,2114432.0,-777432.0,1000000.0,-400000.0,-200000.0
,accountsReceivables,2114000.0,-24146000.0,12224000.0,-59731000.0,-55519000.0,-36493000.0,-5290000.0,41578000.0,-42840000.0,-6526000.0,-10494000.0,5200000.0,-60478000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0,-1700000.0,100000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2012000.0,-1134000.0,-445000.0,-1307000.0,-266000.0,235000.0,546000.0,0.0,0.0,0.0,0.0,0.0,-100000.0
,accountsPayables,1941000.0,-11329000.0,3165000.0,-2843000.0,3970000.0,7639000.0,-3168000.0,-9876000.0,8072000.0,-1521000.0,4694000.0,2493000.0,-11124000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200000.0,100000.0,100000.0
,otherWorkingCapital,-94353000.0,23611000.0,1642000.0,96094000.0,33562000.0,70000.0,-26765000.0,-107137000.0,1001000.0,10282000.0,77626000.0,-11270000.0,-10277000.0,62777000.0,97287000.0,-7615000.0,76914000.0,15578000.0,-8532000.0,-18360000.0,-4869000.0,-26829000.0,-31280000.0,3137000.0,1022568.0,1800000.0,800000.0,1200000.0
,otherNonCashItems,6313000.0,5828000.0,6955000.0,6056000.0,5063000.0,6569000.0,2822000.0,152349000.0,3017000.0,579955000.0,29848000.0,28026000.0,30736000.0,15163000.0,15372000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18287000.0,2597000.0,-2988694.0,1300000.0,600000.0,0.0
,netCashProvidedByOperatingActivites,288952000.0,202000000.0,223483000.0,105731000.0,62259000.0,107785000.0,-65534000.0,102263000.0,69494000.0,141663000.0,206273000.0,247659000.0,150741000.0,93085000.0,43080000.0,43540000.0,29711000.0,21788000.0,11119000.0,7662000.0,6914000.0,-9177000.0,7626000.0,-1142000.0,-934841.0,1600000.0,-1000000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-5332000.0,-7888000.0,-6558000.0,-10707000.0,-15717000.0,-21429000.0,-12008000.0,-41736000.0,-48262000.0,-44415000.0,-63971000.0,-36359000.0,-28385000.0,-28633000.0,-29271000.0,-20393000.0,-5231000.0,-1789000.0,-1267000.0,-13424000.0,-338000.0,-947000.0,-3321000.0,-1456000.0,-2965419.0,-400000.0,-800000.0,-200000.0
,acquisitionsNet,-298958000.0,-345000000.0,-9000000.0,-34000000.0,-36000000.0,-69000000.0,4000000.0,4000000.0,-12000000.0,-132000000.0,-4000000.0,-54000000.0,-471000000.0,-102000000.0,-14000000.0,-145000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-875000.0,-210000.0,-7144000.0,-476000.0,-1040000.0,-3485000.0,-6407000.0,-10067000.0,0.0,-5045000.0,-6089000.0,0.0,0.0,-89000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,0.0,985000.0,0.0,0.0,0.0,89000000.0,0.0,32000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,101000.0,448000.0,715000.0,622000.0,230000.0,1210000.0,-121000.0,17000.0,137000.0,0.0,2592000.0,-2151000.0,-1249000.0,3466000.0,-4797000.0,0.0,0.0,0.0,-64000.0,1040000.0,6858000.0,81000.0,-181000.0,24000.0,240000.0,0.0,-400000.0,0.0
,netCashUsedForInvestingActivites,-287108000.0,-352948000.0,-22193000.0,-44027000.0,-52049000.0,-67421000.0,-14300000.0,-46458000.0,-59993000.0,-180710000.0,-73616000.0,-97255000.0,-505651000.0,-124324000.0,-48060000.0,-132701000.0,-34951000.0,-8327000.0,-3319000.0,-15773000.0,6810000.0,-748000.0,-3072000.0,-1241000.0,-2712961.0,-400000.0,-1200000.0,-200000.0
