date,,2021-03-31_FY,2020-03-31_FY,2020-03-29_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,70200000.0,151700000.0,151700000.0,143600000.0,96055000.0,21640000.0,26485000.0,14425000.0
,depreciationAndAmortization,84600000.0,63100000.0,63100000.0,22700000.0,14219000.0,8521000.0,5916000.0,3394000.0
,deferredIncomeTax,15800000.0,12000000.0,0.0,0.0,0.0,0.0,6473000.0,4707000.0
,stockBasedCompensation,11300000.0,8500000.0,0.0,2000000.0,5922000.0,0.0,500000.0,300000.0
,changeInWorkingCapital,102500000.0,-130600000.0,-201200000.0,-152200000.0,-20868000.0,-16582000.0,-37848000.0,-17493000.0
,accountsReceivables,-10400000.0,-10600000.0,-11900000.0,0.0,0.0,8765000.0,-3366000.0,-9241000.0
,inventory,67000000.0,-141800000.0,-145000000.0,0.0,0.0,-5958000.0,-49778000.0,-10622000.0
,accountsPayables,0.0,0.0,-6100000.0,0.0,0.0,-1690000.0,0.0,0.0
,otherWorkingCapital,13900000.0,17000000.0,0.0,168000000.0,98954000.0,0.0,1367000.0,1425000.0
,otherNonCashItems,26700000.0,20400000.0,48900000.0,59300000.0,36825000.0,25751000.0,7851000.0,7058000.0
,netCashProvidedByOperatingActivites,293700000.0,62500000.0,62500000.0,73400000.0,126231000.0,39330000.0,-6442000.0,4960000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-26900000.0,0.0,-62300000.0,-26000000.0,-33799000.0,-26269000.0,-21842000.0,-6003000.0
,acquisitionsNet,0.0,0.0,0.0,-26000000.0,0.0,-1000000.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-32000000.0,0.0,-62300000.0,-82900000.0,-34384000.0,-26979000.0,-21842000.0,-7263000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-38800000.0,-24700000.0,0.0,-7000000.0,-85306000.0,0.0,-1250000.0,-1250000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,-38700000.0,-36300000.0,3100000.0,1238000.0,-121335000.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-15700000.0,2300000.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,197000000.0,-58700000.0,-58700000.0,3100000.0,-7934000.0,-9899000.0,29592000.0,4951000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-12500000.0,1600000.0,1600000.0,-300000.0,1699000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,446200000.0,-56900000.0,-56900000.0,-6700000.0,85612000.0,2452000.0,1308000.0,2648000.0
,cashAtEndOfPeriod,477900000.0,31700000.0,31700000.0,88590000.0,95290000.0,9678000.0,7226000.0,5918000.0
,cashAtBeginningOfPeriod,31700000.0,88600000.0,88600000.0,95290000.0,9678000.0,7226000.0,5918000.0,3270000.0
,operatingCashFlow,293700000.0,62500000.0,62500000.0,73400000.0,126231000.0,39330000.0,-6442000.0,4960000.0
,capitalExpenditure,-32000000.0,-62300000.0,-62300000.0,-26000000.0,-33799000.0,-26269000.0,-21842000.0,-6003000.0
,freeCashFlow,261700000.0,200000.0,200000.0,24100000.0,92432000.0,13061000.0,-28284000.0,-1043000.0
