Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12
Revenue,439098000.0,440041000.0,440000000.0,456219000.0,456000000.0,450861000.0,451000000.0,441000000.0,449000000.0
Revenue Growth,-0.0021,-0.0355,,0.0119,,,,,
Cost of Revenue,81146000.0,85766000.0,130000000.0,81347000.0,134000000.0,80907000.0,134000000.0,142000000.0,138000000.0
Gross Profit,280545000.0,275608000.0,310000000.0,287972000.0,322000000.0,281096000.0,316000000.0,300000000.0,311000000.0
R&D Expenses,,,,,,,,,
SG&A Expense,159949000.0,161441000.0,194000000.0,171541000.0,199000000.0,203718000.0,204000000.0,186000000.0,185000000.0
Operating Expenses,,,228000000.0,,233000000.0,,239000000.0,223000000.0,223000000.0
Operating Income,120596000.0,114167000.0,82000000.0,116431000.0,89000000.0,77378000.0,77000000.0,77000000.0,88000000.0
Interest Expense,,,79000000.0,,82000000.0,,80000000.0,80000000.0,89000000.0
Earnings before Tax,3406000.0,-10701000.0,-11000000.0,10296000.0,10000000.0,-51076000.0,-51000000.0,-8000000.0,-16000000.0
Income Tax Expense,138758000.0,5263000.0,-123000000.0,-9580000.0,10000000.0,-15058000.0,15000000.0,35000000.0,29000000.0
Net Income - Non-Controlling int,,,,,,,,,
Net Income - Discontinued ops,,,,,,,,,
Net Income,,,112000000.0,,-0000000.0,,-74000000.0,-63000000.0,-62000000.0
Preferred Dividends,,,,,,,,,
Net Income Com,141001000.0,-6013000.0,112000000.0,-423000.0,-0000000.0,-74022000.0,-74000000.0,-63000000.0,-62000000.0
EPS,3.09,-0.13,2.37,-0.01,-0.01,-1.54,-1.54,-1.32,-1.28
EPS Diluted,2.94,-0.12,2.25,-0.01,-0.01,-1.54,-1.54,-1.32,-1.28
Weighted Average Shs Out,46000000.0,48000000.0,47000000.0,49000000.0,48000000.0,50000000.0,48000000.0,48000000.0,48000000.0
Weighted Average Shs Out (Dil),,,50000000.0,,48000000.0,,48000000.0,48000000.0,48000000.0
Dividend per Share,,,,,,,,,
Gross Margin,0.6389,0.6263,0.70454545454545,0.6312,0.70614035087719,0.6235,0.70066518847007,0.68027210884354,0.69265033407572
EBITDA Margin,,,0.23409090909091,,0.27631578947368,,0.14190687361419,0.24716553287982,0.38307349665924
EBIT Margin,,,0.15454545454545,,0.20175438596491,,0.046563192904656,0.11791383219955,0.12472160356347
Profit Margin,,,0.25454545454545,,-0,,-0.16407982261641,-0.14285714285714,-0.1380846325167
Free Cash Flow margin,,,,,,,,,
EBITDA,,,103000000.0,,126000000.0,,64000000.0,109000000.0,172000000.0
EBIT,,,68000000,,92000000,,21000000,52000000,56000000
Consolidated Income,,,112000000.0,,-0000000.0,,-74000000.0,-63000000.0,-62000000.0
Earnings Before Tax Margin,0.0078,-0.0243,-0.025,0.0226,0.021929824561404,-0.1133,-0.11308203991131,-0.018140589569161,-0.035634743875278
Net Profit Margin,,,0.25454545454545,,-0,,-0.16407982261641,-0.14285714285714,-0.1380846325167
