date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-25762000.0,-44795000.0,-40254000.0,-26580000.0,-13557000.0,-12331637.0
,depreciationAndAmortization,2411000.0,4081000.0,3403000.0,3071000.0,815000.0,198905.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,3572000.0,4206000.0,1201000.0,1081000.0,1060000.0,300771.0
,changeInWorkingCapital,-12789000.0,6740000.0,-10897000.0,-1489000.0,-5298372.0,3288320.0
,accountsReceivables,212000.0,481000.0,157000.0,-882000.0,0.0,0.0
,inventory,166000.0,-492000.0,295000.0,-1636000.0,-59000.0,0.0
,accountsPayables,-1999000.0,823000.0,472000.0,926000.0,-176000.0,3151807.0
,otherWorkingCapital,4904000.0,17693000.0,10953000.0,21850000.0,23339000.0,28637372.0
,otherNonCashItems,1237000.0,7678000.0,2673000.0,1092000.0,459000.0,1226412.0
,netCashProvidedByOperatingActivites,-11028000.0,-25177000.0,-26318000.0,-19002000.0,-11121000.0,-1476249.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-3367000.0,-13074000.0,-3693000.0,-8819000.0,-26512000.0,-7782548.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,9838000.0,2500000.0,-236000.0,779000.0,7649000.0,-17114548.0
,netCashUsedForInvestingActivites,6633000.0,-10574000.0,-3929000.0,-8651000.0,-19063000.0,-25043496.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-654000.0,-6946000.0,-407000.0,-337000.0,-66000.0,0.0
,commonStockIssued,3676000.0,29380000.0,28753000.0,25325000.0,30709000.0,32862172.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,3354000.0,22434000.0,28346000.0,24988000.0,35501000.0,42123811.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-1041000.0,-13317000.0,-1901000.0,-2665000.0,5317000.0,15604066.0
,cashAtEndOfPeriod,6534000.0,7575000.0,20892000.0,22793000.0,25458000.0,20140667.0
,cashAtBeginningOfPeriod,7575000.0,20892000.0,22793000.0,25458000.0,20141000.0,4536601.0
,operatingCashFlow,-11028000.0,-25177000.0,-26318000.0,-19002000.0,-11121000.0,-1476249.0
,capitalExpenditure,-3367000.0,-13074000.0,-3693000.0,-9434000.0,-26712000.0,-7928948.0
,freeCashFlow,-14395000.0,-38251000.0,-30011000.0,-28436000.0,-37833000.0,-9405197.0
