Date,2018-09-30,2018-09,2017-09-30,2017-09,2016-09-30,2016-09,2015-09-30,2015-09,2014-09-30,2014-09,2013-09-30,2012-09-30,2011-09-30,2010-09-30
Depreciation & Amortization,0.0,163000000.0,156165000.0,154000000.0,133850000.0,133000000.0,123079000.0,122000000.0,103599000.0,111000000.0,99715000.0,94705000.0,90031000.0,0.0
Stock-based compensation,0.0,20000000.0,17154000.0,17000000.0,12308000.0,12000000.0,16478000.0,16000000.0,3185000.0,4000000.0,2292000.0,3394000.0,2651000.0,0.0
Operating Cash Flow,0.0,323000000.0,230625000.0,231000000.0,227766000.0,228000000.0,504059000.0,504000000.0,295155000.0,382000000.0,274049000.0,256275000.0,249894000.0,0.0
Capital Expenditure,0.0,-516000000.0,516534000.0,-517000000.0,530385000.0,-530000000.0,464291000.0,-464000000.0,283891000.0,-395000000.0,225426000.0,206699000.0,179694000.0,0.0
Acquisitions and disposals,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0,-0.0,-0.0
Investment purchases and sales,0.0,-411000000,0.0,-147000000,0.0,-158000000,-41485000.0,-67000000,0.0,-31000000,0.0,0.0,0.0,0.0
Investing Cash flow,0.0,-924000000.0,-650707000.0,-651000000.0,-665465000.0,-665000000.0,-525109000.0,-525000000.0,-283891000.0,-422000000.0,-225426000.0,-206699000.0,-179694000.0,0.0
Issuance (repayment) of debt,-0.0,-250000000.0,-0.0,000000.0,-25000000.0,-88000000.0,-20000000.0,-142000000.0,-67000000.0,-67000000.0,-2295000.0,-77000000.0,-30000000.0,-0.0
Issuance (buybacks) of shares,0.0,,293000.0,,78287000.0,,-41485000.0,,-346000.0,,0.0,630000.0,3627000.0,0.0
Dividend payments,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0,-0.0,-0.0
Financing Cash Flow,0.0,716000000.0,423033000.0,423000000.0,436539000.0,437000000.0,18972000.0,19000000.0,-10204000.0,45000000.0,-48624000.0,-50928000.0,-73237000.0,0.0
Effect of forex changes on cash,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,0.0,114000000.0,2951000.0,3000000.0,-1160000.0,-1000000.0,-2078000.0,-2000000.0,1060000.0,5000000.0,-1000.0,-1352000.0,-3037000.0,0.0
Free Cash Flow,0.0,-194000000.0,-285909000.0,-286000000.0,-302619000.0,-303000000.0,39768000.0,40000000.0,11264000.0,-13000000.0,48623000.0,49576000.0,70200000.0,0.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
