date,,2021-01-29_FY,2020-01-31_FY,2019-02-01_FY,2018-02-02_FY,2017-02-03_FY,2016-01-31_FY,2015-01-31_FY,2014-01-31_FY,2013-01-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-21902000.0,-31666000.0,-39101000.0,-10417000.0,-31641000.0,-72381000.0,-38490000.0,-44515000.0,-41547000.0
,depreciationAndAmortization,41614000.0,42932000.0,41207000.0,42171000.0,39425000.0,40638000.0,41425000.0,37027000.0,31840000.0
,deferredIncomeTax,0.0,-19658000.0,0.0,0.0,0.0,-40196000.0,-22745000.0,-23908000.0,-20800000.0
,stockBasedCompensation,24414000.0,19548000.0,19370000.0,13790000.0,8883000.0,841000.0,785000.0,4331000.0,5901000.0
,changeInWorkingCapital,23435000.0,-10032000.0,-19825000.0,-22007000.0,120757000.0,45473000.0,13150000.0,12213000.0,21169000.0
,accountsReceivables,2557000.0,26789000.0,13750000.0,-48540000.0,956000.0,-52443000.0,-24527000.0,-9741000.0,-13658000.0
,inventory,186000.0,-278000.0,562000.0,917000.0,1610000.0,-1179000.0,-1389000.0,1779000.0,-1656000.0
,accountsPayables,-1527000.0,7008000.0,-6117000.0,3302000.0,2041000.0,2311000.0,5570000.0,-4190000.0,7243000.0
,otherWorkingCapital,51874000.0,28439000.0,38471000.0,58296000.0,80303000.0,56282000.0,34275000.0,21212000.0,4760000.0
,otherNonCashItems,0.0,1830000.0,13055000.0,-41306000.0,-12566000.0,10119000.0,7202000.0,5118000.0,3571000.0
,netCashProvidedByOperatingActivites,60589000.0,78839000.0,57199000.0,787000.0,-6838000.0,-9843000.0,2232000.0,-8609000.0,2160000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,-10200000.0,-13819000.0,-19361000.0,0.0,0.0,0.0,0.0
,acquisitionsNet,-15081000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-18086000.0,-12590000.0,-10200000.0,-13819000.0,-19361000.0,-9023000.0,-9542000.0,-6201000.0,-20825000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-5510000.0,0.0,-2208000.0,800000.0,910000.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,-6377000.0,-13531000.0,0.0,99604000.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,-8953000.0,112854000.0,98715000.0,225967000.0,23119000.0,11553000.0,11171000.0,18117000.0
,netCashUsedProvidedByFinancingActivities,-4041000.0,-14003000.0,-18946000.0,-2024000.0,109372000.0,45619000.0,11553000.0,11171000.0,18117000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,38462000.0,52246000.0,28053000.0,-15056000.0,83173000.0,26753000.0,4243000.0,-3639000.0,-548000.0
,cashAtEndOfPeriod,220300000.0,181838000.0,129592000.0,101539000.0,116595000.0,33422000.0,6669000.0,2426000.0,6065000.0
,cashAtBeginningOfPeriod,181838000.0,129592000.0,101539000.0,116595000.0,33422000.0,6669000.0,2426000.0,6065000.0,6613000.0
,operatingCashFlow,60589000.0,78839000.0,57199000.0,787000.0,-6838000.0,-9843000.0,2232000.0,-8609000.0,2160000.0
,capitalExpenditure,0.0,-12590000.0,-10200000.0,-13819000.0,-19361000.0,-9023000.0,-9542000.0,-6201000.0,-20825000.0
,freeCashFlow,60589000.0,66249000.0,46999000.0,-13032000.0,-26199000.0,-18866000.0,-7310000.0,-14810000.0,-18665000.0
