date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-1135626000.0,1465659000.0,1205596000.0,-108063000.0,-456873000.0,-521031000.0,-577820000.0
,depreciationAndAmortization,495177000.0,465549000.0,425498000.0,395867000.0,402172000.0,312823000.0,208165000.0
,deferredIncomeTax,1064396000.0,-1122511000.0,-801720000.0,-6415000.0,-4775000.0,-28125000.0,-9609000.0
,stockBasedCompensation,474932000.0,378025000.0,326228000.0,433806000.0,615233000.0,678924000.0,631597000.0
,changeInWorkingCapital,-24595000.0,1192874000.0,856119000.0,670431000.0,192422000.0,13694000.0,-201975000.0
,accountsReceivables,-188039000.0,-67000000.0,-130871000.0,2668000.0,-22969000.0,-216585000.0,-177583000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,18232000.0,2946000.0,-1533000.0,8371000.0,-7112000.0,76355000.0,18059000.0
,otherWorkingCapital,168000000.0,6787599000.0,5594725000.0,4738606000.0,4068175000.0,3875753000.0,3862059000.0
,otherNonCashItems,90969000.0,96392000.0,91787000.0,85228000.0,120744000.0,70623000.0,19143000.0
,netCashProvidedByOperatingActivites,992870000.0,1303364000.0,1339711000.0,831209000.0,763055000.0,383066000.0,81796000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-873354000.0,-540688000.0,-483934000.0,-160742000.0,-218657000.0,-347280000.0,-201630000.0
,acquisitionsNet,-48000000.0,-30000000.0,-34000000.0,0.0,-85000000.0,-52000000.0,-163000000.0
,purchasesOfInvestments,-6284307000.0,-5849274000.0,-5337771000.0,-2688039000.0,-2990113000.0,-3683488000.0,-2937033000.0
,salesMaturitiesOfInvestments,5646992000.0,5295213000.0,3791694000.0,2704573000.0,2701785000.0,3205158000.0,2217610000.0
,otherInvestingActivites,-11050000.0,2281000.0,-5000000.0,28493000.0,-5941000.0,-25167000.0,-11042000.0
,netCashUsedForInvestingActivites,-1560565000.0,-1115974000.0,-2055513000.0,-112932000.0,-598008000.0,-902421000.0,-1097272000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-23062000.0,-1001677000.0,-90351000.0,-102775000.0,-100558000.0,-117535000.0,-131945000.0
,commonStockIssued,0.0,42378000.0,29288000.0,23920000.0,24431000.0,39295000.0,0.0
,commonStockRepurchased,-245292000.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-37249000.0,-27664000.0,-114236000.0,-8962000.0,-15388000.0,-2119000.0,-425665000.0
,netCashUsedProvidedByFinancingActivities,755310000.0,-286175000.0,978116000.0,-78373000.0,-83975000.0,-62998000.0,1691722000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,183610000.0,-94209000.0,248018000.0,649815000.0,77127000.0,-599253000.0,669714000.0
,cashAtEndOfPeriod,2011276000.0,1827666000.0,1921875000.0,1638413000.0,988598000.0,911471000.0,1510724000.0
,cashAtBeginningOfPeriod,1827666000.0,1921875000.0,1673857000.0,988598000.0,911471000.0,1510724000.0,841010000.0
,operatingCashFlow,992870000.0,1303364000.0,1339711000.0,831209000.0,763055000.0,383066000.0,81796000.0
,capitalExpenditure,-873354000.0,-540688000.0,-483934000.0,-160742000.0,-218657000.0,-347280000.0,-201630000.0
,freeCashFlow,119516000.0,762676000.0,855777000.0,670467000.0,544398000.0,35786000.0,-119834000.0
