Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Revenue,730373000.0,631637000.0,467772000.0,333958000.0
Revenue Growth,0.1563,0.3503,0.4007,
Cost of Revenue,266792000.0,200836000.0,162583000.0,125006000.0
Gross Profit,463581000.0,430801000.0,305189000.0,208952000.0
R&D Expenses,29995000.0,22102000.0,19445000.0,16604000.0
SG&A Expense,283155000.0,281509000.0,228331000.0,160051000.0
Operating Expenses,393965000.0,392770000.0,324834000.0,236569000.0
Operating Income,69616000.0,38031000.0,-19645000.0,-27617000.0
Interest Expense,78014000.0,116466000.0,117997000.0,61398000.0
Earnings before Tax,-4649000.0,-133633000.0,-154103000.0,-94151000.0
Income Tax Expense,19745000.0,-10591000.0,-55691000.0,-3607000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0
Net Income,-24394000.0,-123042000.0,-98412000.0,-90544000.0
Preferred Dividends,0.0,0.0,0.0,0.0
Net Income Com,-24394000.0,-123042000.0,-98412000.0,-90544000.0
EPS,-0.19,-1.63,-3.47,-3.23
EPS Diluted,-0.19,-1.63,-3.47,-3.23
Weighted Average Shs Out,132713555.0,122634922.0,28000000.0,41000000.0
Weighted Average Shs Out (Dil),128819858.0,75696880.0,28369644.0,28029023.0
Dividend per Share,0.0,0.0,0.0,0.0
Gross Margin,0.6347,0.682,0.6524,0.6257
EBITDA Margin,0.284,0.194,0.194,0.213
EBIT Margin,0.1004,-0.0272,-0.0772,-0.0981
Profit Margin,-0.033,-0.195,-0.21,-0.271
Free Cash Flow margin,0.1269,0.0683,-0.0037,0.0176
EBITDA,207186000.0,122307000.0,90877000.0,71285000.0
EBIT,73365000.0,-17167000.0,-36106000.0,-32753000.0
Consolidated Income,-24394000.0,-123042000.0,-98412000.0,-90544000.0
Earnings Before Tax Margin,-0.0064,-0.2116,-0.3294,-0.2819
Net Profit Margin,-0.0334,-0.1948,-0.2104,-0.2711
