date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY
,revenue,64872280.0,49646937.0,16099460.0,16777713.0,19356450.0,20142898.0,15026219.0,8775598.0,3818013.0,2088177.0,48217.0,10569.0,0.0,0.0,1005274.0,934525.0,621927.0,437586.0,286602.0,332573.0,368022.0,214190.0,193971.0,193099.0,244051.0,195834.0,196780.0,201182.0,0.0,0.0
,costOfRevenue,15974977.0,6334585.0,2737652.0,2636943.0,4185708.0,4506673.0,3671803.0,1959597.0,1348113.0,947112.0,71932.0,43152.0,0.0,0.0,205371.0,272129.0,192187.0,130793.0,77065.0,116190.0,87921.0,66532.0,68981.0,40824.0,0.0,55584.0,51983.0,59346.0,0.0,0.0
,grossProfit,48897303.0,43312352.0,13361808.0,14140770.0,15170742.0,15636225.0,11354416.0,6816001.0,2469900.0,1141065.0,-23715.0,10569.0,0.0,0.0,799903.0,662396.0,429740.0,306793.0,209537.0,216383.0,280101.0,147658.0,124990.0,152275.0,0.0,140250.0,144797.0,141836.0,0.0,0.0
,grossProfitRatio,0.753747255376256,0.872407335018473,0.82995379969266,0.842830605100946,0.783756422277845,0.776264914810173,0.755640257871924,0.776699320091919,0.646907173967192,0.546440747120575,-0.491838977953834,1.0,0.0,0.0,0.795706444213219,0.70880500789171,0.690981417433236,0.70110332597478,0.731107947606786,0.650633094087614,0.761098521284054,0.689378589103133,0.644374674564755,0.788585129907457,0.0,0.716167774748001,0.73583189348511,0.705013370977523,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,10431907.0,19792212.0,27299138.0,33852993.0,53943477.0,72042774.0,43218938.0,13551263.0,4492362.0,107241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376873.0,1318478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105945.0,87464.0,94667.0,96695.0,0.0,83498.0,82615.0,86433.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5988.0,218421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,597647.0,2500106.0,2280844.0,695631.0,367317.0,95719.0,46569.0,34544.0,3001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,204438044.0,194517610.0,143581978.0,91769480.0,105424342.0,100826410.0,65395477.0,32624245.0,18618323.0,6568283.0,444244.0,1613102.0,395553.0,93743.0,311020.0,313404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,220413021.0,200852195.0,146319630.0,94406423.0,109610050.0,105333083.0,69067280.0,34583842.0,19966436.0,7515395.0,516176.0,1656254.0,395553.0,93743.0,516391.0,585533.0,425169.0,264125.0,186716.0,235124.0,230731.0,201109.0,195720.0,143837.0,169588.0,165020.0,160941.0,159248.0,0.0,0.0
,interestExpense,28581043.0,17382215.0,4677834.0,0.0,0.0,0.0,260027.0,2669903.0,1905409.0,64380.0,64086.0,8856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.0,5745.0,0.0,0.0,4592.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,1042170.0,612786.0,293886.0,213117.0,132451.0,62400.0,52467.0,58145.0,56260.0,54845.0,61383.0,76203.0,0.0,0.0,48500.0,45000.0,42000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,EBITDA,-154498571.0,-150592472.0,-129926284.0,-77415593.0,-90121149.0,-85127785.0,-53988594.0,-25750099.0,-16092163.0,-5372373.0,-406576.0,-1569482.0,-395553.0,-93743.0,537383.0,393992.0,238758.0,277813.0,132860.0,137449.0,181126.0,61746.0,37828.0,70370.0,95222.0,61059.0,68321.0,63009.0,0.0,0.0
,EBITDARatio,-2.38158071521457,-3.0332681349506,-8.07022620634481,-4.61419223227862,-4.65587176367567,-4.22619351991953,-3.59295934659278,-2.93428425048641,-4.21480047343998,-2.5727574817652,-8.43221270506253,-148.498628063204,0.0,0.0,0.534563710988248,0.421595997966882,0.383900361296422,0.634876344307176,0.46356968897635,0.413289713837263,0.492160794735097,0.288276763621084,0.195018843022926,0.364424466206454,0.390172545902291,0.311789576886547,0.347194836873666,0.313194023322166,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-155540741.0,-151205258.0,-130220170.0,-77628710.0,-90253600.0,-85190185.0,-54041061.0,-25808244.0,-16148423.0,-5427218.0,-467959.0,-1645685.0,-395553.0,-93743.0,488883.0,348992.0,196758.0,173461.0,99886.0,97449.0,137291.0,13081.0,-1749.0,49262.0,74463.0,30814.0,35839.0,41934.0,0.0,0.0
,operatingIncomeRatio,-2.39764566622292,-3.04561101120901,-8.0884806074241,-4.62689461906995,-4.6627144956849,-4.22929138597634,-3.59645104333965,-2.94091000977939,-4.22953588686052,-2.59902201776957,-9.70526992554493,-155.708676317532,0.0,0.0,0.486318158034526,0.373443193065996,0.316368319754569,0.396404363942174,0.348518154095226,0.293015368054532,0.37305106759922,0.0610719454689761,-0.00901681179145336,0.255112662416688,0.305112456003049,0.157347549455151,0.182127248704137,0.208438130647871,0.0,0.0
,totalOtherIncomeExpensesNet,597647.0,-7557526.0,2280844.0,695631.0,367317.0,95719.0,46569.0,34544.0,-17021367.0,-7383608.0,22138.0,0.0,0.0,0.0,107335.0,11316.0,-45765.0,-69352.0,-974.0,-35914.0,-5623.0,-256.0,-8088.0,-62000.0,0.0,5289.0,-1656.0,645.0,0.0,0.0
,incomeBeforeTax,-183524137.0,-176144999.0,-132617160.0,-76925380.0,-89875459.0,-85077024.0,-54217210.0,-28419313.0,-35120235.0,-12913365.0,-509907.0,-1654541.0,-395553.0,-51001.0,483015.0,372365.0,150993.0,104109.0,98912.0,61535.0,131668.0,12430.0,-15582.0,-12738.0,0.0,31511.0,34183.0,42579.0,0.0,0.0
,incomeBeforeTaxRatio,-2.82900704276156,-3.54795299859083,-8.23736696758773,-4.58497412609216,-4.64317883702848,-4.22367347538572,-3.60817381937532,-3.23844745395129,-9.19856349362875,-6.18403756003442,-10.5752535412821,-156.546598542908,0.0,0.0,0.48048094350396,0.398453759931516,0.242782513060214,0.237916660953504,0.345119713051549,0.185027046693508,0.357772089712028,0.0580325878892572,-0.0803315959602209,-0.0659661624348132,0.0,0.160906686275111,0.173711759325135,0.211644182879184,0.0,0.0
,incomeTaxExpense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110000.0,82478.0,8877.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netIncome,-183524137.0,-176144999.0,-132617160.0,-76925380.0,-89875459.0,-85077024.0,-54217210.0,-28419313.0,-35120235.0,-12913365.0,-695375.0,-1654541.0,-395553.0,170542.0,373015.0,289887.0,142116.0,94109.0,98912.0,61535.0,131668.0,12430.0,-15582.0,-12738.0,73793.0,31511.0,34183.0,42579.0,0.0,0.0
,netIncomeRatio,-2.82900704276156,-3.54795299859083,-8.23736696758773,-4.58497412609216,-4.64317883702848,-4.22367347538572,-3.60817381937532,-3.23844745395129,-9.19856349362875,-6.18403756003442,-14.4217806997532,-156.546598542908,0.0,0.0,0.37105803989758,0.310197158984511,0.228509133708619,0.215064010274552,0.345119713051549,0.185027046693508,0.357772089712028,0.0580325878892572,-0.0803315959602209,-0.0659661624348132,0.302367128182224,0.160906686275111,0.173711759325135,0.211644182879184,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-0.67,-0.72,-0.59,-0.37,-0.46,-0.49,-0.36,-0.22,-0.38,-0.21,-4.0,-23.0,-15.0,-10.333333,5.0,-1.666667,-4.333333,0.336567,1.477357,1.998289,0.422373,-0.101362,-0.32281,-4.001291,4.666667,2.033624,2.067187,2.574927,1.333333,2.333333
,EPSDiluted,-0.67,-0.72,-0.59,-0.37,-0.46,-0.49,-0.36,-0.22,-0.38,-0.21,-4.0,-23.0,-15.0,-10.333333,5.0,-1.666667,-4.333333,0.336567,1.477357,1.998289,0.422373,-0.101362,-0.32281,-4.001291,4.666667,2.033624,2.067187,2.574927,1.333333,2.333333
,weightedAverageShsOut,275648552.0,246353318.0,225026300.0,205523288.0,196088196.0,173174229.0,149727228.0,127569731.0,91630693.0,62516461.0,164204.0,72647.0,25707.0,16536.0,16372.0,17022.0,17007.0,17007.0,16981.0,15781.0,15787.0,15789.0,15489.0,15489.0,15813.0,15495.0,16536.0,16536.0,17512.0,16134.0
,weightedAverageShsOutDil,275648552.0,246353318.0,225026300.0,205523288.0,196088196.0,173174229.0,149727228.0,127569731.0,91630693.0,62516461.0,164204.0,72647.0,25707.0,16536.0,16372.0,17022.0,17007.0,17007.0,16981.0,15781.0,15787.0,15789.0,15489.0,15489.0,15813.0,15495.0,16536.0,16536.0,17512.0,16134.0
