date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,56105000.0,173598000.0,76496000.0,78998000.0,68703000.0,42916000.0,71188000.0,99446000.0,46759000.0,46936000.0,4982000.0,13572000.0,20995000.0,42409000.0,11383598.0,2104565.0,-2041822.0
,depreciationAndAmortization,-126226000.0,262000.0,199000.0,201000.0,202000.0,193000.0,266000.0,252000.0,289000.0,348000.0,400000.0,367000.0,17302000.0,-2799000.0,-2290549.0,-766564.0,7533.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1454000.0,-1454000.0,0.0
,stockBasedCompensation,8473000.0,8642000.0,11266000.0,7247000.0,7129000.0,9461000.0,9638000.0,6054000.0,4303000.0,3195000.0,2790000.0,1983000.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-1890652000.0,-15883000.0,935000.0,-5433000.0,-4222000.0,-3140000.0,199000.0,297000000.0,-300400000.0,-2200000.0,3200000.0,87100000.0,-12900000.0,-40400000.0,-45700000.0,-154930241.0,335427.0
,accountsReceivables,1130000.0,-3248000.0,-4697000.0,-648000.0,-2375000.0,213000.0,-490000.0,672000.0,-3815000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-16000.0,-205000.0,11000.0,-10000.0,56000.0,-639000.0,271000.0,54000.0,279000.0,-563000.0,350000.0,-70000.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-1932496000.0,-41844000.0,-25961000.0,-26896000.0,-21463000.0,-17241000.0,-14101000.0,-14300000.0,-311300000.0,-10900000.0,-8700000.0,-11900000.0,-99000000.0,-86100000.0,-45700000.0,0.0,285232.0
,otherNonCashItems,0.0,598521000.0,588401000.0,622885000.0,418235000.0,497264000.0,485537000.0,468032000.0,242297000.0,-12261000.0,-3058000.0,-14289000.0,-70551000.0,-9262000.0,-1485758.0,-457555.0,-16020000.0
,netCashProvidedByOperatingActivites,207802000.0,-240664000.0,-248970000.0,-18400000.0,-138385000.0,-114361000.0,-26531000.0,103594000.0,-193935000.0,-139525000.0,-93250000.0,225928000.0,-27527000.0,-201110000.0,-91251612.0,-156680879.0,-17718862.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,-595000.0,-475000.0,-274000.0,-252000.0,-187000.0,-190000.0,-311000.0,-87000.0,-189000.0,-244000.0,-134000.0,-606000.0,-181000.0,-817006.0,-66047.0,-40264.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-761258000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531458.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,4636000.0,869000.0,3469000.0,-6364000.0,-6271000.0,0.0,-25000.0,350000.0,-360000.0,-6000.0,215000.0,-659996.0,-18046.0,-2500.0
,netCashUsedForInvestingActivites,-137000.0,-595000.0,-475000.0,4362000.0,617000.0,3282000.0,-6554000.0,-6582000.0,-87000.0,-214000.0,106000.0,-494000.0,-612000.0,34000.0,-1477002.0,447365.0,-42764.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-719773000.0,-490994000.0,-258930000.0,-368576000.0,-164803000.0,-161439000.0,-39743000.0,-74228000.0,-30423000.0,-2209000.0,-185317000.0,-169967000.0,0.0,0.0,0.0,0.0
,commonStockIssued,77180000.0,132536000.0,144391000.0,66935000.0,92827000.0,100092000.0,5936000.0,92376000.0,79647000.0,30000.0,68727000.0,0.0,0.0,0.0,0.0,0.0,23864955.0
,commonStockRepurchased,0.0,-5118000.0,-4955000.0,-2685000.0,-7315000.0,-9207000.0,0.0,0.0,0.0,0.0,-3699000.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,-132053000.0,-112721000.0,-100885000.0,-90534000.0,-84992000.0,-77076000.0,-64252000.0,-45678000.0,-36843000.0,-26889000.0,-31519000.0,-41868000.0,-30009000.0,-14238352.0,-245048.0,0.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4073000.0,-2126000.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-85039000.0,310398000.0,200307000.0,92303000.0,55616000.0,-20841000.0,-8167000.0,-11638000.0,312542000.0,97199000.0,75330000.0,-117848000.0,37525000.0,192528000.0,93770381.0,162917632.0,26439955.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
