date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY
,revenue,10668.0,0.0,109333000.0,128367000.0,146444000.0,162556000.0,186830000.0,155854000.0,267707000.0,192963000.0,74113000.0,38025000.0,28725000.0,7672000.0,5673000.0,577000.0,258000.0,1000000.0,2371387.0,41113.0,1.0,1.0,100000.0,100000.0,100000.0
,costOfRevenue,88.0,0.0,26756000.0,47218000.0,35843000.0,27689000.0,27037000.0,28580000.0,46633000.0,33838000.0,17439000.0,8148000.0,1193000.0,0.0,97000.0,397000.0,123000.0,0.0,0.0,0.0,-1128133.0,-519875.0,-500000.0,-200000.0,0.0
,grossProfit,10580.0,0.0,82577000.0,81149000.0,110601000.0,134867000.0,159793000.0,127274000.0,221074000.0,159125000.0,56674000.0,29877000.0,27532000.0,0.0,5576000.0,180000.0,135000.0,0.0,0.0,0.0,1128134.0,519876.0,600000.0,300000.0,0.0
,grossProfitRatio,0.99175103112111,0.0,0.75527974170653,0.632164029696106,0.75524432547595,0.829664853958021,0.855285553711931,0.816623249964711,0.825805825025121,0.824639956882926,0.76469715164681,0.785719921104536,0.958468233246301,0.0,0.982901463070686,0.311958405545927,0.523255813953488,0.0,0.0,0.0,1128134.0,519876.0,6.0,3.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,-43.0,79325000.0,94956000.0,65895000.0,58936000.0,50766000.0,69662000.0,46670000.0,42544000.0,27720000.0,57301000.0,21058000.0,26683000.0,33285000.0,17872000.0,12600000.0,6954000.0,3683000.0,12726499.0,20611119.0,38766884.0,20057687.0,8500000.0,4500000.0,600000.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7579866.0,5106812.0,3465443.0,3100000.0,2300000.0,700000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,88.0,-8892000.0,9580000.0,389000.0,887000.0,-1249000.0,-4367000.0,1470000.0,-844000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,264.0,140698000.0,213754000.0,177809000.0,172229000.0,175599000.0,191362000.0,166059000.0,141250000.0,103993000.0,109571000.0,58385000.0,42002000.0,44867000.0,31469000.0,20102000.0,12935000.0,11305000.0,16828934.0,28190985.0,45001829.0,24043005.0,12100000.0,7000000.0,1300000.0
,costAndExpenses,264.0,140698000.0,240510000.0,225027000.0,208072000.0,203288000.0,218399000.0,194639000.0,187883000.0,137831000.0,127010000.0,66533000.0,43195000.0,44867000.0,31566000.0,20499000.0,13058000.0,11305000.0,16828934.0,28190985.0,43873696.0,23523130.0,11600000.0,6800000.0,1300000.0
,interestExpense,0.0,-4996000.0,340000.0,6798000.0,9435000.0,9074000.0,8584000.0,2192000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17000.0,0.0,0.0,1857640.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,261.0,3335000.0,28098000.0,27647000.0,25946000.0,38319000.0,24288000.0,20074000.0,6741000.0,3720000.0,3720000.0,3720000.0,158000.0,255000.0,198000.0,682000.0,425000.0,346000.0,1328164.0,2270469.0,1128133.0,519875.0,500000.0,200000.0,0.0
,EBITDA,10665.0,-137363000.0,-103079000.0,-69013000.0,-35682000.0,-2413000.0,-7281000.0,-18711000.0,86565000.0,58852000.0,-49177000.0,-24788000.0,-14312000.0,-36940000.0,-25695000.0,-19240000.0,-12375000.0,-9959000.0,-13129383.0,-25879403.0,-42745562.0,-23003254.0,-11000000.0,-6500000.0,-1500000.0
,EBITDARatio,0.000999718785151856,0.0,-0.942798606093311,-0.537622597708134,-0.243656278167764,-0.0148441152587416,-0.038971257292726,-0.120054666546896,0.323357252518612,0.304991112285775,-0.66354080930471,-0.651886916502301,-0.498241949521323,-4.81491136600626,-4.52934955050238,-33.3448873483536,-47.9651162790698,-9.959,-5.53658386421111,-629.470070294068,-42745562.0,-23003254.0,-110.0,-65.0,-15.0
