date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2008-02-13_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,554000000.0,189500000.0,100500000.0,151400000.0,202100000.0,73500000.0,108900000.0,78600000.0,106800000.0,219608000.0,157145000.0,84993000.0,58868000.0,141459000000.0,141459000.0,112322000.0,99329000.0,75007000.0
,depreciationAndAmortization,98000000.0,89700000.0,87100000.0,81300000.0,73300000.0,71400000.0,76300000.0,74600000.0,36300000.0,34295000.0,32361000.0,40905000.0,41857000.0,33414000000.0,41045000.0,26696000.0,30035000.0,32007000.0
,deferredIncomeTax,-8000000.0,-7100000.0,6000000.0,-60200000.0,-31100000.0,-21300000.0,-27200000.0,-49100000.0,38400000.0,-8528000.0,500000.0,-9810000.0,2423000.0,-8961000000.0,-8961000.0,-1304000.0,4657000.0,4685000.0
,stockBasedCompensation,104000000.0,26800000.0,24800000.0,13300000.0,16200000.0,22500000.0,13400000.0,16900000.0,5700000.0,0.0,0.0,0.0,0.0,6728000000.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-132900000.0,-9500000.0,105900000.0,-95500000.0,29900000.0,-132000000.0,-57900000.0,-323000000.0,412709000.0,71045000.0,52788000.0,-9902000.0,-199918640000.0,199800999000.0,94212000.0,-1500000.0,-7428000.0,-39714000.0
,accountsReceivables,-55000000.0,-76000000.0,-46300000.0,22300000.0,17300000.0,-35300000.0,-58800000.0,-30100000.0,11800000.0,-30198000.0,-12752000.0,-10542000.0,0.0,-20536000000.0,0.0,0.0,0.0,0.0
,inventory,-42000000.0,-28200000.0,-44600000.0,17100000.0,1500000.0,10700000.0,-34000000.0,-34500000.0,100000.0,-18473000.0,-6710000.0,3738000.0,45758000.0,-38216000000.0,-38216000.0,21284000.0,-18448000.0,-6292000.0
,accountsPayables,63000000.0,-4800000.0,28700000.0,-1600000.0,-47800000.0,46100000.0,47800000.0,28100000.0,14300000.0,21675000.0,-1145000.0,7808000.0,0.0,1861000000.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-6000000.0,126900000.0,136400000.0,30500000.0,126000000.0,96100000.0,228100000.0,286000000.0,609000000.0,196291000.0,125246000.0,72458000.0,82360000.0,200001000000.0,200001000.0,105789000.0,107289000.0,114717000.0
,otherNonCashItems,0.0,11300000.0,2300000.0,2200000.0,7500000.0,26600000.0,17600000.0,11100000.0,1400000.0,219608000.0,531000.0,5936000.0,6927000.0,0.0,-4527000.0,18034000.0,0.0,0.0
,netCashProvidedByOperatingActivites,654000000.0,312800000.0,183100000.0,222900000.0,165500000.0,234200000.0,225200000.0,98500000.0,189900000.0,248706000.0,184122000.0,134986000.0,198394000.0,126361000000.0,126361000.0,165815000.0,102249000.0,76966000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-111000000.0,-88200000.0,-73600000.0,-67000000.0,-62400000.0,-65900000.0,-47500000.0,-40000000.0,-50500000.0,-31510000.0,-18825000.0,-14303000.0,-11364000.0,-16149000000.0,-17206000.0,-38147000.0,-84881000.0,-38419000.0
,acquisitionsNet,-41000000.0,-17000000.0,0.0,0.0,0.0,7000000.0,35000000.0,-1173000000.0,-5000000.0,-5000000.0,-19000000.0,0.0,-2000000.0,-2000000.0,-6000000.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,15100000.0,2400000.0,0.0,0.0,-1000000.0,2100000.0,-100000.0,0.0,0.0,0.0,0.0,7141000.0,0.0,0.0,0.0,-2014000.0,-342000.0
,netCashUsedForInvestingActivites,-146600000.0,-90200000.0,-71200000.0,-62100000.0,-62400000.0,-59700000.0,-10400000.0,-1213000000.0,-55000000.0,-36076000.0,-37517000.0,-14303000.0,-5368000.0,-22871000000.0,-22871000.0,-37861000.0,-86584000.0,-38351000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1360000000.0,-1354900000.0,-1195800000.0,-1471500000.0,-1891300000.0,-988300000.0,-510900000.0,-2354800000.0,-287000000.0,-643500000.0,-197813000.0,-230036000.0,0.0,-45488000000.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,8700000.0,11400000.0,26256000.0,28551000.0,1623000.0,695000.0,0.0,8175000.0,4045000.0,2551000.0,1847000.0
,commonStockRepurchased,0.0,-105700000.0,-4600000.0,-44900000.0,-535000000.0,-1300000.0,-2200000.0,-7000000.0,-152600000.0,-365928000.0,-250000000.0,0.0,0.0,0.0,-319884000.0,-144000000.0,-76000000.0,0.0
,dividendsPaid,-19000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17933000.0,-23811000000.0,-23811000.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,-3200000.0,-6100000.0,-4500000.0,-7800000.0,10000000.0,-800000.0,-47600000.0,5400000.0,12802000.0,4050000.0,359000.0,385000.0,0.0,9492000.0,6416000.0,51324000.0,-2251000.0
,netCashUsedProvidedByFinancingActivities,-522600000.0,-203200000.0,-107000000.0,-175200000.0,-185100000.0,-90700000.0,-238100000.0,1013400000.0,-70800000.0,-148870000.0,-106376000.0,-118721000.0,-200150000.0,-87642000000.0,-87642000.0,-132476000.0,-19955000.0,-28507000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
