date,,2021-03-31_FY,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-03-31_FY,2012-06-29_FY,2012-03-31_FY,2011-03-31_FY,2010-03-31_FY,2009-03-31_FY,2008-03-31_FY,2007-03-31_FY,2006-03-31_FY,2005-06-29_FY,2005-03-31_FY,2004-03-31_FY,2003-03-31_FY,2002-03-31_FY,2001-03-31_FY,2000-03-31_FY,1999-03-31_FY,1998-03-31_FY,1997-03-31_FY,1996-03-31_FY,1995-03-31_FY,1994-03-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-47200000.0,311400000.0,330000000.0,346000000.0,251500000.0,229700000.0,201800000.0,190000000.0,139400000.0,182000000.0,180300000.0,169800000.0,144500000.0,199400000.0,152700000.0,127400000.0,64900000.0,0.0,-199900000.0,64000000.0,117200000.0,150600701.0,108100000.0,98500000.0,77300000.0,70200000.0,60300000.0,58600000.0,15600000.0,-395000000.0
,depreciationAndAmortization,319500000.0,305400000.0,217200000.0,199600000.0,211900000.0,217800000.0,189100000.0,167100000.0,157300000.0,92000000.0,125800000.0,96900000.0,93200000.0,91000000.0,78299558.0,71600554.0,77600420.0,0.0,82000000.0,75400052.0,70599383.0,43100701.0,29700000.0,33700000.0,35000000.0,29900000.0,28300000.0,22700000.0,16600000.0,43200000.0
,deferredIncomeTax,-70200000.0,11900000.0,-14900000.0,-42500000.0,8200000.0,-15500000.0,15500000.0,12000000.0,5500000.0,36000000.0,36400000.0,49300000.0,27200000.0,8000000.0,26399547.0,-14199723.0,5999533.0,0.0,-113899637.0,2099948.0,18799765.0,7500000.0,-11300000.0,-7600000.0,-1100000.0,8500000.0,8400000.0,4000000.0,0.0,5900000.0
,stockBasedCompensation,9600000.0,14500000.0,9300000.0,23100000.0,29200000.0,8300000.0,7500000.0,9800000.0,-4200000.0,0.0,4700000.0,17300000.0,13900000.0,-11500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-49500000.0,-52200000.0,35200000.0,-43100000.0,29100000.0,-3100000.0,-69200000.0,-28800000.0,-61700000.0,-38000000.0,-71700000.0,-37400000.0,-3600000.0,-94600000.0,-15700031.0,20199493.0,81199206.0,255000000.0,85600967.0,-107199633.0,-41300132.0,-7601976.0,69600000.0,133500000.0,-93300000.0,23700000.0,-142800000.0,27000000.0,2500000.0,-28600000.0
,accountsReceivables,0.0,-39900000.0,-1300000.0,300000.0,-35900000.0,-19000000.0,-15500000.0,-14300000.0,-68400000.0,0.0,-11000000.0,-25600000.0,108100000.0,14700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,-87500000.0,-22200000.0,2200000.0,-55500000.0,-6000000.0,-15500000.0,-42300000.0,-27600000.0,0.0,-24100000.0,13000000.0,-11400000.0,-74600000.0,-20900113.0,-14800507.0,-5000000.0,0.0,18700121.0,-19000525.0,0.0,-23800191.0,-41900000.0,9300000.0,-39300000.0,-14300000.0,-6700000.0,-14400000.0,-23800000.0,-1500000.0
,accountsPayables,0.0,0.0,157000000.0,-58200000.0,16200000.0,-6800000.0,34000000.0,-9400000.0,18600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,52500000.0,-27000000.0,46800000.0,103400000.0,36900000.0,-24300000.0,18000000.0,33100000.0,170000000.0,45800000.0,0.0,0.0,0.0,0.0,0.0,0.0,255000000.0,-1.0,0.0,-41300132.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,50400000.0,-93800000.0,-28400000.0,-43700000.0,-43400000.0,-67900000.0,-32200000.0,-36100000.0,-25900000.0,0.0,-32900000.0,-30200000.0,8300000.0,-9400000.0,14701163.0,43000460.0,1169.0,0.0,-1209.0,0.0,1468.0,-1.0,26600000.0,-7800000.0,-100000.0,0.0,-100000.0,0.0,31800000.0,0.0
,netCashProvidedByOperatingActivites,366600000.0,545100000.0,530400000.0,403300000.0,464300000.0,345800000.0,268600000.0,276000000.0,204100000.0,233000000.0,233900000.0,247000000.0,267000000.0,195500000.0,260900113.0,239300046.0,238299860.0,207000000.0,207599758.0,5700420.0,138799765.0,148599426.0,184000000.0,228400000.0,16400000.0,111200000.0,-44500000.0,113800000.0,16900000.0,56700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-107600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-165000000.0,0.0,0.0,0.0,0.0,-189500051.0,-161100092.0,-130100420.0,0.0,-118000000.0,-94500263.0,-238899662.0,-249600064.0,-84000000.0,-30900000.0,-193900000.0,-78500000.0,-54500000.0,-87200000.0,-34100000.0,-24400000.0
,acquisitionsNet,0.0,-8000000.0,-631000000.0,-97000000.0,-4000000.0,34000000.0,-2000000.0,-4000000.0,-286000000.0,-127000000.0,-127000000.0,-75000000.0,-33000000.0,-37000000.0,-41000000.0,0.0,2000000.0,-11000000.0,-11000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51700000.0,-71100000.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,117800000.0,0.0,0.0,8500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2599685.0,18799765.0,101499363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,8100000.0,-1500000.0,-200000000.0,-26800000.0,-30200000.0,-39700000.0,-37400000.0,-58300000.0,-52600000.0,0.0,5000000.0,-29400000.0,-27600000.0,-17300000.0,-25899600.0,-8799585.0,-27599253.0,0.0,29800484.0,94100210.0,-51499926.0,-36599746.0,-25700000.0,24100000.0,15600000.0,-14200000.0,-6100000.0,-3100000.0,-500000.0,1500000.0
