date,,2020-12-25_FY,2019-12-27_FY,2018-12-28_FY,2017-12-29_FY,2016-12-30_FY,2015-12-25_FY,2014-12-26_FY,2013-12-27_FY,2012-12-28_FY,2011-12-30_FY,2010-12-31_FY,2009-12-25_FY,2008-12-26_FY,2007-12-28_FY,2006-12-29_FY,2005-12-30_FY,2004-12-31_FY,2003-12-26_FY,2002-12-27_FY,2001-12-28_FY,2000-12-29_FY,1999-12-31_FY,1998-12-25_FY,1997-12-26_FY,1996-12-27_FY,1995-12-29_FY,1994-12-30_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY,1984-12-31_FY,1983-12-31_FY
,revenue,1650115000.0,1646045000.0,1653292000.0,1474744000.0,1329293000.0,1286485000.0,1221100000.0,1104000000.0,1012500000.0,895300000.0,744065000.0,579200000.0,817300000.0,841300000.0,816500000.0,731700000.0,605032000.0,535100000.0,487000000.0,472800000.0,494400000.0,442500000.0,432200000.0,413900000.0,391800000.0,386300000.0,360000000.0,322600000.0,320300000.0,311900000.0,321300000.0,297700000.0,267900000.0,239700000.0,225100000.0,208300000.0,166500000.0,140400000.0
,costOfRevenue,795178000.0,786289000.0,770753000.0,679542000.0,618424000.0,601785000.0,554400000.0,496600000.0,461900000.0,395100000.0,340620000.0,286400000.0,385100000.0,393900000.0,382500000.0,352400000.0,276622000.0,252300000.0,236900000.0,238100000.0,243500000.0,196600000.0,212800000.0,210900000.0,195800000.0,196700000.0,186000000.0,160200000.0,155000000.0,151400000.0,153300000.0,146500000.0,125200000.0,109800000.0,103500000.0,100700000.0,84400000.0,73200000.0
,grossProfit,854937000.0,859756000.0,882539000.0,795202000.0,710869000.0,684700000.0,666700000.0,607400000.0,550600000.0,500200000.0,403445000.0,292800000.0,432200000.0,447400000.0,434000000.0,379300000.0,328410000.0,282800000.0,250200000.0,234800000.0,250900000.0,245900000.0,219400000.0,203000000.0,196000000.0,189600000.0,174000000.0,162400000.0,165300000.0,160500000.0,168000000.0,151200000.0,142700000.0,129900000.0,121600000.0,107600000.0,82000000.0,67200000.0
,grossProfitRatio,0.518107525839108,0.522316218572396,0.533807095177379,0.539213585544339,0.534772243591142,0.532225404882296,0.545983129964786,0.55018115942029,0.543802469135802,0.558695409359991,0.542217413801214,0.505524861878453,0.528814388841307,0.531796029953643,0.53153704837722,0.518381850485171,0.542797736318079,0.528499345916651,0.513757700205339,0.496615905245347,0.507483818770227,0.555706214689266,0.507635354002776,0.490456632036724,0.500255232261358,0.490810251100181,0.483333333333333,0.503409795412275,0.516078676241024,0.514588008977236,0.522875816993464,0.507893852872019,0.532661440836133,0.541927409261577,0.540204353620613,0.516562650024004,0.492492492492492,0.478632478632479
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,67557000.0,63124000.0,59217000.0,59566000.0,58559000.0,54200000.0,51400000.0,48900000.0,41600000.0,37699000.0,37500000.0,36600000.0,30300000.0,30000000.0,27000000.0,21783000.0,18100000.0,18200000.0,20800000.0,20000000.0,19700000.0,18200000.0,17800000.0,17900000.0,15700000.0,14600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7400000.0,5900000.0
,GeneralAndAdministrativeExpenses,-84746000.0,133418000.0,137515000.0,123778000.0,122886000.0,122161000.0,108849000.0,98447000.0,113377000.0,79824000.0,76702000.0,65250000.0,69635000.0,60192000.0,58878000.0,51165000.0,0.0,36474000.0,119100000.0,113800000.0,119600000.0,118200000.0,124300000.0,119700000.0,125000000.0,128700000.0,133000000.0,136300000.0,137200000.0,132000000.0,126200000.0,113700000.0,109400000.0,98100000.0,87600000.0,79300000.0,61700000.0,52700000.0
,SellingAndMarketingExpenses,220271000.0,234325000.0,245473000.0,233462000.0,215253000.0,201855000.0,194751000.0,177853000.0,163523000.0,151276000.0,135903000.0,115550000.0,138665000.0,124508000.0,119122000.0,110135000.0,0.0,99426000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,5787000.0,5469000.0,11276000.0,-2849000.0,-366000.0,1404000.0,-24881000.0,-27200000.0,-11922000.0,655000.0,0.0,946000.0,1153000.0,211000.0,687000.0,342000.0,0.0,437000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
