date,,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2013-04-30_FY,2012-04-30_FY,2011-04-30_FY
,revenue,1059100000.0,987600000.0,1157700000.0,1104000000.0,357000000.0,576900000.0,611800000.0,338000000.0
,costOfRevenue,480200000.0,455600000.0,543800000.0,513900000.0,153000000.0,256300000.0,282400000.0,27000000.0
,grossProfit,578900000.0,532000000.0,613900000.0,590100000.0,204000000.0,320600000.0,329400000.0,311000000.0
,grossProfitRatio,0.54659616655651,0.538679627379506,0.530275546341885,0.534510869565217,0.571428571428571,0.5557288958225,0.538411245505067,0.920118343195266
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,104500000.0,96500000.0,131400000.0,118300000.0,38000000.0,55700000.0,58600000.0,54000000.0
,GeneralAndAdministrativeExpenses,367900000.0,339800000.0,363000000.0,344700000.0,148000000.0,221000000.0,222900000.0,221000000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,138300000.0,0.0,129700000.0,126100000.0,0.0,21800000.0,18600000.0,0.0
,operatingExpenses,527300000.0,411400000.0,569500000.0,516400000.0,186000000.0,276700000.0,281500000.0,276600000.0
,costAndExpenses,1090900000.0,891900000.0,1167900000.0,1103000000.0,339000000.0,554800000.0,582500000.0,302000000.0
,interestExpense,18700000.0,16800000.0,32400000.0,21000000.0,0.0,19700000.0,18800000.0,20000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,95000000.0,102800000.0,108700000.0,75900000.0,25000000.0,35800000.0,33400000.0,0.0
,EBITDA,63200000.0,152600000.0,98500000.0,76900000.0,27000000.0,57900000.0,62700000.0,19000000.0
,EBITDARatio,0.0596733075252573,0.154515998379911,0.0850824911462382,0.0696557971014493,0.0756302521008403,0.100364014560582,0.102484472049689,0.0562130177514793
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-31800000.0,49800000.0,-10200000.0,1000000.0,2000000.0,22100000.0,29300000.0,19000000.0
,operatingIncomeRatio,-0.0300254933434048,0.0504252733900365,-0.00881057268722467,0.000905797101449275,0.00560224089635854,0.0383081989946265,0.0478914677999346,0.0562130177514793
,totalOtherIncomeExpensesNet,0.0,2000000.0,20000000.0,6000000.0,0.0,1000000.0,0.0,0.0
,incomeBeforeTax,-68600000.0,33700000.0,-31300000.0,-30200000.0,-15000000.0,1100000.0,9800000.0,80000000.0
,incomeBeforeTaxRatio,-0.0647719762062128,0.0341231267719725,-0.0270363652068757,-0.0273550724637681,-0.0420168067226891,0.00190674293638412,0.0160183066361556,0.236686390532544
,incomeTaxExpense,6200000.0,15700000.0,13400000.0,7700000.0,-7000000.0,10300000.0,8400000.0,-8000000.0
,netIncome,-49700000.0,-217300000.0,-20700000.0,-7300000.0,-5000000.0,6200000.0,49800000.0,88000000.0
,netIncomeRatio,-0.0469266358228685,-0.220028351559336,-0.0178802798652501,-0.00661231884057971,-0.0140056022408964,0.0107470965505287,0.0813991500490356,0.260355029585799
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-124.25,-1.78847736625514,-41.4,-14.6,-10.0,12.4,0.930841121495327,1.69230769230769
,EPSDiluted,-0.411764705882353,-1.73147410358566,-0.182058047493404,-0.0763598326359833,-0.0598802395209581,0.110320284697509,0.889285714285714,1.57142857142857
,weightedAverageShsOut,400000.0,121500000.0,500000.0,500000.0,500000.0,500000.0,53500000.0,52000000.0
,weightedAverageShsOutDil,120700000.0,125500000.0,113700000.0,95600000.0,83500000.0,56200000.0,56000000.0,56000000.0
