Date,2019-03-30,2018-03-31,2017-05-31,2017-04-01,2016-05-31,2016-04-02,2015-05-31,2015-03-28,2014-05-31,2013-05-31,2012-05-31,2011-05-31,2010-05-31,2009-05-31
Revenue,1360043000.0,1064722000.0,236504000.0,,211774000.0,,186985000.0,,191730000.0,177574000.0,0.0,162327000.0,136230000.0,166676000.0
Revenue Growth,0.277369116069735,3.50191962926631,0.0,0.0,0.0,0.0,0.0,0.0,0.0797188777636366,0.0,-1,0.191565734419731,-0.18266577071684,-0.4477
Cost of Revenue,1114684000.0,887611000.0,214527000.0,,188461000.0,,169891000.0,,181443000.0,166111000.0,0.0,160525000.0,131400000.0,165622000.0
Gross Profit,245359000.0,177111000.0,21977000.0,4884000.0,23313000.0,1802000.0,17094000.0,4830000.0,10287000.0,11463000.0,0.0,11069000.0,11463000.0,1054000.0
R&D Expenses,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,270158000.0,122582000.0,22908000.0,,21120000.0,,21194000.0,,22886000.0,23681000.0,0.0,28490000.0,26200000.0,30735000.0
Operating Expenses,274978000.0,130357000.0,22908000.0,24266000.0,21120000.0,28490000.0,21194000.0,24244000.0,22886000.0,23681000.0,0.0,18405000.0,22040000.0,26959000.0
Operating Income,-29742000.0,46754000.0,349000.0,-19382000.0,2193000.0,-26688000.0,-3857000.0,-19414000.0,-11893000.0,-10577000.0,0.0,-7336000.0,-10577000.0,-25905000.0
Interest Expense,5333000.0,5133000.0,344000.0,0.0,320000.0,0.0,381000.0,0.0,71000.0,0.0,0.0,71000.0,0.0,0.0
Earnings before Tax,-41303000.0,43116000.0,5000.0,,1873000.0,,-4188000.0,,-11864000.0,-10513000.0,0.0,-26627000.0,-19351000.0,-24994000.0
Income Tax Expense,16905000.0,27316000.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,9642000.0,-9560000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,
Net Income - Discontinued ops,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,
Net Income,-58208000.0,15800000.0,5000.0,,1678000.0,,-10414000.0,,-11864000.0,-10513000.0,0.0,-26627000.0,-28993000.0,-15434000.0
Preferred Dividends,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,
Net Income Com,-58208000.0,15800000.0,5000.0,,1678000.0,,-10414000.0,,-11864000.0,-10513000.0,0.0,-26627000.0,-28993000.0,-15434000.0
EPS,-1.09,0.33,0.0,,0.2,,-1.24,,-1.41,-1.25,0.0,-3.17,-3.46,
EPS Diluted,-1.09,0.33,0.0,,0.22,,-0.5,,-1.41,-1.25,0.0,-3.17,-3.46,
Weighted Average Shs Out,53491000.0,8391244.0,8391244.0,,8391244.0,,8391244.0,,8391244.0,8391244.0,0.0,8391244.0,8391244.0,
Weighted Average Shs Out (Dil),53491000.0,8391244.0,8512374.0,,8391244.0,,8391244.0,,8391244.0,8391244.0,0.0,8391244.0,8391244.0,
Dividend per Share,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.72,0.72,
Gross Margin,0.18040532542,0.1663,0.0929244325677,,0.110084335188,,0.0914190977886,,0.0536535753403,0.0645533692996,0.0,0.0111,0.0355,0.0063
EBITDA Margin,-0.00964748908674,0.053,0.00624936576126,,0.0157337539075,,-0.0134984089633,,-0.053079851875,-0.0482897270997,0.0,-0.148,-0.126,
EBIT Margin,-0.0218684262189,0.0453,0.00147566214525,,0.0103553788473,,-0.0206273230473,,-0.0620299379336,-0.0595639001205,0.0,-0.164,-0.142,-0.15
Profit Margin,-0.0427986468075,0.015,2.11412914792e-05,,0.00792354113347,,-0.05569430703,,-0.0618786835654,-0.059203486997,0.0,-0.164,-0.213,
Free Cash Flow margin,0.0390693529543,0.0214,0.00639735480161,,0.0128486027558,,-0.0257132925101,,-0.0957022896782,-0.0794823566513,0.0,-0.1626,-0.0885,
EBITDA,-13121000.0,56509000.0,1478000.0,,3332000.0,,-2524000.0,,-10177000.0,-8575000.0,0.0,-23944000.0,-17162000.0,
EBIT,-29742000.0,48249000.0,349000.0,-19365000.0,2193000.0,-26627000.0,-3857000.0,-19351000.0,-11893000.0,-10577000.0,0.0,-11793000.0,-10513000.0,-24994000.0
Consolidated Income,-58208000.0,15800000.0,5000.0,,1678000.0,,-10414000.0,,-11864000.0,-10513000.0,0.0,-26627000.0,-28993000.0,
Earnings Before Tax Margin,-0.0303688927482,0.0405,2.11412914792e-05,,0.00884433405423,,-0.0223975185175,,-0.0618786835654,-0.059203486997,0.0,-0.164,-0.142,-0.15
Net Profit Margin,-0.0427986468075,0.0148,2.11412914792e-05,,0.00792354113347,,-0.05569430703,,-0.0618786835654,-0.059203486997,0.0,-0.164,-0.2128,-0.0926
