date,,2020-05-31_FY,2019-05-26_FY,2018-05-27_FY,2017-05-28_FY,2016-05-29_FY,2015-05-31_FY,2014-05-25_FY,2013-05-26_FY,2012-05-27_FY,2011-05-29_FY,2010-05-30_FY,2009-05-31_FY,2008-05-25_FY,2007-05-27_FY,2006-05-28_FY,2005-05-29_FY,2004-05-30_FY,2003-05-25_FY,2002-05-26_FY,2001-05-27_FY,2000-05-28_FY,1999-05-30_FY,1998-05-31_FY,1997-05-25_FY,1996-05-26_FY,1995-05-28_FY,1994-05-29_FY,1993-05-31_FY,1992-05-31_FY,1991-05-31_FY,1990-05-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,840100000.0,678300000.0,808400000.0,639300000.0,-677000000.0,-252600000.0,721000000.0,774000000.0,468000000.0,817000000.0,726000000.0,978400000.0,931000000.0,765000000.0,534000000.0,642000000.0,811000000.0,775000000.0,783000000.0,639000000.0,382000000.0,358000000.0,613200000.0,615000000.0,189000000.0,496000000.0,437000000.0,270300000.0,372400000.0,311200000.0,231700000.0
,depreciationAndAmortization,388900000.0,333000000.0,257000000.0,268000000.0,278500000.0,592300000.0,602900000.0,445200000.0,371800000.0,360900000.0,326800000.0,318900000.0,296700000.0,357400000.0,330500000.0,350900000.0,352300000.0,396700000.0,623200000.0,592900000.0,536500000.0,499800000.0,446300000.0,413800000.0,407900000.0,375800000.0,368400000.0,277000000.0,319300000.0,250800000.0,129700000.0
,deferredIncomeTax,0.0,83700000.0,10500000.0,52300000.0,-264900000.0,0.0,23300000.0,124700000.0,-11000000.0,267000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,4800000.0,29500000.0,102700000.0,-5200000.0
,stockBasedCompensation,59200000.0,33700000.0,37900000.0,36100000.0,45100000.0,68300000.0,60200000.0,67400000.0,0.0,0.0,0.0,46200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-992700000.0,988500000.0,-690000000.0,-751600000.0,686800000.0,-1231500000.0,610000000.0,-15000000.0,-779000000.0,-151000000.0,162100000.0,-669100000.0,106000000.0,500000000.0,-310000000.0,-9000000.0,-113000000.0,136000000.0,1694000000.0,-51000000.0,208000000.0,-147200000.0,202200000.0,-158000000.0,-802000000.0,785000000.0,175900000.0,-75800000.0,34400000.0,-124800000.0,-61400000.0
,accountsReceivables,-43800000.0,-69100000.0,-4700000.0,104700000.0,-171900000.0,93800000.0,63300000.0,-73100000.0,-4000000.0,2000000.0,-85000000.0,75400000.0,-66000000.0,-133000000.0,40000000.0,12000000.0,-470000000.0,105000000.0,0.0,2000000.0,31000000.0,-102000000.0,0.0,60000000.0,112000000.0,50000000.0,-169000000.0,0.0,0.0,0.0,0.0
,inventory,163500000.0,78000000.0,-62800000.0,123300000.0,55400000.0,-119800000.0,49400000.0,21100000.0,14000000.0,-190000000.0,202000000.0,-89500000.0,-256000000.0,-223000000.0,3000000.0,-105000000.0,-173000000.0,-127000000.0,0.0,-1284000000.0,-147000000.0,-117000000.0,-273600000.0,230000000.0,-406000000.0,-283000000.0,-445000000.0,13700000.0,-222800000.0,252500000.0,-187200000.0
,accountsPayables,234400000.0,38200000.0,144900000.0,71000000.0,-111000000.0,-15900000.0,-5200000.0,6900000.0,82000000.0,185000000.0,73000000.0,18100000.0,27000000.0,280000000.0,59000000.0,-135000000.0,220000000.0,-745000000.0,0.0,-245000000.0,-8000000.0,-75000000.0,0.0,-38000000.0,-282000000.0,1723000000.0,-399000000.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-401500000.0,591200000.0,-397300000.0,292700000.0,1044300000.0,357500000.0,1589000000.0,979000000.0,994000000.0,1773000000.0,1924000000.0,1761900000.0,2431000000.0,2325000000.0,1825000000.0,2135000000.0,2144000000.0,2257000000.0,2121000000.0,427000000.0,478000000.0,270000000.0,417200000.0,215000000.0,373000000.0,1175000000.0,390000000.0,214100000.0,289900000.0,255500000.0,380300000.0
,otherNonCashItems,11300000.0,11700000.0,-165500000.0,91600000.0,2035500000.0,11700000.0,673300000.0,82700000.0,60400000.0,277800000.0,95100000.0,-90700000.0,-576800000.0,-127000000.0,100100000.0,317700000.0,-678200000.0,328500000.0,133200000.0,219400000.0,671300000.0,528600000.0,0.0,92400000.0,632100000.0,107300000.0,38300000.0,-43500000.0,64700000.0,62900000.0,21800000.0
,netCashProvidedByOperatingActivites,1842600000.0,1125500000.0,954200000.0,1206600000.0,1308200000.0,1480600000.0,1551200000.0,1412200000.0,1052000000.0,1352300000.0,1472700000.0,124000000.0,102100000.0,943400000.0,1067300000.0,1108600000.0,581000000.0,732900000.0,2349500000.0,124600000.0,691000000.0,1179500000.0,576100000.0,938200000.0,1161900000.0,635100000.0,691000000.0,822100000.0,778700000.0,691800000.0,316600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-369500000.0,-353100000.0,-251600000.0,-242100000.0,-429800000.0,-471900000.0,-602400000.0,-458700000.0,-336000000.0,-466000000.0,64000000.0,-441900000.0,-450000000.0,-424000000.0,-263000000.0,-453000000.0,-352000000.0,-390000000.0,-530600000.0,-559700000.0,-539300000.0,-662300000.0,-602800000.0,-670000000.0,-668500000.0,-427800000.0,-395000000.0,-341000000.0,-369600000.0,-331800000.0,-196300000.0
,acquisitionsNet,195000000.0,-5119200000.0,-337000000.0,163000000.0,-10000000.0,-21000000.0,-39900000.0,-5019000000.0,-635000000.0,-131000000.0,-82000000.0,-51000000.0,-255000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-46800000.0,-61000000.0,-967300000.0,-1000000000.0,0.0,0.0,-100000000.0,-245000000.0,0.0,0.0,0.0,0.0,-1351000000.0,-4075000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24700000.0
,salesMaturitiesOfInvestments,53800000.0,52200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
