date,,2021-06-24_FY,2020-06-25_FY,2019-06-27_FY,2018-06-28_FY,2017-06-29_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,59741000.0,54110000.0,39466000.0,32420000.0,36125000.0
,depreciationAndAmortization,18308000.0,17934000.0,17045000.0,15430000.0,15559000.0
,deferredIncomeTax,840000.0,104000.0,-298000.0,3664000.0,-1744000.0
,stockBasedCompensation,2908000.0,2472000.0,2644000.0,2796000.0,2504000.0
,changeInWorkingCapital,22795000.0,-12504000.0,10745000.0,-12815000.0,-15410000.0
,accountsReceivables,-9391000.0,4015000.0,4447000.0,1751000.0,13243000.0
,inventory,24070000.0,-15044000.0,17338000.0,9759000.0,-25847000.0
,accountsPayables,11442000.0,-6721000.0,-16958000.0,8876000.0,6384000.0
,otherWorkingCapital,-2302000.0,4154000.0,141434000.0,130689000.0,143504000.0
,otherNonCashItems,105000.0,1497000.0,13857000.0,24659000.0,15634000.0
,netCashProvidedByOperatingActivites,104697000.0,63613000.0,83459000.0,66154000.0,52668000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-25176000.0,-15022000.0,-15075000.0,-13229000.0,-10885000.0
,acquisitionsNet,0.0,0.0,0.0,-21727000.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,2226000.0,973000.0,461000.0,-12000.0,342000.0
,netCashUsedForInvestingActivites,-22950000.0,-14049000.0,-14614000.0,-34968000.0,-10543000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-5309000.0,-7739000.0,-6851000.0,-5659000.0,-326339000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-57463000.0,-68740000.0,-29074000.0,-28370000.0,-56464000.0
,otherFinancingActivites,-19838000.0,26859000.0,-32778000.0,2337000.0,340413000.0
,netCashUsedProvidedByFinancingActivities,-82610000.0,-49620000.0,-68703000.0,-31692000.0,-42390000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-863000.0,-56000.0,142000.0,-506000.0,-265000.0
,cashAtEndOfPeriod,672000.0,1535000.0,1591000.0,1449000.0,1955000.0
,cashAtBeginningOfPeriod,1535000.0,1591000.0,1449000.0,1955000.0,2220000.0
,operatingCashFlow,104697000.0,63613000.0,83459000.0,66154000.0,52668000.0
,capitalExpenditure,-25176000.0,-15022000.0,-15075000.0,-13229000.0,-10885000.0
,freeCashFlow,79521000.0,48591000.0,68384000.0,52925000.0,41783000.0
