Date,2018-12-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-12-31,2010-12-25,2009-12-26
Revenue,4159000.0,8900000.0,8900000.0,24600000.0,9300000.0,33600000.0,24600000.0,68700000.0,33600000.0,10489000.0,14838000.0,,
Revenue Growth,-0.532696629213483,0,-0.638211382113821,1.64516129032258,-0.723214285714286,0.365853658536585,-0.641921397379913,1.04464285714286,2.20335589665364,-0.293098800377409,0.0,0.0,
Cost of Revenue,25915000.0,0.0,36400000.0,3600000.0,34500000.0,19700000.0,3600000.0,51100000.0,20400000.0,1988000.0,1463000.0,,
Gross Profit,-21756000.0,-6516000.0,-27500000.0,-9487000.0,-25200000.0,-11854000.0,21000000.0,17600000.0,13200000.0,10500000.0,13375000.0,31054000.0,8501000.0
R&D Expenses,17275000.0,28300000.0,28300000.0,19800000.0,26300000.0,19900000.0,19800000.0,17500000.0,19200000.0,16490000.0,17765000.0,,
SG&A Expense,6681000.0,8000000.0,8000000.0,9400000.0,8000000.0,18000000.0,9400000.0,10200000.0,18000000.0,9987000.0,5372000.0,,
Operating Expenses,23956000.0,14954000.0,36300000.0,20868000.0,34300000.0,15619000.0,29200000.0,27700000.0,37200000.0,33500000.0,24600000.0,32252000.0,26477000.0
Operating Income,-21756000.0,-9115000.0,-27500000.0,-12721000.0,-25200000.0,-15282000.0,-19500000.0,-11500000.0,-22100000.0,-23000000.0,-9762000.0,-1198000.0,-17976000.0
Interest Expense,821000.0,-3036000.0,0.0,-3943000.0,0.0,-2574000.0,0.0,0.0,0.0,0.0,0.0,210000.0,1071000.0
Earnings before Tax,-17898000.0,-29100000.0,-29100000.0,-19200000.0,-25400000.0,-8800000.0,-19200000.0,-11300000.0,-8600000.0,-18727000.0,-9531000.0,,
Income Tax Expense,109000.0,300000.0,300000.0,-100000.0,0.0,100000.0,-100000.0,-300000.0,100000.0,0.0,-2018000.0,,
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Net Income,-18007000.0,-29400000.0,-29400000.0,-19100000.0,-25400000.0,-8900000.0,-19100000.0,-11000000.0,-8700000.0,-18727000.0,-4531000.0,,
Preferred Dividends,339000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Net Income Com,-18007000.0,-29400000.0,-29400000.0,-19100000.0,-25400000.0,-8900000.0,-19100000.0,-11000000.0,-8700000.0,-18727000.0,-4531000.0,,
EPS,-2.9,-8.36,-0.76,-5.94,-0.66,-3.52,-0.54,-0.35,-0.31,-24.42,-0.18,,
EPS Diluted,-2.9,-8.36,-0.76,-5.94,-0.66,-3.52,-0.54,-0.35,-0.31,-24.42,-0.18,,
Weighted Average Shs Out,6316065.0,3513567.0,38644395.0,3193157.0,38635452.0,2583999.0,35367117.0,31347888.0,28217515.0,769108.0,42336000.0,,
Weighted Average Shs Out (Dil),6316065.0,3513127.0,38644395.0,3214622.0,38635452.0,2565229.0,35360841.0,31347888.0,28217515.0,767167.0,42336000.0,,
Dividend per Share,0.0,0.0,0.0,0.0,0.0,12.188,0.0,0.0,0.0,0.0,0.0,,
Gross Margin,-5.23106515989,1.0,-3.08988764045,0.8537,-2.70967741935,0.4137,0.853658536585,0.256186317322,0.392857142857,0.8105,0.901401806173,,
EBITDA Margin,-4.45660014427,-3.258,-3.07865168539,-0.736,-2.69892473118,-0.173,-0.747967479675,-0.132459970888,-0.568452380952,-1.635,-0.641932875051,,
EBIT Margin,-5.23106515989,-3.2697,-3.08988764045,-0.7805,-2.70967741935,-0.2619,-0.792682926829,-0.167394468705,-0.657738095238,-1.6833,-0.657905378083,,
Profit Margin,-4.32964654965,-3.303,-3.30337078652,-0.776,-2.7311827957,-0.265,-0.776422764228,-0.160116448326,-0.258928571429,-1.785,-0.305364604394,,
Free Cash Flow margin,-3.66794902621,-3.3708,-3.37078651685,-0.378,-1.5376344086,-0.4435,-0.394308943089,-0.0494905385735,-0.443452380952,0.5923,-1.02217279957,,
EBITDA,-18535000.0,-29000000.0,-27400000.0,-18100000.0,-25100000.0,-5800000.0,-18400000.0,-9100000.0,-19100000.0,-17154000.0,-9525000.0,,
EBIT,-21756000.0,-9115000.0,-27500000.0,-12721000.0,-25200000.0,-15282000.0,-19500000.0,-11500000.0,-22100000.0,-19700000.0,-9762000.0,-677000.0,-17656000.0
Consolidated Income,-18007000.0,-29400000.0,-29400000.0,-19100000.0,-25400000.0,-8900000.0,-19100000.0,-11000000.0,-8700000.0,-18727000.0,-4531000.0,,
Earnings Before Tax Margin,-4.30343832652,-3.2697,-3.26966292135,-0.7805,-2.7311827957,-0.2619,-0.780487804878,-0.164483260553,-0.255952380952,-1.7854,-0.642337242216,,
Net Profit Margin,-4.32964654965,-3.3034,-3.30337078652,-0.7764,-2.7311827957,-0.2649,-0.776422764228,-0.160116448326,-0.258928571429,-1.7854,-0.305364604394,,
