Date,2018-12-31,2017-12-31
Revenue,416200000.0,361400000.0
Revenue Growth,0.151632540121749,
Cost of Revenue,160400000.0,138600000.0
Gross Profit,255800000.0,222800000.0
R&D Expenses,25600000.0,26500000.0
SG&A Expense,140200000.0,131200000.0
Operating Expenses,181900000.0,175000000.0
Operating Income,73900000.0,47800000.0
Interest Expense,0.0,0.0
Earnings before Tax,49400000.0,45200000.0
Income Tax Expense,10400000.0,22100000.0
Net Income - Non-Controlling int,0.0,0.0
Net Income - Discontinued ops,0.0,0.0
Net Income,39000000.0,23100000.0
Preferred Dividends,0.0,0.0
Net Income Com,39000000.0,23100000.0
EPS,0.31,0.17
EPS Diluted,0.31,0.17
Weighted Average Shs Out,126400000.0,126400000.0
Weighted Average Shs Out (Dil),126400000.0,
Dividend per Share,0.0,0.0
Gross Margin,0.6146,0.6165
EBITDA Margin,0.155,0.125
EBIT Margin,0.1187,0.1251
Profit Margin,0.094,0.064
Free Cash Flow margin,0.1764,0.0
EBITDA,64500000.0,45200000.0
EBIT,49400000.0,45200000.0
Consolidated Income,39000000.0,23100000.0
Earnings Before Tax Margin,0.1187,0.1251
Net Profit Margin,0.0937,0.0639
