Date,2018-12-31,2017-12-31
Cash and cash equivalents,31426000.0,26881000.0
Short-term investments,135602000.0,48963000.0
Cash and short-term investments,167028000.0,75844000.0
Receivables,25155000.0,11476000.0
Inventories,0.0,0.0
Total current assets,196737000.0,92024000.0
Property Plant & Equipment Net,73210000.0,51423000.0
Goodwill and Intangible Assets,4239000.0,4756000.0
Long-term investments,0.0,0.0
Tax assets,0.0,0.0
Total non-current assets,101643000.0,71119000.0
Total assets,298380000.0,163143000.0
Payables,14285000.0,4725000.0
Short-term debt,255000.0,356000.0
Total current liabilities,61379000.0,27163000.0
Long-term debt,10443000.0,10568000.0
Total debt,10698000.0,10924000.0
Deferred revenue,17037000.0,12134000.0
Tax Liabilities,0.0,0.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,18985000.0,14268000.0
Total liabilities,80364000.0,41431000.0
Other comprehensive income,-57000.0,-106000.0
Retained earnings (deficit),-195878000.0,-108714000.0
Total shareholders equity,-113505000.0,-59834000.0
Investments,135602000.0,48963000.0
Net Debt,-156330000.0,-64920000.0
Other Assets,4554000.0,4704000.0
Other Liabilities,46839000.0,22082000.0
