Date,2018-12-31,2017-12-31
Cash and cash equivalents,8097816.0,3221238.0
Short-term investments,0.0,0.0
Cash and short-term investments,8097816.0,3221238.0
Receivables,29502051.0,4747515.0
Inventories,0.0,0.0
Total current assets,38593599.0,8531141.0
Property Plant & Equipment Net,2148264.0,1082422.0
Goodwill and Intangible Assets,95508083.0,34916691.0
Long-term investments,0.0,0.0
Tax assets,0.0,0.0
Total non-current assets,101231015.0,36449427.0
Total assets,139824614.0,44980568.0
Payables,27150983.0,3810780.0
Short-term debt,527005.0,524982.0
Total current liabilities,33227016.0,12323881.0
Long-term debt,72238800.0,23845652.0
Total debt,72765805.0,24370634.0
Deferred revenue,0.0,0.0
Tax Liabilities,0.0,0.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,83794357.0,26597340.0
Total liabilities,117021373.0,38921221.0
Other comprehensive income,0.0,0.0
Retained earnings (deficit),-63605576.0,-40465787.0
Total shareholders equity,-63695472.0,-40465787.0
Investments,0.0,0.0
Net Debt,64667989.0,21149396.0
Other Assets,993732.0,562388.0
Other Liabilities,5549028.0,7988119.0
