date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2004-02-18_FY,2003-12-31_FY,2002-12-31_FY
,revenue,19535000000.0,19482000000.0,18122000000.0,17781000000.0,24516000000.0,24244000000.0,21391000000.0,23329000000.0,24788000000.0,22579000000.0,25419000000.0,23189000000.0,26385000000.0,26793000000.0,26976000000.0,30395000000.0,30319000000.0,29037000000.0,28986065150.0,31849210370.0
,costOfRevenue,10754000000.0,10607000000.0,9568000000.0,9600000000.0,13904000000.0,14388000000.0,13185000000.0,13641000000.0,15379000000.0,13932000000.0,15873000000.0,15110000000.0,17890000000.0,17624000000.0,18681000000.0,20577000000.0,20155000000.0,19558000000.0,19523609640.0,21925933760.0
,grossProfit,8781000000.0,8875000000.0,8554000000.0,8181000000.0,10612000000.0,9856000000.0,8206000000.0,9688000000.0,9409000000.0,8647000000.0,9546000000.0,8079000000.0,8495000000.0,9169000000.0,8295000000.0,9818000000.0,10164000000.0,9479000000.0,9462455510.0,9923276610.0
,grossProfitRatio,0.449500895828001,0.455548711631249,0.472022955523673,0.460097857263371,0.432860172948279,0.406533575317604,0.383619279136085,0.415277122894252,0.379578828465386,0.382966473271624,0.375545851528384,0.3483979473026,0.321963236687512,0.342216250513194,0.307495551601424,0.323013653561441,0.335235330980573,0.326445569445879,0.326448431721682,0.311570569402472
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,1915000000.0,-1884000000.0,-1759000000.0,-1764000000.0,-2021000000.0,-1927000000.0,-1635000000.0,-1733000000.0,-1810000000.0,-1610000000.0,-1576000000.0,-1631000000.0,-1622000000.0,-1629000000.0,-1668000000.0,-2553000000.0,-2534000000.0,-2617000000.0,2612358700.0,3045692120.0
,GeneralAndAdministrativeExpenses,668000000.0,4051000000.0,3869000000.0,3821000000.0,5043000000.0,4606000000.0,4377000000.0,4126000000.0,4670000000.0,4319000000.0,4511000000.0,4425000000.0,4485000000.0,4126000000.0,3660000000.0,3569000000.0,3188000000.0,3083000000.0,0.0,0.0
,SellingAndMarketingExpenses,4606000000.0,-4682000000.0,-4500000000.0,-4398000000.0,-5888000000.0,-5815000000.0,-5124000000.0,-5075000000.0,-5468000000.0,-5160000000.0,-5246000000.0,-5159000000.0,-5501000000.0,-4980000000.0,-4669000000.0,-4751000000.0,-4520000000.0,-4575000000.0,0.0,0.0
,otherExpenses,0.0,-188000000.0,-33000000.0,-76000000.0,-41000000.0,-50000000.0,-274000000.0,-35000000.0,-600000000.0,-75000000.0,-24000000.0,-38000000.0,195000000.0,0.0,0.0,453000000.0,713000000.0,248000000.0,0.0,0.0
