date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,revenue,900610000.0,1054132000.0,982479000.0,863717000.0,779839000.0,709868000.0,745345000.0,757414000.0,760941000.0,814696000.0,914356000.0,871045000.0,1086517000.0,1092977000.0,1011458000.0,978710000.0,919802000.0,868972000.0,816047000.0,836696000.0,852934000.0,778366000.0,722653000.0,710079000.0,692760000.0,652645000.0,567583000.0,546120000.0,561100000.0,557200000.0,556100000.0,505500000.0,461200000.0,402200000.0,336400000.0,301800000.0
,costOfRevenue,529538000.0,656431000.0,632730000.0,567937000.0,479271000.0,431182000.0,453710000.0,466860000.0,455545000.0,485735000.0,569100000.0,577135000.0,724484000.0,711448000.0,620149000.0,586700000.0,557742000.0,507786000.0,475765000.0,497301000.0,515649000.0,458930000.0,417375000.0,404982000.0,400821000.0,379632000.0,338868000.0,344609000.0,322000000.0,318200000.0,325500000.0,272400000.0,243000000.0,216300000.0,179100000.0,158900000.0
,grossProfit,371072000.0,397701000.0,349749000.0,295780000.0,300568000.0,278686000.0,291635000.0,290554000.0,305396000.0,328961000.0,345256000.0,293910000.0,362033000.0,381529000.0,391309000.0,392010000.0,362060000.0,361186000.0,340282000.0,339395000.0,337285000.0,319436000.0,305278000.0,305097000.0,291939000.0,273013000.0,228715000.0,201511000.0,239100000.0,239000000.0,230600000.0,233100000.0,218200000.0,185900000.0,157300000.0,142900000.0
,grossProfitRatio,0.412022962214499,0.377278177685527,0.355986234820286,0.342450131235115,0.385423145033783,0.392588481238765,0.391275181291885,0.383613189088134,0.401339919914947,0.403783742647564,0.377594722405715,0.337422291615244,0.333205094812138,0.349073219290067,0.386876172811921,0.400537442143229,0.393628193893903,0.415647454693592,0.416988237197122,0.405637172879995,0.395440913364926,0.41039305416732,0.422440645787121,0.429666276569227,0.421414342629482,0.418317768465245,0.40296309086072,0.368986669596426,0.426127250044555,0.428930366116296,0.414673619852545,0.461127596439169,0.473113616652212,0.462207856787668,0.467598097502973,0.473492379058979
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,35347000.0,37569000.0,40582000.0,41174000.0,40304000.0,44753000.0,59128000.0,55667000.0,52962000.0,56767000.0,57163000.0,54964000.0,66486000.0,0.0,64587000.0,58769000.0,57150000.0,55211000.0,49847000.0,46950000.0,49528000.0,48096000.0,49998000.0,49963000.0,48735000.0,45020000.0,40888000.0,38968000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,163909000.0,163651000.0,156189000.0,164964000.0,160112000.0,146192000.0,155388000.0,157688000.0,289509000.0,179804000.0,203159000.0,205089000.0,251506000.0,316455000.0,236435000.0,217242000.0,210348000.0,198610000.0,188347000.0,186441000.0,184123000.0,177481000.0,164481000.0,155515000.0,147929000.0,139102000.0,124883000.0,121214000.0,175400000.0,153500000.0,165700000.0,138600000.0,120100000.0,101600000.0,84800000.0,71800000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,514000.0,-2568000.0,-3687000.0,-1231000.0,-313000.0,-893000.0,522000.0,-7256000.0,1427000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,199256000.0,201220000.0,196771000.0,206138000.0,200416000.0,190945000.0,214516000.0,213355000.0,342471000.0,236571000.0,260322000.0,260053000.0,390297000.0,316455000.0,301022000.0,276011000.0,267498000.0,253821000.0,238194000.0,233391000.0,233651000.0,225577000.0,214479000.0,205478000.0,196664000.0,184122000.0,165771000.0,160182000.0,220900000.0,195500000.0,200200000.0,166200000.0,144800000.0,123000000.0,104300000.0,87900000.0
,costAndExpenses,728794000.0,857651000.0,829501000.0,774075000.0,679687000.0,622127000.0,668226000.0,680215000.0,798016000.0,722306000.0,829422000.0,837188000.0,1114781000.0,1027903000.0,921171000.0,862711000.0,825240000.0,761607000.0,713959000.0,730692000.0,749300000.0,684507000.0,631854000.0,610460000.0,597485000.0,563754000.0,504639000.0,504791000.0,542900000.0,513700000.0,525700000.0,438600000.0,387800000.0,339300000.0,283400000.0,246800000.0
,interestExpense,16332000.0,19650000.0,20242000.0,18602000.0,15541000.0,11841000.0,12254000.0,15227000.0,18118000.0,20148000.0,18405000.0,21368000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,72705000.0,70795000.0,79036000.0,71956000.0,67461000.0,60114000.0,64292000.0,63789000.0,63235000.0,66385000.0,62996000.0,68826000.0,66160000.0,62517000.0,2016000.0,55445000.0,1099000.0,56094000.0,2093000.0,57546000.0,62216000.0,55874000.0,48827000.0,44991000.0,45189000.0,43087000.0,38649000.0,41969000.0,45500000.0,42000000.0,34500000.0,27600000.0,24700000.0,21400000.0,19500000.0,16100000.0
,EBITDA,244521000.0,267276000.0,232014000.0,161598000.0,167613000.0,147855000.0,141411000.0,140988000.0,26160000.0,158775000.0,147930000.0,102683000.0,37896000.0,127591000.0,92303000.0,171444000.0,95661000.0,163459000.0,104181000.0,163550000.0,165850000.0,149733000.0,139626000.0,144610000.0,140464000.0,131978000.0,101593000.0,83298000.0,63700000.0,85500000.0,64900000.0,94500000.0,98100000.0,84300000.0,72500000.0,71100000.0
,EBITDARatio,0.27150597928071,0.253550788705779,0.236151612400876,0.187096004825655,0.214932825878162,0.208285202319304,0.189725563329733,0.186143905446691,0.0343784866369403,0.194888645580683,0.161786000201235,0.117884839474424,0.0348784234393019,0.116737131705425,0.0912573730199376,0.175173442592801,0.104001730807282,0.18810617603329,0.127665440838579,0.195471234474648,0.194446463618521,0.192368371691466,0.193213063531183,0.203653396312241,0.202759974594376,0.202220196278222,0.178992323589678,0.152526917161064,0.113527000534664,0.153445800430725,0.116705628484086,0.186943620178042,0.212705984388552,0.209597215315763,0.21551724137931,0.23558648111332
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,171816000.0,196481000.0,152978000.0,89642000.0,100152000.0,87741000.0,77119000.0,77199000.0,-37075000.0,92390000.0,84934000.0,33857000.0,-28264000.0,65074000.0,90287000.0,115999000.0,94562000.0,107365000.0,102088000.0,106004000.0,103634000.0,93859000.0,90799000.0,99619000.0,95275000.0,88891000.0,62944000.0,41329000.0,18200000.0,43500000.0,30400000.0,66900000.0,73400000.0,62900000.0,53000000.0,55000000.0
