Date,2018-02-03,2017-01-28,2017-01,2016-01-30,2016-01,2015-01-31,2015-01,2014-02-01,2014-01,2013-02-02,2013-01,2012-01-28
Revenue,874853000.0,861086000.0,861000000.0,899515000.0,900000000.0,889972000.0,890000000.0,912224000.0,912000000.0,969553000.0,970000000.0,980592000.0
Revenue Growth,0.0159879501002223,0.000099883855981417,-0.0428175183293219,-0.000538888888888889,0.0112677702219845,-0.0000314606741573034,-0.0243624372961027,0.000245614035087719,-0.0593603444061335,-0.000460824742268041,-0.0108016381940705,0.0
Cost of Revenue,544679000.0,542578000.0,543000000.0,580448000.0,580000000.0,586968000.0,587000000.0,609436000.0,609000000.0,652352000.0,652000000.0,656850000.0
Gross Profit,330174000.0,318508000.0,319000000.0,319067000.0,319000000.0,303004000.0,303000000.0,302788000.0,303000000.0,317201000.0,317000000.0,323742000.0
R&D Expenses,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
SG&A Expense,274665000.0,280019000.0,280000000.0,275863000.0,276000000.0,268783000.0,269000000.0,272716000.0,273000000.0,263444000.0,263000000.0,248618000.0
Operating Expenses,289309000.0,296012000.0,296000000.0,316182000.0,312000000.0,280981000.0,280000000.0,328319000.0,328000000.0,280856000.0,281000000.0,268357000.0
Operating Income,40865000.0,22496000.0,22000000.0,6664000.0,7000000.0,22908000.0,23000000.0,-19369000.0,-26000000.0,36345000.0,36000000.0,55385000.0
Interest Expense,0.0,0.0,7000000.0,0.0,9000000.0,14291000.0,14000000.0,15025000.0,15000000.0,14836000.0,15000000.0,16103000.0
Earnings before Tax,33717000.0,14906000.0,15000000.0,-7724000.0,-8000000.0,8617000.0,9000000.0,-34394000.0,-34000000.0,21509000.0,22000000.0,37976000.0
Income Tax Expense,-22933000.0,389000.0,0000000.0,-432000.0,-0000000.0,45792000.0,46000000.0,-11615000.0,-12000000.0,6708000.0,7000000.0,12459000.0
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Income - Discontinued ops,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Income,56650000.0,14517000.0,15000000.0,-7292000.0,-7000000.0,-37175000.0,-37000000.0,-22779000.0,-23000000.0,14801000.0,15000000.0,25517000.0
Preferred Dividends,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Income Com,56650000.0,14517000.0,15000000.0,-7292000.0,-7000000.0,-37175000.0,-37000000.0,-22779000.0,-23000000.0,14801000.0,15000000.0,25517000.0
EPS,3.76,0.97,0.97,-0.49,-0.49,-2.5,-2.50,-1.52,-1.52,1.01,1.01,1.71
EPS Diluted,3.68,0.95,0.95,-0.49,-0.49,-2.5,-2.50,-1.52,-1.52,0.97,0.97,1.6
Weighted Average Shs Out,15083000.0,14936000.0,15000000.0,14968000.0,15000000.0,14856000.0,15000000.0,14988000.0,15000000.0,14715000.0,15000000.0,14927000.0
Weighted Average Shs Out (Dil),15383000.0,15215000.0,15000000.0,14968000.0,15000000.0,14856000.0,15000000.0,14988000.0,15000000.0,15315000.0,15000000.0,15950000.0
Dividend per Share,0.0,0.177850805127,,0.0,,0.540993537964,,0.0,,0.978909565785,,0.0
Gross Margin,0.377405118346,0.369891044565,0.37049941927991,0.354710038187,0.35444444444444,0.340464643831,0.34044943820225,0.331922861052,0.33223684210526,0.327162104599,0.32680412371134,0.330149542317
EBITDA Margin,0.0639764623314,0.0434706870162,0.042973286875726,0.0246077052634,0.017777777777778,0.0419091836597,0.040449438202247,-0.0052684428386,-0.0065789473684211,0.0526562240538,0.051546391752577,0.0707654151778
EBIT Margin,0.0467107045412,0.0261251489398,0.025551684088269,0.0074084367687,0.0022222222222222,0.0257401356447,0.025842696629213,-0.0212327235416,-0.021929824561404,0.0374863468011,0.038144329896907,0.0564811868749
Profit Margin,0.0647537357705,0.0168589432414,0.017421602787456,-0.00810659077392,-0.0077777777777778,-0.0417709770644,-0.041573033707865,-0.0249708404953,-0.025219298245614,0.0152657977439,0.015463917525773,0.0260220356682
Free Cash Flow margin,0.0254168414579,0.0337027892684,,0.0155806184444,,0.0431586611714,,-0.024142096678,,0.0692494376274,,-0.0126658181996
EBITDA,55970000.0,37432000.0,37000000.0,22135000.0,16000000.0,37298000.0,36000000.0,-4806000.0,-6000000.0,51053000.0,50000000.0,69392000.0
EBIT,40865000.0,22496000.0,22000000,6664000.0,2000000,22908000.0,23000000,-19369000.0,-20000000,36345000.0,37000000,55385000.0
Consolidated Income,56650000.0,14517000.0,15000000.0,-7292000.0,-7000000.0,-37175000.0,-37000000.0,-22779000.0,-23000000.0,14801000.0,15000000.0,25517000.0
Earnings Before Tax Margin,0.0385401890375,0.0173106983507,0.017421602787456,-0.00858684958005,-0.0088888888888889,0.00968232708445,0.010112359550562,-0.0377034587996,-0.037280701754386,0.0221844499476,0.022680412371134,0.0387276257608
Net Profit Margin,0.0647537357705,0.0168589432414,0.017421602787456,-0.00810659077392,-0.0077777777777778,-0.0417709770644,-0.041573033707865,-0.0249708404953,-0.025219298245614,0.0152657977439,0.015463917525773,0.0260220356682
