date,,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-14722000.0,-47510000.0,-33575000.0,-84054000.0,-38816000.0,-4287000.0
,depreciationAndAmortization,2008000.0,1674000.0,1469000.0,1969000.0,2084000.0,395000.0
,deferredIncomeTax,0.0,0.0,0.0,1698000.0,1443000.0,15455000.0
,stockBasedCompensation,4913000.0,7118000.0,8476000.0,8592000.0,7130000.0,1025000.0
,changeInWorkingCapital,2827000.0,-17111000.0,-16481000.0,-7106000.0,58877000.0,0.0
,accountsReceivables,202000.0,-2319000.0,-27000.0,281000.0,-102000.0,0.0
,inventory,-499000.0,-3187000.0,-15010000.0,-879000.0,-372000.0,0.0
,accountsPayables,-6540000.0,62000.0,6182000.0,-117000.0,-1143000.0,1527000.0
,otherWorkingCapital,52570000.0,49743000.0,66854000.0,83335000.0,90441000.0,31564000.0
,otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,-11261000.0,-38185000.0,-11323000.0,-38495000.0,-32188000.0,-16151000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,-1000.0,-72000.0,-2245000.0,-471000.0,-94000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,-12075000.0,-30994000.0
,purchasesOfInvestments,-4218000.0,-3731000.0,-229930000.0,-2050601000.0,-372530000.0,-5169000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,7456000.0,0.0,6881000.0
,otherInvestingActivites,3725000.0,-2020000.0,287287000.0,2079053000.0,284951000.0,141000.0
,netCashUsedForInvestingActivites,-493000.0,-5752000.0,57285000.0,33663000.0,-100125000.0,-29235000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-36500000.0,-3500000.0,0.0,0.0,-0.0,-0.0
,commonStockIssued,24223000.0,27463000.0,14587000.0,0.0,0.0,19750000.0
,commonStockRepurchased,-41431000.0,-66868000.0,-87307000.0,-7000.0,-1081000.0,-41084000.0
,dividendsPaid,0.0,0.0,0.0,0.0,-0.0,-4535000.0
,otherFinancingActivites,40035000.0,93839000.0,87352000.0,21902000.0,102059000.0,98366000.0
,netCashUsedProvidedByFinancingActivities,-13673000.0,23471000.0,14632000.0,21895000.0,100978000.0,72497000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-9000.0,27000.0,-42000.0,-131000.0,74000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-25436000.0,-20439000.0,60552000.0,16932000.0,-31261000.0,27111000.0
,cashAtEndOfPeriod,41782000.0,67218000.0,87307000.0,26755000.0,9823000.0,41084000.0
,cashAtBeginningOfPeriod,67218000.0,87657000.0,26755000.0,9823000.0,41084000.0,13973000.0
,operatingCashFlow,-11261000.0,-38185000.0,-11323000.0,-38495000.0,-32188000.0,-16151000.0
,capitalExpenditure,0.0,-1000.0,-72000.0,-2245000.0,-471000.0,-94000.0
,freeCashFlow,-11261000.0,-38186000.0,-11395000.0,-40740000.0,-32659000.0,-16245000.0
