date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-50986000.0,-102808000.0,-72548000.0,-27557000.0,-26671000.0,-15529000.0,-31917000.0,-10073000.0,-11255000.0
,depreciationAndAmortization,632000.0,572000.0,105000.0,35000.0,29000.0,22000.0,18000.0,55000.0,119000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,7324000.0,9558000.0,7013000.0,4920000.0,2473000.0,2487000.0,1292000.0,892000.0,81000.0
,changeInWorkingCapital,-1591000.0,18140000.0,79913000.0,78017000.0,-27431000.0,19878000.0,-5981000.0,32711000.0,-298000.0
,accountsReceivables,0.0,0.0,0.0,-5000000.0,0.0,211000.0,-101000.0,-2000.0,16000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-2272000.0,530000.0,662000.0,412000.0,-109000.0,-1077000.0,1388000.0,40000.0,-951000.0
,otherWorkingCapital,0.0,185287000.0,167147000.0,87234000.0,9217000.0,36648000.0,16770000.0,22751000.0,-9960000.0
,otherNonCashItems,0.0,910000.0,-115000.0,437000.0,476000.0,228000.0,198000.0,57000.0,60000.0
,netCashProvidedByOperatingActivites,-44725000.0,-97911000.0,-54936000.0,-19632000.0,-23353000.0,-23324000.0,-21114000.0,-8458000.0,-11293000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-21000.0,-315000.0,-529000.0,-27000.0,-42000.0,0.0,-103000.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-176300000.0,-290893000.0,-276382000.0,-98385000.0,-22906000.0,-42788000.0,-27334000.0,-6933000.0,-2881000.0
,salesMaturitiesOfInvestments,224278000.0,256861000.0,222800000.0,30884000.0,50076000.0,31705000.0,10499000.0,44000.0,13891000.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,47957000.0,-34347000.0,-54111000.0,-67528000.0,27128000.0,-11083000.0,-16938000.0,-6231000.0,11010000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,-6527000.0,-3137000.0,-986000.0,-4756000.0,-244000.0,0.0,-12000.0
,commonStockIssued,0.0,107746000.0,135520000.0,0.0,0.0,0.0,0.0,26514000.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3000.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,0.0,-126000.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,92000.0,108132000.0,134988000.0,99719000.0,-986000.0,30527000.0,25237000.0,31364000.0,-12000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,3324000.0,-24126000.0,25941000.0,12559000.0,2789000.0,-3880000.0,-12815000.0,16675000.0,-295000.0
,cashAtEndOfPeriod,28193000.0,24869000.0,48995000.0,23054000.0,10495000.0,7706000.0,11586000.0,24401000.0,7726000.0
,cashAtBeginningOfPeriod,24869000.0,48995000.0,23054000.0,10495000.0,7706000.0,11586000.0,24401000.0,7726000.0,8021000.0
,operatingCashFlow,-44725000.0,-97911000.0,-54936000.0,-19632000.0,-23353000.0,-23324000.0,-21114000.0,-8458000.0,-11293000.0
,capitalExpenditure,-21000.0,-315000.0,-529000.0,-27000.0,-42000.0,0.0,-103000.0,0.0,0.0
,freeCashFlow,-44746000.0,-98226000.0,-55465000.0,-19659000.0,-23395000.0,-23324000.0,-21217000.0,-8458000.0,-11293000.0
