date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2018-03-14_FY,2017-12-31_FY,2017-03-08_FY,2016-12-31_FY,2016-03-09_FY,2015-12-31_FY,2015-03-11_FY,2014-12-31_FY,2014-03-12_FY,2013-12-31_FY,2013-03-13_FY,2012-12-31_FY,2012-03-14_FY,2011-12-31_FY,2011-03-15_FY,2010-12-31_FY,2010-03-17_FY,2009-12-31_FY,2009-03-17_FY,2008-12-31_FY,2007-12-31_FY,2007-03-14_FY,2006-12-31_FY,2005-12-31_FY,2005-03-11_FY,2004-12-31_FY,2004-04-14_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,revenue,22883000000.0,23964000000.0,23468000000.0,22719000000.0,22719000000.0,21719000000.0,21719000000.0,21514000000.0,21514000000.0,21042000000.0,21042000000.0,20400000000.0,20400000000.0,19975000000.0,19975000000.0,0.0,19497000000.0,18069000000.0,18069000000.0,17735000000.0,17735000000.0,17698000000.0,17697911608.0,17865726487.0,17713000000.0,17713187325.0,19104547040.0,19193000000.0,19192464603.0,19056000000.0,19055777406.0,19768649669.0,21711238459.0,18093881224.0,14213975694.0,27454024768.0,33190993567.0,28167054954.0,24623943278.0,21669939683.0,19826979084.0,20783979657.0,19883984285.0,18373042570.0,16680949624.0,15253042233.0,14648992853.0,13932467891.0,13257374528.0
,costOfRevenue,13276000000.0,11903000000.0,11850000000.0,0.0,11469000000.0,0.0,11014000000.0,0.0,11098000000.0,0.0,10847000000.0,0.0,10453000000.0,0.0,10215000000.0,0.0,11868000000.0,4949000000.0,4949000000.0,4525000000.0,4525000000.0,4428000000.0,4428120447.0,4170225444.0,0.0,10384436160.0,11508314920.0,0.0,11629469642.0,0.0,11629524668.0,12113629210.0,14243871379.0,11292741452.0,8520978009.0,18233126935.0,21898070050.0,18576949431.0,16464003272.0,14554074905.0,13465978290.0,13973045137.0,10279986134.0,9731005684.0,9009033005.0,9042949177.0,8556985055.0,8185333517.0,7913462883.0
,grossProfit,9607000000.0,12061000000.0,11618000000.0,22719000000.0,11250000000.0,21719000000.0,10705000000.0,21514000000.0,10416000000.0,21042000000.0,10195000000.0,20400000000.0,9947000000.0,19975000000.0,9760000000.0,0.0,7629000000.0,13120000000.0,13120000000.0,13210000000.0,13210000000.0,13270000000.0,13269791161.0,13695501043.0,17713000000.0,7328751165.0,7596232120.0,19193000000.0,7562994961.0,19056000000.0,7426252738.0,7655020459.0,7467367080.0,6801139772.0,5692997685.0,9220897833.0,11292923517.0,9590105523.0,8159940006.0,7115864778.0,6361000794.0,6810934520.0,9603998151.0,8642036886.0,7671916619.0,6210093056.0,6092007798.0,5747134374.0,5343911645.0
,grossProfitRatio,0.419831315823974,0.503296611584043,0.495057099028464,1.0,0.495180245609402,1.0,0.49288641281827,1.0,0.484149855907781,1.0,0.484507176123943,1.0,0.487598039215686,1.0,0.488610763454318,0.0,0.391290967841206,0.726105484531518,0.726105484531518,0.744854806879053,0.744854806879053,0.749802237540965,0.749794182213095,0.766579576428954,1.0,0.413745478469387,0.39761383005289,1.0,0.394060643978878,1.0,0.389711349989937,0.387230316039448,0.343940171543026,0.375880646490531,0.400521135504905,0.335866886947219,0.340240598528751,0.340472425628513,0.331382342538549,0.328374923146758,0.320825515932138,0.327701173326836,0.483001696910665,0.470365039055151,0.459920855342786,0.407137996547629,0.415865299350761,0.412499380509069,0.403089739504114
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23003472.0,2919969040.0,2910936383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,-138000000.0,80000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409000000.0,-5932000000.0,5932000000.0,-6121000000.0,6121000000.0,-6266000000.0,6266391452.0,6721620816.0,0.0,512581547.0,380276776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2471015486.0,2134033270.0,1605975593.0,2723060630.0,1256961221.0,2961982898.0,2357035147.0,2198031268.0,2203054164.0,1989993502.0,1712884961.0,1537536698.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-194000000.0,37000000.0,10000000.0,-102000000.0,-5000000.0,21000000.0,33000000.0,-12000000.0,33000000.0,42000000.0,53000000.0,-6000000.0,38000000.0,0.0,1087000000.0,0.0,0.0,124000000.0,0.0,-18000000.0,0.0,-253000000.0,0.0,0.0,-176000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
