date,,2020-08-31_FY,2019-08-31_FY
,revenue,1121530.0,3222734.0
,costOfRevenue,0.0,0.0
,grossProfit,0.0,0.0
,grossProfitRatio,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0
,GeneralAndAdministrativeExpenses,510403.0,351486.0
,SellingAndMarketingExpenses,0.0,0.0
,otherExpenses,13790.0,859.0
,operatingExpenses,524193.0,352345.0
,costAndExpenses,0.0,0.0
,interestExpense,1337300.0,2116383.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,0.0,0.0
,EBITDA,0.0,0.0
,EBITDARatio,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,0.0,0.0
,operatingIncomeRatio,0.0,0.0
,totalOtherIncomeExpensesNet,0.0,0.0
,incomeBeforeTax,597337.0,2870389.0
,incomeBeforeTaxRatio,0.532609025170972,0.890668916516225
,incomeTaxExpense,0.0,0.0
,netIncome,597337.0,2870389.0
,netIncomeRatio,0.532609025170972,0.890668916516225
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,0.03,0.2
,EPSDiluted,0.03,0.2
,weightedAverageShsOut,14963133.0,14351945.0
,weightedAverageShsOutDil,14963133.0,14351945.0
