date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY,1984-12-31_FY,1983-12-31_FY
,revenue,2915068000.0,2846823000.0,2754280000.0,2668528000.0,2560549000.0,2381696000.0,2195404000.0,1981746000.0,1826729000.0,1752102000.0,1646722000.0,1627702000.0,1745607000.0,1816371000.0,1381655000.0,1060961000.0,927976000.0,875071000.0,841452000.0,834645000.0,757310000.0,676734000.0,582151000.0,470844000.0,341122000.0,212650000.0,147196000.0,114700000.0,70000000.0,50000000.0,34500000.0,29700000.0,29800000.0,28400000.0,23200000.0,19300000.0,12500000.0,8600000.0
,costOfRevenue,867462000.0,796783000.0,739722000.0,707978000.0,669083000.0,635502000.0,618720000.0,565161000.0,540129000.0,543029000.0,529991000.0,522939000.0,580577000.0,659865000.0,500560000.0,378631000.0,330531000.0,318498000.0,295517000.0,276187000.0,252086000.0,216816000.0,213881000.0,1793000.0,2575000.0,72699000.0,52816000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200000.0,2000000.0
,grossProfit,2047606000.0,2050040000.0,2014558000.0,1960550000.0,1891466000.0,1746194000.0,1576684000.0,1416585000.0,1286600000.0,1209073000.0,1116731000.0,1104763000.0,1165030000.0,1156506000.0,881095000.0,682330000.0,597445000.0,556573000.0,545935000.0,558458000.0,505224000.0,459918000.0,368270000.0,469051000.0,338547000.0,139951000.0,94380000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10200000.0,6600000.0
,grossProfitRatio,0.702421350033687,0.720115019444483,0.731428177236882,0.73469343398308,0.738695490693597,0.733172495566185,0.718174878063445,0.71481663139474,0.704319031449109,0.690069984510034,0.678153932479192,0.678725589819267,0.667406810353075,0.636712433748392,0.637709847972178,0.643124488082031,0.643815141770908,0.63603181913239,0.648801119968816,0.669096442199977,0.667129709101953,0.679614146769632,0.632602194276056,0.996191944678067,0.992451381030834,0.658128379967082,0.64118590179081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.816,0.767441860465116
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,6850000.0,5441000.0,8193000.0,9721000.0,10006000.0,10614000.0,10475000.0,6355000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,83199000.0,60052000.0,107841000.0,69894000.0,70076000.0,72799000.0,55987000.0,51500000.0,45707000.0,0.0,0.0,0.0,0.0,59749000.0,84661000.0,21115000.0,18813000.0,17127000.0,15619000.0,21038000.0,21306000.0,12491000.0,8972000.0,6384000.0,5524000.0,3982000.0,2631000.0,2500000.0,1400000.0,1400000.0,1100000.0,1300000.0,0.0,0.0,0.0,0.0,1300000.0,1000000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4109000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,151616000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
