date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY
,revenue,502197000.0,470427000.0,397271000.0,294004615.0,200118915.0,109305512.0,56536370.0,28531935.0,12491235.0,7150703.0,0.0
,costOfRevenue,159915000.0,137883000.0,115547000.0,82785033.0,57955455.0,29713327.0,12704975.0,7377541.0,3534181.0,1868320.0,0.0
,grossProfit,342282000.0,332544000.0,281724000.0,211219582.0,142163460.0,79592185.0,43831395.0,21154394.0,8957054.0,5282383.0,0.0
,grossProfitRatio,0.681569185001105,0.706898200996116,0.709148163344417,0.718422675099845,0.710394916942259,0.728162592568982,0.775277843271508,0.741428648284808,0.717067127469782,0.738722192769019,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,214532000.0,45203000.0,37978000.0,35040714.0,25306895.0,13452346.0,7954673.0,4680668.0,2932569.0,633360.0,2462.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,552554000.0,1831000.0,320000.0,0.0,0.0,0.0,0.0,0.0,82298.0,0.0,0.0
,operatingExpenses,422312000.0,232306000.0,211647000.0,151817523.0,103446693.0,51548680.0,24283388.0,17980602.0,6678798.0,9500959.0,0.0
,costAndExpenses,582227000.0,370189000.0,327194000.0,234602556.0,161402148.0,81262007.0,36988363.0,25358143.0,10212979.0,11369279.0,2462.0
,interestExpense,118558000.0,111964000.0,95564000.0,67468042.0,44284144.0,21315731.0,10188187.0,4582350.0,2504679.0,1514581.0,15292.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,200101000.0,184132000.0,170617000.0,116575801.0,77855992.0,38083414.0,16328715.0,13299934.0,3595298.0,2698305.0,0.0
,EBITDA,120071000.0,284370000.0,240694000.0,175977860.0,116572759.0,66126919.0,35876722.0,16473726.0,5873554.0,-1520271.0,745983.0
,EBITDARatio,0.239091432246708,0.604493364539025,0.605868538101195,0.598554753978947,0.582517444690323,0.60497332467552,0.634577741726255,0.577378505874207,0.470214034080697,-0.2126044110628,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-80030000.0,100238000.0,70077000.0,59402059.0,38716767.0,28043505.0,19548007.0,3173792.0,2278256.0,-4218576.0,-2462.0
,operatingIncomeRatio,-0.159359773156749,0.213078756108812,0.176395961446972,0.202044648176696,0.193468803286286,0.256560757887489,0.3457598533475,0.111236479404569,0.182388370725553,-0.589952624238484,0.0
,totalOtherIncomeExpensesNet,16985000.0,4268000.0,70025000.0,36732584.0,-4276037.0,-9153763.0,-7232617.0,-1529166.0,79793.0,-2762267.0,-748445.0
,incomeBeforeTax,-181603000.0,-7458000.0,44538000.0,28666601.0,-9843414.0,-2425989.0,2127203.0,-2937724.0,-146630.0,0.0,0.0
,incomeBeforeTaxRatio,-0.361617054661816,-0.0158536818677499,0.112109869585245,0.0975039150320821,-0.0491878241494563,-0.0221945714869347,0.0376253905229501,-0.102962662714604,-0.0117386311281471,0.0,0.0
,incomeTaxExpense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netIncome,-177788000.0,-7244000.0,43467000.0,27680996.0,-9533123.0,-2400668.0,2093489.0,-3983088.0,-146630.0,-8495424.0,-766199.0
,netIncomeRatio,-0.354020434212072,-0.0153987760056289,0.109413976857108,0.0941515696955981,-0.0476372910576694,-0.0219629180274093,0.0370290664221987,-0.139601047037293,-0.0117386311281471,-1.18805437731087,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-6.95,-2.73,-1.08,-1.13,-2.11,-0.95,-0.31,-1.59,-0.12,-2.23,-20.9
,EPSDiluted,-6.95,-2.73,-1.08,-1.13,-2.11,-0.95,-0.31,-1.59,-0.12,-2.23,-20.9
