date,,2020-10-31_FY,2019-10-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-2969500000.0,1468800000.0
,depreciationAndAmortization,809100000.0,522100000.0
,deferredIncomeTax,0.0,0.0
,stockBasedCompensation,0.0,0.0
,changeInWorkingCapital,381500000.0,-265200000.0
,accountsReceivables,262000000.0,183000000.0
,inventory,0.0,0.0
,accountsPayables,0.0,0.0
,otherWorkingCapital,0.0,0.0
,otherNonCashItems,0.0,0.0
,netCashProvidedByOperatingActivites,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-26300000.0,-56300000.0
,acquisitionsNet,-6000000.0,-88000000.0
,purchasesOfInvestments,0.0,-2344700000.0
,salesMaturitiesOfInvestments,0.0,0.0
,otherInvestingActivites,0.0,0.0
,netCashUsedForInvestingActivites,2400000.0,2235500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-179000000.0,-225500000.0
,commonStockIssued,0.0,0.0
,commonStockRepurchased,0.0,-2344700000.0
,dividendsPaid,0.0,0.0
,otherFinancingActivites,-21800000.0,-1000000.0
,netCashUsedProvidedByFinancingActivities,-198200000.0,-3007300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-9300000.0,-1800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,381500000.0,-265200000.0
,cashAtEndOfPeriod,0.0,0.0
,cashAtBeginningOfPeriod,0.0,0.0
,operatingCashFlow,0.0,0.0
,capitalExpenditure,-26300000.0,-56300000.0
,freeCashFlow,0.0,0.0
