date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2000-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-281584000.0,-235259000.0,-245192000.0,-289403000.0,-271393000.0,-164443000.0,-92475000.0,-37948000.0,-20849000.0,-22765000.0,15139000.0,-45145000.0,-64244000.0,-56390000.0,-45048000.0,-34135100.0,-25917100.0,-14092600.0,-12868200.0,-10194000.0
,depreciationAndAmortization,2932000.0,2766000.0,3005000.0,2713000.0,1828000.0,647000.0,206000.0,79000.0,109000.0,285000.0,607000.0,1111000.0,1043000.0,768000.0,-146000.0,1025600.0,1305600.0,1343600.0,1402800.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,84422000.0,82265000.0,81564000.0,75532000.0,55265000.0,40194000.0,16039000.0,5711000.0,1930000.0,1598000.0,1583000.0,2134000.0,2987000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,11036000.0,218883000.0,142094000.0,-180865000.0,308225000.0,-111697000.0,127403000.0,78781000.0,76816000.0,-6106000.0,-1876000.0,-17565000.0,-60635000.0,46717000.0,26825700.0,9245800.0,9131200.0,12948700.0,7097600.0,25330000.0
,accountsReceivables,-12466000.0,-9691000.0,-8747000.0,-11440000.0,-5903000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-3320000.0,-1737000.0,1926000.0,-1012000.0,-3305000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,1271000.0,4055000.0,-5619000.0,4874000.0,2240000.0,-344000.0,1644000.0,-1003000.0,-585000.0,-29000.0,-990000.0,656000.0,-276000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,5012000.0,685424000.0,466541000.0,324447000.0,505312000.0,197087000.0,308784000.0,181381000.0,102600000.0,25784000.0,31890000.0,33766000.0,51331000.0,111966000.0,65249000.0,38423300.0,29177500.0,20046300.0,7097600.0,0.0
,otherNonCashItems,44280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,806000.0,-211000.0,583000.0,5000.0,4295000.0,3378000.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,-136166000.0,-151130000.0,-167470000.0,-217857000.0,-210408000.0,-121795000.0,-66434000.0,-31769000.0,-21633000.0,-19897000.0,-10703000.0,-13727000.0,-64869000.0,-54926000.0,-41418000.0,-20262600.0,-20693400.0,-9816400.0,-9243200.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-7587000.0,-1129000.0,-2148000.0,-812000.0,-1506000.0,-2141000.0,-180000.0,-618000.0,0.0,0.0,0.0,-41000.0,-226000.0,-416000.0,-2026000.0,-1021800.0,-585300.0,-1777300.0,-380600.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-339908000.0,-578634000.0,-331063000.0,-478818000.0,-683355000.0,-269486000.0,-335361000.0,-211585000.0,-56728000.0,-48066000.0,-54674000.0,-50265000.0,-79972000.0,-222231000.0,-116596000.0,-54522600.0,-36646400.0,-37063600.0,-11992000.0,0.0
,salesMaturitiesOfInvestments,540004000.0,413927000.0,261678000.0,572103000.0,430937000.0,419197000.0,248268000.0,86087000.0,30948000.0,54049000.0,53486000.0,59750000.0,149912000.0,180745000.0,83166000.0,48893000.0,29853000.0,24150000.0,16221000.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12520000.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,192509000.0,-165836000.0,-71489000.0,92473000.0,-261924000.0,147570000.0,-87273000.0,-126104000.0,-25528000.0,5980000.0,-1060000.0,9444000.0,69714000.0,-41902000.0,-22936000.0,-6651400.0,-7378700.0,-14690900.0,3848400.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32000.0,-78000.0,-353000.0,-762000.0,-909000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,80996000.0,371847000.0,306647000.0,31188000.0,518896000.0,14547000.0,203851000.0,111682000.0,98204000.0,14022000.0,823000.0,1923000.0,535000.0,98599000.0,69403000.0,41669900.0,31501000.0,28024400.0,15000.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,14916000.0,-45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12520000.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,80996000.0,371847000.0,306647000.0,31188000.0,533812000.0,14502000.0,203851000.0,111682000.0,98172000.0,13944000.0,470000.0,1161000.0,-374000.0,98220000.0,69996000.0,28370200.0,30106400.0,26404100.0,4385600.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
