Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
Depreciation & Amortization,3982000.0,2686000.0,544000.0,80000.0,0.0,0.0
Stock-based compensation,16641000.0,10605000.0,7031000.0,2921000.0,319000.0,0.0
Operating Cash Flow,104648000.0,-57992000.0,-48558000.0,-22515000.0,-2399000.0,-3012000.0
Capital Expenditure,-13278000.0,-7160000.0,-8149000.0,-522000.0,0.0,0.0
Acquisitions and disposals,0.0,0.0,0.0,0.0,0.0,0.0
Investment purchases and sales,-266080000.0,2370000.0,27537000.0,-163278000.0,0.0,0.0
Investing Cash flow,-279358000.0,-4790000.0,19388000.0,-163800000.0,0.0,0.0
Issuance (repayment) of debt,0.0,0.0,0.0,0.0,2400000.0,0.0
Issuance (buybacks) of shares,205062000.0,85043000.0,179000.0,145291000.0,1000.0,0.0
Dividend payments,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,204443000.0,84598000.0,119000.0,239310000.0,2401000.0,1965000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,29733000.0,21816000.0,-29051000.0,52995000.0,2000.0,-1047000.0
Free Cash Flow,91370000.0,-65152000.0,-56707000.0,-23037000.0,-2399000.0,-3012000.0
Net Cash/Marketcap,0.2095,0.1488,0.1833,0.2613,0.3936,0.3936
