date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-115583000.0,39003000.0,126349000.0,168501000.0,-60560000.0,-9061000.0
,depreciationAndAmortization,180084000.0,165379000.0,125110000.0,81473000.0,41362000.0,36436000.0
,deferredIncomeTax,-25546000.0,23286000.0,20488000.0,0.0,0.0,0.0
,stockBasedCompensation,17139000.0,13592000.0,5450000.0,0.0,0.0,0.0
,changeInWorkingCapital,-11492000.0,-19006000.0,109961000.0,89228000.0,10592000.0,-34125000.0
,accountsReceivables,543000.0,0.0,0.0,-100180000.0,-16478000.0,5886000.0
,inventory,1087000.0,-30476000.0,-4610000.0,-27639000.0,-11687000.0,3729000.0
,accountsPayables,-15282000.0,0.0,0.0,112896000.0,38573000.0,-24557000.0
,otherWorkingCapital,210987000.0,222479000.0,241485000.0,131524000.0,42296000.0,31704000.0
,otherNonCashItems,0.0,-72000.0,4031000.0,2311000.0,630000.0,514000.0
,netCashProvidedByOperatingActivites,85425000.0,261100000.0,351258000.0,195109000.0,-40708000.0,6119000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-100000000.0,-195173000.0,-258835000.0,0.0,0.0,-38492000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,826000.0,3343000.0,1751000.0,6077000.0,0.0
,netCashUsedForInvestingActivites,-100269000.0,-194347000.0,-255492000.0,-310043000.0,-96351000.0,-38492000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-895000.0,-13893000.0,-92847000.0,-216116000.0,-91225000.0,-58465000.0
,commonStockIssued,0.0,0.0,230174000.0,39794000.0,155481000.0,0.0
,commonStockRepurchased,0.0,-18398000.0,-108800000.0,-62739000.0,0.0,0.0
,dividendsPaid,-4431000.0,-14776000.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,-10308000.0,-37302000.0,-13227000.0,-413000.0,-50000.0
,netCashUsedProvidedByFinancingActivities,-28868000.0,-57375000.0,-8775000.0,119771000.0,148543000.0,21485000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-43712000.0,9378000.0,86991000.0,4837000.0,0.0,0.0
,cashAtEndOfPeriod,68978000.0,112690000.0,103312000.0,16321000.0,11484000.0,0.0
,cashAtBeginningOfPeriod,112690000.0,103312000.0,16321000.0,11484000.0,0.0,10888000.0
,operatingCashFlow,85425000.0,261100000.0,351258000.0,195109000.0,-40708000.0,6119000.0
,capitalExpenditure,0.0,-195173000.0,-258835000.0,-311794000.0,-102428000.0,-38492000.0
,freeCashFlow,85425000.0,65927000.0,92423000.0,-116685000.0,-143136000.0,-32373000.0
