Date,2017-12-31,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12,2012-12
Cash and cash equivalents,15188838.0,52973376.0,53000000.0,6163144.0,6000000.0,37223590.0,37000000.0,33000000.0,8000000.0
Short-term investments,0.0,0.0,000000.0,1003160.0,1000000.0,0.0,19000000.0,14000000.0,4000000.0
Cash and short-term investments,15188838.0,52973376.0,000000.0,7166304.0,1000000.0,37223590.0,19000000.0,14000000.0,4000000.0
Receivables,31977.0,136140.0,0000000.0,73818.0,0000000.0,129019.0,0000000.0,0000000.0,1000000.0
Inventories,0.0,0.0,,0.0,,0.0,,,
Total current assets,17184421.0,55501794.0,42000000.0,8813798.0,22000000.0,57517303.0,7000000.0,2000000.0,2000000.0
Property Plant & Equipment Net,3582323.0,40951577.0,41000000.0,22306384.0,22000000.0,5513555.0,6000000.0,2000000.0,2000000.0
Goodwill and Intangible Assets,0.0,0.0,0,0.0,0,0.0,0,0,0
Long-term investments,0.0,0.0,,0.0,,0.0,,,
Tax assets,0.0,0.0,,0.0,,0.0,,,
Total non-current assets,3593343.0,41702597.0,60000000.0,22317404.0,51000000.0,6849575.0,30000000.0,124000000.0,76000000.0
Total assets,20777764.0,97204391.0,97000000.0,31131202.0,31000000.0,64366878.0,64000000.0,51000000.0,15000000.0
Payables,970650.0,5377377.0,5000000.0,2907683.0,3000000.0,1860491.0,2000000.0,1000000.0,1000000.0
Short-term debt,4972649.0,11475480.0,11000000.0,1578284.0,2000000.0,30885.0,0000000.0,0000000.0,0000000.0
Total current liabilities,9557166.0,30609838.0,31000000.0,8162813.0,8000000.0,3296754.0,3000000.0,3000000.0,8000000.0
Long-term debt,5830583.0,18673298.0,19000000.0,30821761.0,31000000.0,19796545.0,20000000.0,7000000.0,0000000.0
Total debt,10803232.0,30148778.0,19000000.0,32400045.0,31000000.0,19827430.0,20000000.0,7000000.0,0000000.0
Deferred revenue,0.0,0.0,,93503.0,,309927.0,,,
Tax Liabilities,3517900.0,3206300.0,,2795800.0,,2155000.0,,,
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,,
Total non-current liabilities,5830583.0,26063298.0,60000000.0,38071388.0,51000000.0,23176768.0,30000000.0,124000000.0,76000000.0
Total liabilities,30011844.0,91034696.0,91000000.0,59332637.0,59000000.0,33015074.0,33000000.0,127000000.0,84000000.0
Other comprehensive income,363450204,338249457,-0000000.0,250873875,-0000000.0,235627174,-0000000.0,-0000000.0,-0000000.0
Retained earnings (deficit),-372564327.0,-331986817.0,-332000000.0,-278958707.0,-279000000.0,-204170186.0,-204000000.0,-151000000.0,-127000000.0
Total shareholders equity,-9234080.0,6169695.0,6000000.0,-28201435.0,-28000000.0,31351804.0,31000000.0,-76000000.0,-69000000.0
Investments,0.0,0.0,,1003160.0,,0.0,,,
Net Debt,-4385606.0,-22824598.0,-23000000,26236901.0,27000000,-17396160.0,-17000000,-26000000,-8000000
Other Assets,0.0,0.0,2000000,0.0,1000000,0.0,1000000,2000000,0
Other Liabilities,14624095.0,34361560.0,44000000,13098436.0,13000000,6541552.0,7000000,117000000,82000000
