date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY
,revenue,94471000000.0,146516000000.0,158902000000.0,134674000000.0,110215000000.0,129925000000.0,200494000000.0,220156000000.0,230590000000.0,246343000000.0,199291000000.0,168320000000.0,273005000000.0,220904000000.0,210118000000.0,198200000000.0,155300000000.0,121761000000.0,99049000000.0,106245000000.0,119130000000.0,85713000000.0,30557000000.0,41950000000.0,43893000000.0,37082000000.0,35414000000.0,36642000000.0,39271000000.0
,costOfRevenue,69996000000.0,109331000000.0,113997000000.0,95114000000.0,78778000000.0,90788000000.0,136464000000.0,148882000000.0,154179000000.0,179657000000.0,135655000000.0,117510000000.0,193361000000.0,151564000000.0,144139000000.0,140902000000.0,104948000000.0,80707000000.0,65688000000.0,69238000000.0,79086000000.0,55101000000.0,14036000000.0,20223000000.0,22826000000.0,18033000000.0,16990000000.0,18007000000.0,19872000000.0
,grossProfit,24475000000.0,37185000000.0,44905000000.0,39560000000.0,31437000000.0,39137000000.0,64030000000.0,71274000000.0,76411000000.0,66686000000.0,63636000000.0,50810000000.0,79644000000.0,69340000000.0,65979000000.0,57298000000.0,50352000000.0,41054000000.0,33361000000.0,37007000000.0,40044000000.0,30612000000.0,16521000000.0,21727000000.0,21067000000.0,19049000000.0,18424000000.0,18635000000.0,19399000000.0
,grossProfitRatio,0.259074213250627,0.253794807393049,0.282595562044531,0.293746380147616,0.28523340743093,0.301227631325765,0.31936117789061,0.323743163938298,0.331371698685979,0.270703856005651,0.319311960901395,0.301865494296578,0.291730920679108,0.313892007387825,0.314009270981068,0.289091826437941,0.32422408242112,0.337168715762847,0.336813092509768,0.348317567885548,0.336136993200705,0.357145357180358,0.540661714173512,0.51792610250298,0.479962636411273,0.513699368966075,0.520246230304399,0.508569401233557,0.493977744391536
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478000000.0,493000000.0,455000000.0,372000000.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,4213000000.0,4143000000.0,3838000000.0,4448000000.0,4684000000.0,4443000000.0,4494000000.0,4510000000.0,4724000000.0,4745000000.0,4767000000.0,4527000000.0,5756000000.0,5926000000.0,5093000000.0,4828000000.0,4557000000.0,4440000000.0,4155000000.0,3984000000.0,3626000000.0,3222000000.0,2239000000.0,1533000000.0,1377000000.0,1384000000.0,963000000.0,1530000000.0,1761000000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-187000000.0,2266000000.0,550000000.0,2610000000.0,1596000000.0,3868000000.0,4378000000.0,1165000000.0,4430000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,30572000000.0,30434000000.0,30459000000.0,37080000000.0,37653000000.0,42847000000.0,44304000000.0,44061000000.0,41398000000.0,34500000000.0,37168000000.0,35570000000.0,36587000000.0,26779000000.0,23931000000.0,22804000000.0,21342000000.0,20635000000.0,19069000000.0,19653000000.0,18173000000.0,17568000000.0,14282000000.0,15913000000.0,15963000000.0,16859000000.0,9332000000.0,9228000000.0,9761000000.0
,costAndExpenses,100568000000.0,139765000000.0,144456000000.0,132194000000.0,116431000000.0,133635000000.0,180768000000.0,192943000000.0,195577000000.0,214157000000.0,172823000000.0,153080000000.0,229948000000.0,178343000000.0,168070000000.0,163706000000.0,126290000000.0,101342000000.0,84757000000.0,88891000000.0,97259000000.0,72669000000.0,28318000000.0,36136000000.0,38789000000.0,34892000000.0,26322000000.0,27235000000.0,29633000000.0
,interestExpense,697000000.0,798000000.0,748000000.0,307000000.0,201000000.0,0.0,0.0,0.0,0.0,0.0,50000000.0,28000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000000.0,317000000.0,436000000.0
