date,,2020-04-30_FY,2019-04-30_FY,2018-04-30_FY,2017-04-30_FY,2016-04-30_FY,2015-04-30_FY,2014-04-30_FY,2013-04-30_FY,2012-04-30_FY,2011-04-30_FY,2010-04-30_FY,2009-04-30_FY,2008-04-30_FY,2007-04-30_FY,2006-04-30_FY,2005-04-30_FY,2004-04-30_FY,2003-04-30_FY,2002-04-30_FY,2001-04-30_FY,2000-04-30_FY,1999-04-30_FY,1998-04-30_FY,1997-04-30_FY,1996-04-30_FY,1995-04-30_FY,1994-04-30_FY,1993-04-30_FY,1992-04-30_FY,1991-04-30_FY,1990-04-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,74861000.0,83688000.0,63141000.0,71199000.0,58723000.0,35499000.0,20461000.0,9758000.0,-20786000.0,-20018000.0,-22341000.0,-3234000.0,4271000.0,32561000.0,33210000.0,35591000.0,31707000.0,32704000.0,32155000.0,17420000.0,14467000.0,17509000.0,13031000.0,10548000.0,3800000.0,5400000.0,2200000.0,-500000.0,-4000000.0,-2600000.0,600000.0
,depreciationAndAmortization,98513000.0,94446000.0,45004000.0,18682000.0,16456000.0,14526000.0,14545000.0,14431000.0,23387000.0,26703000.0,30876000.0,35100000.0,35204000.0,35909000.0,37012000.0,33405000.0,27696000.0,27717000.0,23792000.0,19635000.0,14712000.0,9690000.0,7759000.0,7810000.0,7800000.0,7800000.0,7200000.0,6800000.0,5600000.0,5500000.0,5800000.0
,deferredIncomeTax,-11499000.0,-7805000.0,21404000.0,9899000.0,6661000.0,2448000.0,7124000.0,5771000.0,-12290000.0,-8265000.0,-5800000.0,-5715000.0,-5631000.0,1225000.0,-1352000.0,1787000.0,697000.0,3825000.0,-337000.0,2187000.0,121000.0,79000.0,-208000.0,-645000.0,-300000.0,300000.0,400000.0,-600000.0,-1400000.0,-100000.0,-400000.0
,stockBasedCompensation,3989000.0,3040000.0,3097000.0,3469000.0,3609000.0,3497000.0,3295000.0,3509000.0,3413000.0,3995000.0,4392000.0,4877000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,13121000.0,-37467000.0,-43819000.0,27835000.0,13191000.0,47708000.0,40187000.0,36929000.0,2309000.0,-3893000.0,-21906000.0,8017000.0,-8394000.0,-4778000.0,26414000.0,4774000.0,20784000.0,22440000.0,3454000.0,609000.0,-7435000.0,-1881000.0,7925000.0,8042000.0,1200000.0,4500000.0,3200000.0,-1900000.0,-6900000.0,-3600000.0,3100000.0
,accountsReceivables,21018000.0,9719000.0,-18786000.0,-7780000.0,-9938000.0,288000.0,-7546000.0,-6825000.0,-1533000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-4486000.0,-4852000.0,2802000.0,-4925000.0,-4276000.0,-5605000.0,-2875000.0,-7068000.0,115000.0,331000.0,7302000.0,9976000.0,7961000.0,11572000.0,-3963000.0,-11349000.0,-10182000.0,-10635000.0,-5067000.0,-4183000.0,-5566000.0,-5532000.0,-1653000.0,-384000.0,200000.0,900000.0,2500000.0,3500000.0,-1700000.0,100000.0,3700000.0
,accountsPayables,-6237000.0,-4775000.0,-858000.0,6301000.0,723000.0,5113000.0,5869000.0,3814000.0,923000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,169566000.0,156445000.0,193912000.0,237731000.0,209896000.0,196705000.0,148997000.0,108810000.0,71881000.0,69572000.0,73465000.0,95371000.0,87354000.0,95748000.0,100526000.0,74112000.0,69338000.0,48554000.0,26114000.0,22660000.0,22051000.0,29486000.0,31367000.0,23442000.0,15400000.0,14200000.0,9700000.0,6500000.0,8400000.0,15300000.0,18900000.0
,otherNonCashItems,3275000.0,3060000.0,14000.0,318000.0,-3489000.0,-1211000.0,1115000.0,-31000.0,-19919000.0,-20989000.0,-992000.0,2310000.0,6953000.0,9405000.0,3378000.0,2094000.0,85000.0,0.0,1668000.0,0.0,0.0,1436000.0,568000.0,1432000.0,800000.0,-400000.0,100000.0,400000.0,0.0,0.0,100000.0
,netCashProvidedByOperatingActivites,177542000.0,190845000.0,86775000.0,77080000.0,71778000.0,58737000.0,40535000.0,24527000.0,16053000.0,13196000.0,1292000.0,46812000.0,47639000.0,91006000.0,66629000.0,65674000.0,40978000.0,39181000.0,53450000.0,21491000.0,21252000.0,12474000.0,16344000.0,17404000.0,11700000.0,10900000.0,10600000.0,9500000.0,-1400000.0,2300000.0,9500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-31670000.0,-32128000.0,-47590000.0,-21811000.0,-28685000.0,-20015000.0,-7903000.0,-8860000.0,-6679000.0,-4952000.0,-2861000.0,-4824000.0,-8252000.0,-14681000.0,-13243000.0,-61054000.0,-22755000.0,-28918000.0,-39829000.0,-17445000.0,-40787000.0,-21691000.0,-7304000.0,-4537000.0,-5000000.0,-3900000.0,-3400000.0,-2800000.0,-5000000.0,-3300000.0,-2800000.0
,acquisitionsNet,0.0,-7000000.0,-57000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,-25000000.0,-85000000.0,-46750000.0,-35500000.0,0.0,0.0,-3310000.0,-3456000.0,-8737000.0,-9005000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,1500000.0,8000000.0,87750000.0,56750000.0,38250000.0,0.0,0.0,0.0,0.0,2939000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
