date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-21000000.0,59000000.0,188000000.0,-31000000.0,-4000000.0,-554000000.0,51000000.0,98000000.0,132000000.0,-179000000.0
,depreciationAndAmortization,259000000.0,256000000.0,197000000.0,171000000.0,155000000.0,140000000.0,49000000.0,32000000.0,14000000.0,2000000.0
,deferredIncomeTax,-17000000.0,18000000.0,32000000.0,80000000.0,69000000.0,-32000000.0,37000000.0,39000000.0,47000000.0,-34000000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,52000000.0,114000000.0,-297000000.0,-85000000.0,-47000000.0,266000000.0,-56000000.0,-14000000.0,46000000.0,-23000000.0
,accountsReceivables,36000000.0,104000000.0,-145000000.0,-91000000.0,28000000.0,343000000.0,-48000000.0,0.0,0.0,0.0
,inventory,63000000.0,57000000.0,-9000000.0,-99000000.0,-42000000.0,149000000.0,-95000000.0,41000000.0,35000000.0,23000000.0
,accountsPayables,-38000000.0,-31000000.0,-27000000.0,124000000.0,-18000000.0,-161000000.0,170000000.0,0.0,0.0,0.0
,otherWorkingCapital,-9000000.0,-16000000.0,-116000000.0,-19000000.0,-15000000.0,-65000000.0,-83000000.0,-60000000.0,-71000000.0,-55000000.0
,otherNonCashItems,125000000.0,191000000.0,163000000.0,250000000.0,153000000.0,162000000.0,69000000.0,44000000.0,78000000.0,53000000.0
,netCashProvidedByOperatingActivites,334000000.0,447000000.0,66000000.0,160000000.0,88000000.0,511000000.0,212000000.0,184000000.0,246000000.0,-29000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-182000000.0,-271000000.0,-277000000.0,-276000000.0,-355000000.0,-350000000.0,-199000000.0,-144000000.0,-126000000.0,-97000000.0
,acquisitionsNet,0.0,-91000000.0,236000000.0,2000000.0,18000000.0,-382000000.0,0.0,5000000.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,1000000.0,1000000.0,186000000.0,-16000000.0,-31000000.0,-30000000.0,-4000000.0,2000000.0,-13000000.0,8000000.0
,netCashUsedForInvestingActivites,-176000000.0,-353000000.0,-91000000.0,-292000000.0,-365000000.0,-722000000.0,-216000000.0,-132000000.0,-131000000.0,-69000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-374000000.0,-186000000.0,-68000000.0,-1559000000.0,-217000000.0,-211000000.0,-331000000.0,-156000000.0,-148000000.0,0.0
,commonStockIssued,0.0,0.0,0.0,259000000.0,0.0,0.0,0.0,162000000.0,0.0,98000000.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-250000000.0,0.0,0.0
,otherFinancingActivites,-17000000.0,1000000.0,-14000000.0,-108000000.0,-13000000.0,46000000.0,-43000000.0,-30000000.0,-70000000.0,17000000.0
,netCashUsedProvidedByFinancingActivities,101000000.0,-76000000.0,-82000000.0,61000000.0,145000000.0,-308000000.0,753000000.0,43000000.0,-86000000.0,201000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-4000000.0,2000000.0,2000000.0,-7000000.0,3000000.0,4000000.0,6000000.0,-1000000.0,0.0,10000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,255000000.0,20000000.0,-105000000.0,-78000000.0,-129000000.0,-515000000.0,755000000.0,94000000.0,29000000.0,0.0
,cashAtEndOfPeriod,439000000.0,184000000.0,164000000.0,269000000.0,347000000.0,476000000.0,991000000.0,236000000.0,142000000.0,113000000.0
,cashAtBeginningOfPeriod,184000000.0,164000000.0,269000000.0,347000000.0,476000000.0,991000000.0,236000000.0,142000000.0,113000000.0,0.0
,operatingCashFlow,334000000.0,447000000.0,66000000.0,160000000.0,88000000.0,511000000.0,212000000.0,184000000.0,246000000.0,-29000000.0
,capitalExpenditure,-182000000.0,-271000000.0,-277000000.0,-276000000.0,-355000000.0,-350000000.0,-199000000.0,-144000000.0,-126000000.0,-97000000.0
,freeCashFlow,152000000.0,176000000.0,-211000000.0,-116000000.0,-267000000.0,161000000.0,13000000.0,40000000.0,120000000.0,-126000000.0
