date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY
,revenue,1572245000.0,2081414000.0,1481435000.0,1284982000.0,2092482000.0,3024617000.0,2666549000.0,2137714000.0,1899154000.0,1515487000.0,979360000.0,1222119000.0,809017000.0,773120000.0,573246000.0,281057000.0
,costOfRevenue,1325565000.0,1313152000.0,1439302000.0,1675432000.0,1981720000.0,1839478000.0,1547140000.0,1232773000.0,444677000.0,372228000.0,374956000.0,384053000.0,208866000.0,218176000.0,128259000.0,60541000.0
,grossProfit,246680000.0,768262000.0,42133000.0,-390450000.0,110762000.0,1185139000.0,1119409000.0,904941000.0,1454477000.0,1143259000.0,604404000.0,838066000.0,600151000.0,554944000.0,444987000.0,220516000.0
,grossProfitRatio,0.156896666868077,0.369105809800453,0.0284406673259374,-0.303856396432012,0.052933310776389,0.39183109795389,0.419796898538148,0.423321828832108,0.765855217639012,0.754383904315906,0.617141806894298,0.685748278195495,0.741827427606589,0.717798013245033,0.776258360285113,0.784595295616192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,132609000.0,123250000.0,124288000.0,146878000.0,172616000.0,177211000.0,137994000.0,108573000.0,84985000.0,64694000.0,42357000.0,61684000.0,39046000.0,43964000.0,40315000.0,20935000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,6980000.0,-13824000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,160412000.0,179264000.0,1047502000.0,253776000.0,2037536000.0,1001147000.0,559467000.0,246087000.0,637832000.0,517962000.0,702631000.0,364168000.0,284264000.0,253890000.0,174046000.0,91738000.0
,costAndExpenses,1485977000.0,1492416000.0,2486804000.0,1929208000.0,4019256000.0,2840625000.0,2106607000.0,1478860000.0,1082509000.0,890190000.0,1077587000.0,748221000.0,493130000.0,472066000.0,302305000.0,152279000.0
,interestExpense,162707000.0,166774000.0,159373000.0,222051000.0,287600000.0,158658000.0,100531000.0,65692000.0,62516000.0,59078000.0,64608000.0,65078000.0,72504000.0,73489000.0,42045000.0,15856000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192811000.0,162831000.0,97639000.0,54010000.0
,EBITDA,876018000.0,1343057000.0,-86829000.0,193079000.0,-727650000.0,1263882000.0,1449442000.0,1320755000.0,1285316000.0,1019806000.0,296565000.0,751346000.0,508698000.0,463885000.0,368580000.0,182788000.0
,EBITDARatio,0.55717652147089,0.645261826815809,-0.0586114139331122,0.150258135911631,-0.34774492683808,0.417865137966228,0.543564734793923,0.617835220239939,0.676783452000206,0.672922961397887,0.302815103741219,0.614789558136319,0.628785303646277,0.600016814983444,0.642970033807475,0.650359179810501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,86268000.0,588998000.0,-1005369000.0,-644226000.0,-1926774000.0,183992000.0,559942000.0,658854000.0,816645000.0,625297000.0,-98227000.0,473898000.0,315887000.0,301054000.0,270941000.0,128778000.0
,operatingIncomeRatio,0.0548693110806522,0.282979743578164,-0.678645367498405,-0.501350213466025,-0.920807920928352,0.0608315036250871,0.20998751569913,0.30820493293303,0.430004623111133,0.412604661075945,-0.100297132821434,0.387767475998655,0.390457802493644,0.389401386589404,0.472643507324953,0.458191754697446
,totalOtherIncomeExpensesNet,-65769000.0,-51087000.0,-525500000.0,-226216000.0,-734952000.0,128236000.0,121456000.0,77848000.0,25722000.0,-25388000.0,-500000.0,-409089000.0,-74752000.0,4591000.0,-33377000.0,960000.0
,incomeBeforeTax,-168946000.0,343867000.0,-1720641000.0,-1426770000.0,-2993495000.0,143915000.0,571871000.0,662011000.0,780319000.0,541443000.0,-162835000.0,408820000.0,207162000.0,233272000.0,196098000.0,114005000.0
,incomeBeforeTaxRatio,-0.107455263015624,0.165208363160813,-1.16146911609352,-1.11034240168345,-1.43059534084403,0.0475812309459346,0.214461088095512,0.30968174414351,0.410877158987633,0.357273272551992,-0.166266745629799,0.334517342419192,0.256066312574396,0.301728062913907,0.342083503417381,0.405629463062653
