Date,2018-12-31,2017-12-31
Depreciation & Amortization,886000.0,391000.0
Stock-based compensation,950000.0,136000.0
Operating Cash Flow,-27620000.0,-12224000.0
Capital Expenditure,-1708000.0,-1757000.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,-61471000.0,-7170000.0
Investing Cash flow,-63179000.0,-8927000.0
Issuance (repayment) of debt,0.0,0.0
Issuance (buybacks) of shares,91000.0,226000.0
Dividend payments,0.0,0.0
Financing Cash Flow,105378000.0,17490000.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,14579000.0,-3661000.0
Free Cash Flow,-29328000.0,-13981000.0
Net Cash/Marketcap,0.3275,0.3275
