date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY
,revenue,3562459000.0,3318414000.0,3318414000.0,2989713000.0,2514617000.0,2371029000.0,2275270000.0,2266901000.0,2083037000.0,2009531000.0,1762965000.0,1963479000.0,2674244000.0,2737914000.0,2969604000.0,2641352000.0,2136212000.0,1844491000.0,1764742000.0,1547994000.0,1348325000.0,1328800000.0,1226100000.0,1028200000.0,928800000.0,894800000.0,693400000.0,570400000.0,518300000.0,564100000.0,558000000.0,504100000.0,437200000.0
,costOfRevenue,3217671000.0,2929222000.0,2929222000.0,2674780000.0,2213247000.0,2067671000.0,2024964000.0,2081638000.0,1848278000.0,1761568000.0,1585181000.0,1617106000.0,2205524000.0,2327170000.0,2673884000.0,2321980000.0,1914191000.0,1618041000.0,1540158000.0,1364378000.0,1107182000.0,1107200000.0,1034900000.0,878300000.0,780400000.0,750300000.0,577700000.0,494200000.0,441700000.0,469400000.0,464600000.0,423900000.0,364300000.0
,grossProfit,344788000.0,389192000.0,389192000.0,314933000.0,301370000.0,303358000.0,250306000.0,185263000.0,234759000.0,247963000.0,177784000.0,346373000.0,468720000.0,410744000.0,295720000.0,319372000.0,222021000.0,226450000.0,224584000.0,183616000.0,241143000.0,221600000.0,191200000.0,149900000.0,148400000.0,144500000.0,115700000.0,76200000.0,76600000.0,94700000.0,93400000.0,80200000.0,72900000.0
,grossProfitRatio,0.096783710352877,0.117282533161926,0.117282533161926,0.105338873664462,0.11984727694118,0.127943605919624,0.110011559067715,0.0817252275242721,0.112700350497855,0.123393468426215,0.10084374902508,0.176407794532053,0.17527196471227,0.150020782245169,0.0995823012091848,0.120912320660026,0.10393210037206,0.122770997527231,0.12726166204465,0.118615446829897,0.178846346392747,0.16676700782661,0.155941603458119,0.145788757051157,0.159776055124892,0.161488600804649,0.166858955869628,0.1335904628331,0.147790854717345,0.167878035809254,0.167383512544803,0.159095417575878,0.166742909423605
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,338363000.0,272776000.0,250987000.0,222811000.0,219299000.0,207339000.0,203821000.0,199946000.0,185099000.0,119894000.0,191593000.0,224910000.0,257532000.0,246202000.0,204281000.0,183392000.0,157035000.0,151879000.0,146467000.0,119282000.0,105043000.0,94900000.0,83800000.0,73600000.0,71600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,14957000.0,0.0,21789000.0,0.0,0.0,0.0,0.0,0.0,0.0,42408000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,4203000.0,0.0,1666000.0,4699000.0,5972000.0,2031000.0,1883000.0,1960000.0,6183000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,353320000.0,272776000.0,272776000.0,222811000.0,219299000.0,207339000.0,203821000.0,199946000.0,185099000.0,162302000.0,177845000.0,207741000.0,252029000.0,228107000.0,207084000.0,183392000.0,138469000.0,151879000.0,146467000.0,119282000.0,155568000.0,137300000.0,121900000.0,111800000.0,109400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,3570991000.0,3201998000.0,3201998000.0,2897591000.0,2432546000.0,2275010000.0,2228785000.0,2281584000.0,2033377000.0,1923870000.0,1763026000.0,1824847000.0,2457553000.0,2555277000.0,2880968000.0,2505372000.0,2052660000.0,1769920000.0,1686625000.0,1483660000.0,1262750000.0,1244500000.0,1156800000.0,990100000.0,889800000.0,852400000.0,666200000.0,566700000.0,514600000.0,541100000.0,531900000.0,485200000.0,415300000.0
,interestExpense,24200000.0,-14571000.0,14571000.0,10800000.0,12366000.0,14257000.0,14159000.0,14386000.0,10603000.0,10362000.0,9740000.0,15756000.0,16001000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,112958000.0,123418000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82157000.0,69180000.0,71758000.0,68470000.0,71644000.0,64466000.0,54990000.0,50525000.0,42400000.0,38100000.0,38200000.0,37800000.0,32500000.0,25700000.0,25400000.0,26000000.0,25200000.0,22800000.0,19400000.0,17300000.0
,EBITDA,104426000.0,187461000.0,242643000.0,175015000.0,162820000.0,167704000.0,119393000.0,63265000.0,116558000.0,149085000.0,80110000.0,231572000.0,321389000.0,264794000.0,157816000.0,207738000.0,152022000.0,146215000.0,142583000.0,119324000.0,136100000.0,126700000.0,107400000.0,76300000.0,76800000.0,74900000.0,52900000.0,29100000.0,29700000.0,48200000.0,48900000.0,38300000.0,39200000.0
,EBITDARatio,0.0293128987589752,0.0564911430580994,0.0731201712625369,0.0585390637830454,0.0647494230731758,0.0707304718752913,0.0524742118517802,0.0279081442021509,0.0559557991528715,0.074188952546639,0.0454404937137152,0.117939636736629,0.120179385276736,0.0967137755239938,0.053143786174857,0.0786483588707601,0.0711642851926681,0.0792711918897951,0.0807953797212284,0.0770829861097653,0.100940055253741,0.0953491872366045,0.0875948128211402,0.0742073526551255,0.082687338501292,0.0837058560572195,0.0762907412748774,0.0510168302945302,0.0573027204321821,0.0854458429356497,0.0876344086021505,0.0759769886927197,0.0896614821591949
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-8532000.0,64043000.0,116416000.0,92122000.0,82071000.0,96019000.0,46485000.0,-14683000.0,49660000.0,85661000.0,-61000.0,138632000.0,216691000.0,182637000.0,88636000.0,135980000.0,83552000.0,74571000.0,78117000.0,64334000.0,85575000.0,84300000.0,69300000.0,38100000.0,39000000.0,42400000.0,27200000.0,3700000.0,3700000.0,23000000.0,26100000.0,18900000.0,21900000.0
,operatingIncomeRatio,-0.00239497493164132,0.0192992797161536,0.035081819206404,0.0308129910797458,0.0326375746286611,0.0404967632196823,0.0204305423092644,-0.00647712449727624,0.0238401910287719,0.0426273593191645,-3.46008003562181e-05,0.0706052878589483,0.081028881433407,0.0667066240941096,0.0298477507438702,0.0514812111373266,0.0391122229441647,0.0404290397730322,0.0442653940349354,0.0415595926082401,0.0634676357703076,0.0634406983744732,0.0565206753119648,0.037055047656098,0.0419896640826873,0.0473848904783192,0.0392269974040958,0.00648667601683029,0.00713872274744357,0.0407729126041482,0.0467741935483871,0.0374925609998016,0.0500914913083257
,totalOtherIncomeExpensesNet,-136827000.0,-1666000.0,-43772000.0,18399000.0,23432000.0,19530000.0,21399000.0,-36745000.0,39346000.0,11256000.0,-101555000.0,10926000.0,14295000.0,13294000.0,1958000.0,1690000.0,29167000.0,25109000.0,3736000.0,15186000.0,4603000.0,1900000.0,15300000.0,13600000.0,8700000.0,6400000.0,5700000.0,3900000.0,4100000.0,6100000.0,6000000.0,7600000.0,7400000.0
,incomeBeforeTax,-166463000.0,64155000.0,64155000.0,104463000.0,96362000.0,103427000.0,55597000.0,-64029000.0,81029000.0,89433000.0,-106376000.0,138851000.0,233430000.0,198394000.0,113017000.0,142311000.0,94924000.0,97525000.0,82739000.0,81497000.0,92870000.0,86000000.0,75000000.0,44100000.0,43400000.0,45300000.0,30500000.0,5200000.0,5500000.0,27000000.0,29000000.0,22000000.0,23700000.0
