date,,2018-02-03_FY,2017-01-28_FY,2016-01-30_FY,2015-01-31_FY,2014-02-01_FY,2013-02-02_FY,2012-01-28_FY,2011-01-29_FY,2010-01-30_FY,2009-01-31_FY,2008-02-02_FY,2007-02-03_FY,2006-01-28_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-383000000.0,-2221000000.0,-1129000000.0,-1682000000.0,-1365000000.0,-930000000.0,-3140000000.0,133000000.0,297000000.0,53000000.0,858000000.0,858000000.0,858000000.0
,depreciationAndAmortization,534000000.0,368000000.0,370000000.0,581000000.0,732000000.0,830000000.0,853000000.0,900000000.0,926000000.0,981000000.0,1049000000.0,1142000000.0,932000000.0
,deferredIncomeTax,778000000.0,-987000000.0,-519000000.0,-719000000.0,-441000000.0,-206000000.0,-533000000.0,-20000000.0,90000000.0,-385000000.0,-84000000.0,258000000.0,58000000.0
,stockBasedCompensation,0.0,0.0,0.0,8000000.0,12000000.0,15000000.0,14000000.0,0.0,13000000.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-1418000000.0,-292000000.0,820000000.0,-987000000.0,-77000000.0,-181000000.0,-1885000000.0,265000000.0,-252000000.0,-336000000.0,-2114000000.0,497000000.0,0.0
,accountsReceivables,293000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-380000000.0
,inventory,1144000000.0,1213000000.0,-229000000.0,1091000000.0,446000000.0,427000000.0,545000000.0,-366000000.0,188000000.0,1003000000.0,66000000.0,-841000000.0,208000000.0
,accountsPayables,-472000000.0,-526000000.0,-47000000.0,-528000000.0,-230000000.0,-117000000.0,-134000000.0,-264000000.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-1103000000.0,315000000.0,607000000.0,-213000000.0,774000000.0,851000000.0,1032000000.0,2917000000.0,2652000000.0,2904000000.0,3240000000.0,5354000000.0,4857000000.0
,otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,-1842000000.0,-1381000000.0,-2167000000.0,-1387000000.0,-1109000000.0,-303000000.0,-275000000.0,130000000.0,1507000000.0,992000000.0,1547000000.0,1444000000.0,2298000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-80000000.0,-142000000.0,-211000000.0,-270000000.0,-329000000.0,-378000000.0,-432000000.0,-441000000.0,-361000000.0,-497000000.0,-570000000.0,-513000000.0,-546000000.0
,acquisitionsNet,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-37000000.0,0.0,-283000000.0,-1020000000.0
,purchasesOfInvestments,0.0,0.0,0.0,-0.0,-0.0,0.0,-183000000.0,-394000000.0,0.0,0.0,-30000000.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,1974000000.0,386000000.0,2730000000.0,597000000.0,955000000.0,569000000.0,306000000.0,429000000.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,1894000000.0,244000000.0,2519000000.0,327000000.0,626000000.0,191000000.0,-309000000.0,-406000000.0,-172000000.0,-637000000.0,-437000000.0,-663000000.0,635000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1356000000.0,-66000000.0,-1405000000.0,-80000000.0,-83000000.0,-335000000.0,-611000000.0,-486000000.0,-335000000.0,-262000000.0,-672000000.0,-875000000.0,-577000000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-182000000.0,-286000000.0,-238000000.0,-250000000.0,-0.0,0.0,-183000000.0,-394000000.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,-0.0,-233000000.0,-50000000.0,-74000000.0,-69000000.0,0.0,0.0,0.0,0.0,-794000000.0
,otherFinancingActivites,1536000000.0,1537000000.0,1279000000.0,615000000.0,1218000000.0,358000000.0,766000000.0,854000000.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-2000000.0,1185000000.0,-364000000.0,285000000.0,902000000.0,-27000000.0,-28000000.0,-95000000.0,-951000000.0,-643000000.0,-3439000000.0,-1252000000.0,-1952000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,-3000000.0,-38000000.0,1000000.0,0.0,57000000.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,50000000.0,48000000.0,-12000000.0,-778000000.0,419000000.0,-138000000.0,-612000000.0,-314000000.0,516000000.0,-449000000.0,-2217000000.0,-472000000.0,1005000000.0
,cashAtEndOfPeriod,336000000.0,286000000.0,238000000.0,250000000.0,1028000000.0,609000000.0,747000000.0,1375000000.0,1689000000.0,1173000000.0,1622000000.0,3968000000.0,4440000000.0
,cashAtBeginningOfPeriod,286000000.0,238000000.0,250000000.0,1028000000.0,609000000.0,747000000.0,1359000000.0,1689000000.0,1173000000.0,1622000000.0,3839000000.0,4440000000.0,3435000000.0
