date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-67726000.0,-149209000.0,-72434000.0,-67802000.0,-36440000.0,-57865000.0,-53365000.0,-41202000.0,-31984000.0,-13683000.0
,depreciationAndAmortization,531000.0,2179000.0,1419000.0,556000.0,670000.0,754000.0,427000.0,236000.0,207000.0,83000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,8118000.0,8539000.0,6671000.0,5033000.0,6287000.0,10085000.0,12360000.0,9676000.0,7400000.0,1635000.0
,changeInWorkingCapital,72774000.0,-161111000.0,145523000.0,355000.0,-30430000.0,14622000.0,-8039000.0,39468000.0,9888000.0,1427000.0
,accountsReceivables,2285000.0,-2218000.0,-306000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,3096000.0,-2769000.0,-327000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-7976000.0,-598000.0,1048000.0,5046000.0,153000.0,863000.0,287000.0,912000.0,-425000.0,1994000.0
,otherWorkingCapital,127845000.0,55071000.0,216182000.0,70659000.0,70304000.0,100734000.0,86112000.0,94151000.0,54683000.0,44795000.0
,otherNonCashItems,-47203000.0,161084000.0,-155694000.0,4548000.0,30429000.0,-13155000.0,11715000.0,-34483000.0,-8112000.0,406000.0
,netCashProvidedByOperatingActivites,-33506000.0,-138518000.0,-74515000.0,-57310000.0,-29484000.0,-45559000.0,-36902000.0,-26305000.0,-22601000.0,-10132000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-33000.0,-7000.0,-1507000.0,0.0,-39000.0,-211000.0,-2429000.0,-56000.0,-310000.0,-785000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-79380000.0,-94123000.0,-125452000.0,-7957000.0,-82101000.0,-199851000.0,-39361000.0,-118190000.0,-154028000.0,-35851000.0
,salesMaturitiesOfInvestments,0.0,183743000.0,10500000.0,51910000.0,119067000.0,173005000.0,85047000.0,94853000.0,108479000.0,0.0
,otherInvestingActivites,32050000.0,0.0,-21918000.0,0.0,41000.0,0.0,-117000.0,0.0,0.0,-86000.0
,netCashUsedForInvestingActivites,-47363000.0,89613000.0,-138377000.0,43953000.0,36968000.0,-27057000.0,43140000.0,-23393000.0,-45859000.0,-36722000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-37366000.0,-12174000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,106059000.0,0.0,105156000.0,48069000.0,0.0,63989000.0,9534000.0,59760000.0,57599000.0,38000.0
,commonStockRepurchased,0.0,-68000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,937000.0,9801000.0,156006000.0,15115000.0,-5000.0,-404000.0,-760000.0,-1269000.0,3000.0,64186000.0
,netCashUsedProvidedByFinancingActivities,69630000.0,-2441000.0,261162000.0,63184000.0,-5000.0,63585000.0,8774000.0,58491000.0,57602000.0,64224000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-11239000.0,-51346000.0,48270000.0,49827000.0,7479000.0,-9031000.0,15012000.0,8793000.0,-10858000.0,17370000.0
,cashAtEndOfPeriod,68023000.0,79262000.0,130608000.0,82176000.0,32349000.0,24870000.0,33901000.0,18889000.0,10096000.0,20954000.0
,cashAtBeginningOfPeriod,79262000.0,130608000.0,82338000.0,32349000.0,24870000.0,33901000.0,18889000.0,10096000.0,20954000.0,3584000.0
,operatingCashFlow,-33506000.0,-138518000.0,-74515000.0,-57310000.0,-29484000.0,-45559000.0,-36902000.0,-26305000.0,-22601000.0,-10132000.0
,capitalExpenditure,19465000.0,-7000.0,-23507000.0,0.0,-39000.0,-211000.0,-2429000.0,-56000.0,-310000.0,-785000.0
,freeCashFlow,-14041000.0,-138525000.0,-98022000.0,-57310000.0,-29523000.0,-45770000.0,-39331000.0,-26361000.0,-22911000.0,-10917000.0
