date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,415000000.0,870000000.0,715842000.0,1822181000.0,701443000.0,502166000.0,684047000.0,418837000.0,631893000.0,599620000.0,574402000.0,407086000.0,176796000.0,293834000.0,288210000.0,224180000.0,221891000.0,173141000.0,122806000.0,33046000.0,77669000.0,40858000.0,62081000.0,54619000.0,55072000.0
,depreciationAndAmortization,-46000000.0,49000000.0,45127000.0,52902000.0,26853000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75655000.0,-53344000.0,-40288000.0,-32580000.0,-40227000.0,-35902000.0,-38985000.0,-35884000.0,-26700000.0,-19100000.0,-14100000.0,-7900000.0
,deferredIncomeTax,-16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101758000.0,189578000.0,41393000.0,92638000.0,63895000.0,73793000.0,-32901000.0,57210000.0,48013000.0,27767000.0,15575000.0,14208000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-14561000000.0,10798045000.0,-2106463000.0,1700671000.0,1521823000.0,-1251909000.0,12686050000.0,-1210723000.0,-9603310000.0,928713000.0,20400103000.0,-2042000000.0,-612000000.0,-1967000000.0,-1703000000.0,-1572000000.0,-1651000000.0,-2426000000.0,-1776000000.0,-481000000.0,-720000000.0,1255000000.0,-1395000000.0,-1705000000.0,433892000.0
,accountsReceivables,162000000.0,-68000000.0,-697861000.0,-470793000.0,-210057000.0,-325622000.0,-97365000.0,-44078000.0,-279900000.0,-83650000.0,-111451000.0,0.0,0.0,-167430000.0,-124762000.0,-143099000.0,69983000.0,-166868000.0,-95989000.0,64929000.0,68407000.0,-121000000.0,-111700000.0,-72500000.0,6900000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950269000.0,764194000.0,788769000.0,823621000.0,1164871000.0,460601000.0,357840000.0,188595000.0,323900000.0,461800000.0,722300000.0,256500000.0
,otherWorkingCapital,145000000.0,14706000000.0,3907955000.0,6014418000.0,4313747000.0,2791924000.0,4043833000.0,-8642217000.0,-7431494000.0,2171816000.0,1243103000.0,-19157000000.0,-17115000000.0,-16503000000.0,-14536000000.0,-12833000000.0,-11261000000.0,-9610000000.0,-7184000000.0,-5408000000.0,-4927000000.0,-4207000000.0,-5462000000.0,-4067000000.0,-2362000000.0
,otherNonCashItems,0.0,-57000000.0,-1268000.0,24216000.0,117949000.0,-18461000.0,155428000.0,53128000.0,85523000.0,69270000.0,30359000.0,-2543000.0,-27888000.0,-9501000.0,-118728000.0,-10473000.0,-470437000.0,-594445000.0,-275993000.0,-202547000.0,-139860000.0,-71727000.0,-409729000.0,-860966000.0,-229551000.0
,netCashProvidedByOperatingActivites,3322000000.0,2307000000.0,1581121000.0,1982308000.0,1465718000.0,2088615000.0,2336155000.0,1727160000.0,1974527000.0,1309532000.0,1842740000.0,1364236000.0,726982000.0,957409000.0,846225000.0,599351000.0,714479000.0,572274000.0,161851000.0,243931000.0,192799000.0,277701000.0,349147000.0,432725000.0,256678000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-28000000.0,-34000000.0,-28891000.0,-44211000.0,-44642000.0,-23553000.0,-88361000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,4000000.0,-32000000.0,0.0,0.0,-145000000.0,0.0,-3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-9619000000.0,-16036000000.0,-10156486000.0,-9166310000.0,-8129566000.0,-6213371000.0,-6216544000.0,-4856982000.0,-7243155000.0,-4103865000.0,-4891811000.0,-4808348000.0,-2993871000.0,-3180396000.0,-3725118000.0,-2569280000.0,-2137901000.0,-3099761000.0,-2939742000.0,-1357492000.0,-1352647000.0,-1369576000.0,-2109097000.0,-947866000.0,-917700000.0
,salesMaturitiesOfInvestments,6514000000.0,14114000000.0,10141474000.0,8157471000.0,5957409000.0,5508770000.0,5174499000.0,3712739000.0,5610437000.0,3384175000.0,3470140000.0,3019564000.0,1901873000.0,164760000.0,3741420000.0,1676166000.0,2103930000.0,1814533000.0,2357242000.0,12410000.0,182899000.0,70848000.0,109577000.0,548500000.0,892648000.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,-101203000.0,101203000.0,0.0,0.0,-37721000.0,-103578000.0,-76594000.0,0.0,2038767000.0,-1650659000.0,0.0,-737649000.0,0.0,0.0,768705000.0,452605000.0,2640551000.0,397160000.0,-856442000.0,-789433000.0
,netCashUsedForInvestingActivites,-2680000000.0,-2638000000.0,-636552000.0,-1607573000.0,-2825726000.0,-1431741000.0,-1310945000.0,-1335101000.0,-1967996000.0,-905781000.0,-1720482000.0,-1939058000.0,-1073162000.0,-976869000.0,-1634357000.0,-893114000.0,-771620000.0,-1285228000.0,-582500000.0,-576377000.0,-712484000.0,1341823000.0,-1602360000.0,-1255808000.0,-817692000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
