date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY
,revenue,29983000.0,49036000.0,58631000.0,74991000.0,99878000.0,108530000.0,99354000.0,77315000.0,59558000.0,36121000.0,19005000.0,7527000.0
,costOfRevenue,17946000.0,22843000.0,27154000.0,32520000.0,35203000.0,40137000.0,35614000.0,31109000.0,24764000.0,18691000.0,11040000.0,5101000.0
,grossProfit,12037000.0,26193000.0,31477000.0,42471000.0,64675000.0,68393000.0,63740000.0,46206000.0,34794000.0,17430000.0,7965000.0,2426000.0
,grossProfitRatio,0.401460827802421,0.534158577371727,0.53686616295134,0.566347961755411,0.647539998798534,0.630175988206026,0.64154437667331,0.597633059561534,0.584203633432956,0.482544780044849,0.419100236779795,0.322306363757141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,12815000.0,17845000.0,22450000.0,26564000.0,27841000.0,33318000.0,28751000.0,20715000.0,14014000.0,7071000.0,4568000.0,3410000.0
,GeneralAndAdministrativeExpenses,8559000.0,10446000.0,13113000.0,16444000.0,19890000.0,22391000.0,21257000.0,17028000.0,13432000.0,6679000.0,5195000.0,2171000.0
,SellingAndMarketingExpenses,6958000.0,15836000.0,23425000.0,26936000.0,32889000.0,45132000.0,47716000.0,42799000.0,32633000.0,20357000.0,8884000.0,6146000.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,28332000.0,44127000.0,58988000.0,69944000.0,80620000.0,100841000.0,97724000.0,80542000.0,60079000.0,34107000.0,18647000.0,11727000.0
,costAndExpenses,46278000.0,66970000.0,86142000.0,102464000.0,115823000.0,140978000.0,133338000.0,111651000.0,84843000.0,52798000.0,29687000.0,16828000.0
,interestExpense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520000.0,378000.0,230000.0,212000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,5003000.0,7652000.0,8969000.0,11277000.0,12103000.0,12677000.0,8705000.0,5878000.0,3167000.0,1800000.0,1016000.0,382000.0
,EBITDA,-9759000.0,-4876000.0,-31689000.0,-19207000.0,-2973000.0,-19667000.0,-25922000.0,-29482000.0,-22574000.0,-15106000.0,-9588000.0,-9011000.0
,EBITDARatio,-0.325484441183337,-0.099437148217636,-0.540481997578073,-0.25612406822152,-0.0297663149041831,-0.181212567953561,-0.260905449201844,-0.381323158507405,-0.379025487759831,-0.418205476038869,-0.504498816101026,-1.19715690182011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-16295000.0,-17934000.0,-27511000.0,-27473000.0,-15945000.0,-32448000.0,-33984000.0,-34336000.0,-25285000.0,-16677000.0,-10682000.0,-9301000.0
,operatingIncomeRatio,-0.543474635626855,-0.365731299453463,-0.469222766113489,-0.366350628742116,-0.159644766615271,-0.298977241315765,-0.342049640678785,-0.444105283580159,-0.424544141844924,-0.46169818111348,-0.562062615101289,-1.23568486780922
,totalOtherIncomeExpensesNet,-1533000.0,-5406000.0,13147000.0,3011000.0,-869000.0,-104000.0,643000.0,1024000.0,976000.0,607000.0,152000.0,304000.0
,incomeBeforeTax,-14762000.0,-12528000.0,-40658000.0,-30484000.0,-15076000.0,-32344000.0,-34627000.0,-35360000.0,-26261000.0,-17284000.0,-10834000.0,-9605000.0
