date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY
,revenue,3937230.0,36143568.0,4822272.0,2440195.0,1911424.0,648382.0,0.0,0.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,3937230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,98267213.0,89604790.0,48613957.0,26038965.0,15436735.0,5888659.0,1255535.0,210670.0
,GeneralAndAdministrativeExpenses,28480250.0,23643357.0,12956022.0,8964046.0,6459747.0,3613416.0,1391638.0,346606.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,13270211.0,4581838.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,126747463.0,113248147.0,61569979.0,35003011.0,21896482.0,9502075.0,2647173.0,0.0
,costAndExpenses,126747463.0,113248147.0,61569979.0,35003011.0,21896482.0,9502075.0,2647173.0,557276.0
,interestExpense,0.0,0.0,0.0,0.0,0.0,2440.0,24021.0,45114.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,1694312.0,1229784.0,493938.0,255652.0,87664.0,43943.0,10405.0,0.0
,EBITDA,-121115921.0,-75874795.0,-56253769.0,-32307164.0,-19897394.0,-8809750.0,-2636768.0,-556522.0
,EBITDARatio,-30.7617083584144,-2.09926134021965,-11.6654077165286,-13.2395829021861,-10.4097228035224,-13.5872834224269,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-122810233.0,-77104579.0,-56747707.0,-32562816.0,-19985058.0,-8853693.0,-2647173.0,-557276.0
,operatingIncomeRatio,-31.1920393271412,-2.13328631528575,-11.7678361983729,-13.3443499392467,-10.4555859924329,-13.655056741242,0.0,0.0
,totalOtherIncomeExpensesNet,12569212.0,4423218.0,92791.0,-41908.0,-14094.0,1977.0,128594.0,-714.0
,incomeBeforeTax,-111269380.0,-71453718.0,-55672139.0,-32421612.0,-19998675.0,-8850739.0,-2540485.0,-602350.0
,incomeBeforeTaxRatio,-28.2608280440818,-1.97694145746762,-11.5447944454398,-13.2864840719697,-10.4627100005022,-13.650500785031,0.0,0.0
,incomeTaxExpense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netIncome,-111269380.0,-71453718.0,-55672139.0,-32421612.0,-19998675.0,-8850739.0,-2540485.0,-602350.0
,netIncomeRatio,-28.2608280440818,-1.97694145746762,-11.5447944454398,-13.2864840719697,-10.4627100005022,-13.650500785031,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-1.42,-1.12,-0.98,-0.65,-0.49,-0.28,-0.13,-0.023345
,EPSDiluted,-1.42,-1.12,-0.98,-0.65,-0.49,-0.28,-0.13,-0.023345
,weightedAverageShsOut,81879119.0,63899184.0,56999741.0,50176953.0,41137518.0,31350145.0,20159861.0,25801948.0
,weightedAverageShsOutDil,81879119.0,63899184.0,56999741.0,50176953.0,41137518.0,31350145.0,20159861.0,25801948.0
