Date,2018-12-31,2017-12-31,2016-12-31
Depreciation & Amortization,0.0,0.0,0.0
Stock-based compensation,0.0,0.0,0.0
Operating Cash Flow,4321852.3878,14780985.4897,8295176.3859
Capital Expenditure,-11135311.1433,-7178960.0967,-5564002.8798
Acquisitions and disposals,169898.6975,-6409461.9105,0.0
Investment purchases and sales,0.0,0.0,0.0
Investing Cash flow,-11024891.4616,-10458736.3966,-5596112.311
Issuance (repayment) of debt,7342836.4689,-2907950.4232,10383873.2901
Issuance (buybacks) of shares,3719247.4674,0.0,0.0
Dividend payments,0.0,0.0,0.0
Financing Cash Flow,9658610.7091,-4260429.2624,8441468.6825
Effect of forex changes on cash,157452.9667,-486245.4655,-386465.0828
Net cash flow / Change in cash,-658031.8379,-3083887.5453,10344852.4118
Free Cash Flow,-6813458.7554,7602025.393,2731173.5061
Net Cash/Marketcap,,,
